Festival,Year,Award,Track,Title,Agency,Brand,Team,Board image
Luum Awards,2024,Gold,Essence of the Message - Diversity and inclusion - Internet-Social Media,Switch to Sign AkuPakaiBISINDO,i-dac Indonesia,Telkomsel,CCO: Linda Mutiara Chasanah Creative Director: Nia Nugroho Copywriter: Lakky Ramadhani Art Director: Angga Rahmanda Yessica Ade Account Lead: Yulia Irma Rini Strategy Planning: Isabella Reharta Producer: Riri Usman Reynaldo  Team Member: Sri Bintang Darmawan/Andika Wendri/Nana Nurdiansyah/Daniel Doddy/Hafizhul Fadhli,
Luum Awards,2024,Gold,Human Rights - Reducing Inequalities - Gender Equality,Unseen Goals,Joystick FIFCO,Imperial,Fernando Hidalgo Jose Cambronero & Andrea Castro Paula AragÃ³n Vivian Mayorga | Gabriel RamÃ­rez | Jose Pablo Murillo | FabiÃ¡n LorÃ­a | NicolÃ¡s Silva | Mayron JimÃ©nez,
Luum Awards,2024,Gold,Essence of the Message - Equality - Internet-Social Media,Unseen Goals,Joystick FIFCO,Imperial,Fernando Hidalgo Jose Cambronero & Andrea Castro Paula AragÃ³n Vivian Mayorga | Gabriel RamÃ­rez | Jose Pablo Murillo | FabiÃ¡n LorÃ­a | NicolÃ¡s Silva | Mayron JimÃ©nez,
Luum Awards,2024,Gold,Essence of the Message - Sporting values - Internet-Social Media,Unseen Goals,Joystick FIFCO,Imperial,Fernando Hidalgo Jose Cambronero & Andrea Castro Paula AragÃ³n Vivian Mayorga | Gabriel RamÃ­rez | Jose Pablo Murillo | FabiÃ¡n LorÃ­a | NicolÃ¡s Silva | Mayron JimÃ©nez,
Luum Awards,2024,Gold,Essence of the Message - Sporting values - PR-CRM,Unseen Goals,Joystick FIFCO,Imperial,Fernando Hidalgo Jose Cambronero & Andrea Castro Paula AragÃ³n Vivian Mayorga | Gabriel RamÃ­rez | Jose Pablo Murillo | FabiÃ¡n LorÃ­a | NicolÃ¡s Silva | Mayron JimÃ©nez,
Luum Awards,2024,Gold,Planet - Promoting Sustainable Cities and Communities,Kubotaâ€™s Turn Waste to AGRIwear,The Leo Burnett Group,KUBOTA,Prasert Vijitpawan CCO / Thiti Boonkerd Deputy ECD Nattapon Trungruang Senior Copywriter / Norawit Saratsamith Senior Copywriter Yosathorn Numbenjapol Account Management Director / Jirachada Buranathanasin Senior Account Manager / Phattanant Boonnak Account Manager Teerawat Kraiarb Senior Art Director / Pongpan Boonmak Art Director / Theetasak Dangrojana Creative Group Head / Ratee Ngarmniyom Creative Director,
Luum Awards,2024,Gold,Planet - Climate Action,Kubotaâ€™s Turn Waste to AGRIwear,The Leo Burnett Group,KUBOTA,Prasert Vijitpawan CCO / Thiti Boonkerd Deputy ECD Nattapon Trungruang Senior Copywriter / Norawit Saratsamith Senior Copywriter Yosathorn Numbenjapol Account Management Director / Jirachada Buranathanasin Senior Account Manager / Phattanant Boonnak Account Manager Teerawat Kraiarb Senior Art Director / Pongpan Boonmak Art Director / Theetasak Dangrojana Creative Group Head / Ratee Ngarmniyom Creative Director,
Luum Awards,2024,Gold,Essence of the Message - Civic Values - Outdoor,LA SOLEDAD NO SE VE SE SIENTE,Manifiesto,FundaciÃ³n La Caixa,Sebastian Sanchez Giraldo Adrian Bravo Andres Naudin David SanJuan David Diaz Amanda Bellart,
Luum Awards,2024,Gold,Health & Wellness - Mental Health Education & Awareness - Outdoor,LA SOLEDAD NO SE VE SE SIENTE,Manifiesto,FundaciÃ³n La Caixa,Sebastian Sanchez Giraldo Adrian Bravo Andres Naudin David SanJuan David Diaz Amanda Bellart,
Luum Awards,2024,Gold,Health & Wellness - Health & Wellness - Campaigns,La CampaÃ±a Incompleta,Manifiesto,Manifiesto,Sebastian Sanchez Giraldo Fede Arce Oscar Moreno Chiqui Palomares Jesus Ovejero,
Luum Awards,2024,Gold,Essence of the Message - Solidarity - Internet-Social Media,SURVIVAL MANUALS,Publicidad Comercial Mullenlowe,manualesparasobrevivirorg,Orlando Alvarez,
Luum Awards,2024,Gold,Health & Wellness - Mental Health Education & Awareness - PR-CRM,SURVIVAL MANUALS,Publicidad Comercial Mullenlowe,manualesparasobrevivirorg,Orlando Alvarez,
Luum Awards,2024,Gold,Human Rights - Reducing Inequalities - Other Inequalities,Pride Verified,Publicitariasorg Ecuador,Publicitariasorg,Sussy Navia Rossi RodrÃ­guez Luisiana Navia Francesca Zambrano Denisse AlarcÃ³n Camila DÃ¡vila Ilse Miranda Maite Spinelli BelÃ©n Navia Astrid Valarezo Rafaela Esteves,
Luum Awards,2024,Gold,Essence of the Message - Diversity and inclusion,Pride Verified,Publicitariasorg Ecuador,Publicitariasorg,Sussy Navia Rossi RodrÃ­guez Luisiana Navia Francesca Zambrano Denisse AlarcÃ³n Camila DÃ¡vila Ilse Miranda Maite Spinelli BelÃ©n Navia Astrid Valarezo Rafaela Esteves Melanie Tobal Julia Rayeb,
Luum Awards,2024,Gold,Society - Art and Culture Development,Speechlist,TANK Worldwide,Speechlist,Marty Martinez Bernardo RodrÃ­guez Pons & Camilo MonzÃ³n Navas Jillian Mastroianni,
Luum Awards,2024,Gold,Human Rights - Anti-Discrimination,Speechlist,TANK Worldwide,Speechlist,Marty Martinez Bernardo RodrÃ­guez Pons & Camilo MonzÃ³n Navas Jillian Mastroianni,
Luum Awards,2024,Gold,Human Rights - Reducing Inequalities - Other Inequalities,Speechlist,TANK Worldwide,Speechlist,Marty Martinez Bernardo RodrÃ­guez Pons & Camilo MonzÃ³n Navas Jillian Mastroianni,
Luum Awards,2024,Gold,Institutional Communication,Speechlist,TANK Worldwide,Speechlist,Marty Martinez Bernardo RodrÃ­guez Pons & Camilo MonzÃ³n Navas Jillian Mastroianni,
Luum Awards,2024,Gold,Society - Stop Violence,CIEN,Tribeca Media,plazaVea,General Creative Director: Lea Raggio Art Director: Marlon Valencia / Copy: Ernesto RioFrÃ­o Account Manager: Carolina Salazar,
Luum Awards,2024,Gold,Society - Hunger,The Culinary Ranking For Good,Valor,Alicorp,Juan Pablo Peschiera Rodrigo Revoredo Eduardo Poppe,
Luum Awards,2024,Gold,Society - Poverty,The Culinary Ranking For Good,VALOR,Alicorp,Juan Pablo Peschiera Rodrigo Revoredo Eduardo Poppe,
Luum Awards,2024,Gold,Causes - Partnerships to Achieve Goals - PR-CRM,The Culinary Ranking For Good,Valor,Alicorp,Juan Pablo Peschiera Rodrigo Revoredo Eduardo Poppe,
Luum Awards,2024,Gold,Essence of the Message - Solidarity - PR-CRM,The Culinary Ranking For Good,Valor,Alicorp,Juan Pablo Peschiera Rodrigo Revoredo Eduardo Poppe,
Luum Awards,2024,Gold,Essence of the Message - Empowerment - PR-CRM,The Culinary Ranking For Good,VALOR,Alicorp,Juan Pablo Peschiera Rodrigo Revoredo Eduardo Poppe,
Luum Awards,2024,Gold,Planet - Planet - Campaigns,World Rainforest Day,X3M ideas,Nigerian Conservation Foundation,CCO Steve Babaeko / ECD Mike Miller / DCD Kelechi Uduma / DCD Oladunni Williams / HOA Samuel Oluwagbemi Copywriters: Okikijesu Adeyeye Art Directors: Peter Oyelami Godswill Cheche,
Luum Awards,2024,Silver,Causes - Fundraising & Advocacy - Film,Te doy mi corazÃ³n,9 DÃ­as,CBRE CC NerviÃ³n Plaza,,
Luum Awards,2024,Silver,Health & Wellness - Organ Donation Education & Awareness - Film,Te doy mi corazÃ³n,9 DÃ­as,CBRE CC NerviÃ³n Plaza,,
Luum Awards,2024,Silver,Planet - Promoting Clean Water and Sanitation,Changing our habits,AG Partners Dakar,DÃ©lÃ©gation de lâ€™Union europÃ©enne au SÃ©nÃ©gal,,
Luum Awards,2024,Silver,Institutional Communication,Changing our habits,AG Partners Dakar,DÃ©lÃ©gation de lâ€™Union europÃ©enne au SÃ©nÃ©gal,,
Luum Awards,2024,Silver,Planet - Responsible Consumption and Production,Zero Waste Advertising â€“ Find out the extraordinary in you,Agencia Sensei,Blue Whale,,
Luum Awards,2024,Silver,Planet - Planet - Campaigns,Noticias que no deben existir,AQM AGENCY,PerÃº cero tecnopor,,
Luum Awards,2024,Silver,Essence of the Message - Equality - Effectiveness,CÃ³digo Diabetes,Arteaga & Arteaga,Sanofi,AnÃ­bal E QuiÃ±ones Juan Carlos LÃ³pez Noel Cassanova Krystal Zapata Carlos Fillipetti,
Luum Awards,2024,Silver,Health & Wellness - Health & Wellness Education & Awareness - Radio,Sing the News,BeautifulBeast,FundaciÃ³n CardiolÃ³gica Argentina,Flor Leibaschoff/Diego Duprat Thiago Magnini DamiÃ¡n Ivachinni/Flor Leibaschoff Victoria Acosta Leandro Aspis/Damian Minckas FÃ¡brica de Canciones PapaMusic,
Luum Awards,2024,Silver,Health & Wellness - Health & Wellness Education & Awareness - Radio,Foreign Announcer Radio Campaign,BeautifulBeast,Colon Cancer Coalition,Flor Leibaschoff/Diego Duprat Thiago Magnini/Lexi Harper Salma Gottfried/Victoria Acosta Victor MaciÃ¡s/Gio Locatelli Deaf Mule Studio,
Luum Awards,2024,Silver,Planet - Climate Action - Print,ACT NOW BEFORE IT MELTS,Boomerang,GREENPEACE,Samira RafiSophia Maazouz Mehdi Bouayad Kacihi Fettah,
Luum Awards,2024,Silver,Institutional Communication,Where are the women?,Brandy Creativity & Technology,INAMU - RET,Alan CalderÃ³n Natalia Segura SofÃ­a Vega Juan Ignacio Jimenez,
Luum Awards,2024,Silver,Institutional Communication,Contratiempo-Setback,Buenosaires,FundaciÃ³n Dacer,Miguel Ãngel Rico Mercedes Bonet & Miguel Silgado Carla Chaves,
Luum Awards,2024,Silver,Society - Prosperity and infrastructure,The Corruption Monuments Tour,Castillo de If,Helps International,Oscar H CastaÃ±eda Oscar H CastaÃ±eda Oscar H CastaÃ±eda Luis Gutierrez / Joao Garcia / Charly Andrino / Leandro Loaiza,
Luum Awards,2024,Silver,Human Rights - Civism,The Corruption Monuments Tour,Castillo de If,Helps International,Oscar H CastaÃ±eda Oscar H CastaÃ±eda Oscar H CastaÃ±eda Luis Gutierrez / Joao Garcia / Charly Andrino / Leandro Loaiza,
Luum Awards,2024,Silver,Planet - Protecting Underwater Life,IF NATURE COULD SPEAKâ€¦,Darwin & Verne,LIBERA â€“ An Ecoembes Project in collaboration with SEO/BirdLife,Carlos Sanz de Andino (creative president) Pablo Caraballo (creative director) Gonzalo Calvo (creative director) JesÃºs LÃ³pez Gerard Andreu Paco Reverte y Miguel Ãngel Campillejo Ivet Honorato Julia GarcÃ­a Noelia Herrera Pablo Goldberg Eva PÃ©rez de LeÃ³n (production) Proyecto LIBERA de SEO BirdLife en ColaboraciÃ³n con Ecoembes: Nieves Rey Directora de ComunicaciÃ³n y Marketing de Ecoembes Elena Lopez Gerente de ComunicaciÃ³n Corporativa Sara GÃ¼emes Project Manager del Proyecto LIBERA Miriam Caba Responsable de Marketing Digital y Publicidad del Proyecto LIBERA Agencia colaboradora: iProspect & StoryLab Javier Morales Director de Servicios al cliente iProspect Jonathan FernÃ¡ndez Account Director iProspect Ana Santa Creu Senior Brand Executive iProspect Ana MarÃ­a LeganÃ©s Planning Executive Junior iProspect Patricia Lara Senior Account Manager StoryLab Berta Roura Senior Account Manager StoryLab,
Luum Awards,2024,Silver,Causes - Partnerships to Achieve Goals - Internet-Social Media,IF NATURE COULD SPEAKâ€¦,Darwin & Verne,LIBERA â€“ An Ecoembes Project in collaboration with SEO/BirdLife,Carlos Sanz de Andino (creative president) Pablo Caraballo (creative director) Gonzalo Calvo (creative director)JesÃºs LÃ³pez Gerard Andreu Paco Reverte y Miguel Ãngel Campillejo Ivet Honorato Julia GarcÃ­a Noelia Herrera Pablo Goldberg Eva PÃ©rez de LeÃ³n (production) Proyecto LIBERA de SEO BirdLife en ColaboraciÃ³n con Ecoembes: Nieves Rey Directora de ComunicaciÃ³n y Marketing de Ecoembes Elena Lopez Gerente de ComunicaciÃ³n Corporativa Sara GÃ¼emes Project Manager del Proyecto LIBERA Miriam Caba Responsable de Marketing Digital y Publicidad del Proyecto LIBERA Agencia colaboradora: iProspect & StoryLab: Javier Morales Director de Servicios al cliente iProspect Jonathan FernÃ¡ndez Account Director iProspect Ana Santa Creu Senior Brand Executive iProspect Ana MarÃ­a LeganÃ©s Planning Executive Junior iProspect Patricia Lara Senior Account Manager StoryLab Berta Roura Senior Account Manager StoryLab,
Luum Awards,2024,Silver,Essence of the Message - Environmental respect,IF NATURE COULD SPEAKâ€¦,Darwin & Verne,LIBERA â€“ An Ecoembes Project in collaboration with SEO/BirdLife,Carlos Sanz de Andino (creative president) Pablo Caraballo (creative director) Gonzalo Calvo (creative director) JesÃºs LÃ³pez Gerard Andreu Paco Reverte y Miguel Ãngel Campillejo Ivet Honorato Julia GarcÃ­a Noelia Herrera Pablo Goldberg Eva PÃ©rez de LeÃ³n (production) Proyecto LIBERA de SEO BirdLife en ColaboraciÃ³n con Ecoembes: Nieves Rey Directora de ComunicaciÃ³n y Marketing de Ecoembes Elena Lopez Gerente de ComunicaciÃ³n Corporativa Sara GÃ¼emes Project Manager del Proyecto LIBERA Miriam Caba Responsable de Marketing Digital y Publicidad del Proyecto LIBERA Agencia colaboradora: iProspect & StoryLab: Javier Morales Director de Servicios al cliente iProspect Jonathan FernÃ¡ndez Account Director iProspect Ana Santa Creu Senior Brand Executive iProspect Ana MarÃ­a LeganÃ©s Planning Executive Junior iProspect Patricia Lara Senior Account Manager StoryLab Berta Roura Senior Account Manager StoryLab,
Luum Awards,2024,Silver,Institutional Communication,IF NATURE COULD SPEAKâ€¦,Darwin & Verne,LIBERA â€“ An Ecoembes Project in collaboration with SEO/BirdLife,Noelia Herrera Pablo Goldberg Eva PÃ©rez de LeÃ³n (production) Proyecto LIBERA de SEO BirdLife en ColaboraciÃ³n con Ecoembes: Nieves Rey Directora de ComunicaciÃ³n y Marketing de Ecoembes Elena Lopez Gerente de ComunicaciÃ³n Corporativa Sara GÃ¼emes Project Manager del Proyecto LIBERA Miriam Caba Responsable de Marketing Digital y Publicidad del Proyecto LIBERA Agencia colaboradora: iProspect & StoryLab: Javier Morales Director de Servicios al cliente iProspect Jonathan FernÃ¡ndez Account Director iProspect Ana Santa Creu Senior Brand Executive iProspect Ana MarÃ­a LeganÃ©s Planning Executive Junior iProspect Patricia Lara Senior Account Manager StoryLab Berta Roura Senior Account Manager StoryLab,
Luum Awards,2024,Silver,Essence of the Message - Solidarity - Outdoor,Car Parts for Life,De La Cruz - Ogilvy,,SebastiÃ¡n Bullorini JosÃ© Morales / Tanya de Jesus / Vicky ValdÃ©s Heidi Vidal / Enrique GarcÃ­a Thompson / Raquel Cordero Nanel RodrÃ­guez Innovation Director Carmen DÃ­az Production Manager Carlos Escriva Editor Javier De Bourg Head of Art Sergio Tirado Content Producer Axel Santiago Content Producer Joseph Rivera Content Producer,
Luum Awards,2024,Silver,Society - Hunger,Growing Hope,Digitas,Quaker,"Carlos""Charro"" Altamirano Alfredo Sifuentes Gabriel Martinez Luisa Morcos",
Luum Awards,2024,Silver,Society - Poverty,Growing Hope,Digitas,Quaker,"Carlos""Charro"" Altamirano Alfredo Sifuentes Gabriel Martinez Luisa Morcos",
Luum Awards,2024,Silver,Human Rights - Reducing Inequalities - Gender Equality,Hola soy HeinIA,Digitas,Heineken,"Carlos""Charro"" Altamirano Jason Vasquez Florencia Luna Eduardo Rojas Ruben Carbonell Luisa Morcos Raquel Becerra",
Luum Awards,2024,Silver,Essence of the Message - Sporting values - PR-CRM,Hola soy HeinIA,Digitas,Heineken,"Carlos""Charro"" Altamirano Jason Vasquez Florencia Luna Eduardo Rojas Ruben Carbonell Luisa Morcos Raquel Becerra",
Luum Awards,2024,Silver,Institutional Communication,SOS 72 hours to save lives,Ache,,,
Luum Awards,2024,Silver,Institutional Communication,Manicure Against Cancer,HouseDentsu,Fundamuro,Pablo Castillo Miri NuÃ±ez / Seilyn Campos Pablo Castillo KaijÃº Creators,
Luum Awards,2024,Silver,Health & Wellness - Health & Wellness Education & Awareness - PR-CRM,Manicure Against Cancer,HouseDentsu,Fundamuro,Pablo Castillo Miri NuÃ±ez / Seilyn Campos Pablo Castillo KaijÃº Creators,
Luum Awards,2024,Silver,Human Rights - Reducing Inequalities - Other Inequalities,Switch to Sign AkuPakaiBISINDO,i-dac Indonesia,Telkomsel,CCO: Linda Mutiara Chasanah Creative Director: Nia Nugroho Copywriter: Lakky Ramadhani Art Director: Angga Rahmanda Yessica Ade Account Lead: Yulia Irma Rini Strategy Planning: Isabella Reharta Producer: Riri Usman Reynaldo Team Member: Sri Bintang Darmawan/Andika Wendri/Nana Nurdiansyah/Daniel Doddy/Hafizhul Fadhli,
Luum Awards,2024,Silver,Health & Wellness - Mental Health Education & Awareness - Internet-Social Media,Talk Saves Life Alodokterâ€™s Talking Banner to Save Life on World Mental Health Day,i-dac Indonesia,Alodokter,Creative Director: Fahmi Rahmadiputra Copywriter: Laurentius Erik Art Director: Fahmi RahmadiputraCEO: Fitri Rizayati / Euvine Winarni Group Head: Mochamad Arif Strategy Planning: Reza Pebrianto Producer: Johan Christian Team Member: Chrisna Dhayu / Anggi Pradita / Wina Sekar,
Luum Awards,2024,Silver,Essence of the Message - Diversity and inclusion - Effectiveness,Valuable Women,Inbrax,CASA DE MONEDA DE CHILE (CHILEAN GOVERNMENT MINT),Pancho GonzÃ¡lez CristiÃ¡n ChÃ¡vez Esteban Fuentes Mariana Quintana Diego Medina Carolina Pinheiro Gabriele Lotholz Mundy Ãlvarez Jean Carlo Venti,
Luum Awards,2024,Silver,Essence of the Message - Diversity and inclusion - Internet-Social Media,Valuable Women,Inbrax,CASA DE MONEDA DE CHILE (CHILEAN GOVERNMENT MINT),Pancho GonzÃ¡lez CristiÃ¡n ChÃ¡vez Esteban Fuentes Mariana Quintana Diego Medina Carolina Pinheiro Gabriele Lotholz Mundy Ãlvarez Jean Carlo Venti,
Luum Awards,2024,Silver,Health & Wellness - Health & Wellness Education & Awareness - Internet-Social Media,Unboxer of Prevention,Inbrax,FundaciÃ³n ChileSinCÃ¡ncer,Pancho GonzÃ¡lez Danilo Vera Jean Carlo Venti Carolina Pinheiro Ricardo Ãlvarez,
Luum Awards,2024,Silver,Health & Wellness - Health & Wellness Education & Awareness - Internet-Social Media,Unboxer of Prevention,Inbrax,FundaciÃ³n ChileSinCÃ¡ncer,Pancho GonzÃ¡lez Danilo Vera Jean Carlo Venti Carolina Pinheiro Ricardo Ãlvarez,
Luum Awards,2024,Silver,Planet - Responsible Consumption and Production,Kubotaâ€™s Turn Waste to AGRIwear,The Leo Burnett Group,KUBOTA,Prasert Vijitpawan CCO / Thiti Boonkerd Deputy ECD Nattapon Trungruang Senior Copywriter / Norawit Saratsamith Senior Copywriter Yosathorn Numbenjapol Account Management Director / Jirachada Buranathanasin Senior Account Manager / Phattanant Boonnak Account Manager Teerawat Kraiarb Senior Art Director / Pongpan Boonmak Art Director / Theetasak Dangrojana Creative Group Head / Ratee Ngarmniyom Creative Director,
Luum Awards,2024,Silver,Designs for a better world - Eco-friendly and Sustainable Advertising,Kubotaâ€™s Turn Waste to AGRIwear,The Leo Burnett Group,KUBOTA,Prasert Vijitpawan CCO / Thiti Boonkerd Deputy ECD Nattapon Trungruang Senior Copywriter / Norawit Saratsamith Senior Copywriter Yosathorn Numbenjapol Account Management Director / Jirachada Buranathanasin Senior Account Manager / Phattanant Boonnak Account Manager Teerawat Kraiarb Senior Art Director / Pongpan Boonmak Art Director / Theetasak Dangrojana Creative Group Head / Ratee Ngarmniyom Creative Director,
Luum Awards,2024,Silver,Planet - Climate Action - Print,DESOLATION,Matix_,GREENPEACE,DGC: Jimmy Landaburu Team: Matix_ Jaime Bernardo Gloria TufiÃ±o Dir Cuentas: Isabel Amaya,
Luum Awards,2024,Silver,Human Rights - Reducing Inequalities - Gender Equality,LaCenaQueElegÃ­ (The Dinner i Chose)LaCenaQueElegÃ­ (The Dinner i Chose),Manifiesto,,,
Luum Awards,2024,Silver,Essence of the Message - Diversity and inclusion - Internet-Social Media,LaCenaQueElegÃ­ (The Dinner i Chose),Manifiesto,,,
Luum Awards,2024,Silver,Society - Campaign against sexual exploitation and abuse,UNHAPPY MOTHERHOODS,McCann,UNFPA,Omar Polo Olenky Rosales Patricia GarcÃ­a Othmell Rodriguez,
Luum Awards,2024,Silver,Society - Childhood - Stop Pedofilia,UNHAPPY MOTHERHOODS,McCann,UNFPA,Omar Polo Olenky Rosales Patricia GarcÃ­a Othmell Rodriguez,
Luum Awards,2024,Silver,Human Rights - Family,UNHAPPY MOTHERHOODS,McCann,UNFPA,Omar Polo Olenky Rosales Patricia GarcÃ­a Othmell Rodriguez,
Luum Awards,2024,Silver,Human Rights - Human Rights - Campaigns,Be less human,OlÃ­stico,INTERNATIONAL AMNESTY,Miguel OrmeÃ±o Roberto Benavides Diego Coloma Sheyla Grajales Gonzalo Maiz Angie Agurto Manu Chong,
Luum Awards,2024,Silver,Institutional Communication,Be less human,OlÃ­stico,INTERNATIONAL AMNESTY,Miguel OrmeÃ±o Roberto Benavides Diego Coloma Sheyla Grajales Gonzalo Maiz Angie Agurto Manu Chong,
Luum Awards,2024,Silver,Causes - Partnerships to Achieve Goals - Outdoor,UNCOMFORTABLE,Paradais DDB,UNIVERSIDAD CASA GRANDE,Creative President: AgustÃ­n Febres-Cordero CSO (Chief Strategy Officer): Ricardo Medina Chief Growth Officer: MarÃ­a JosÃ© Pastor Executive Creative Director: Lupas Celis Creative Direction: Sergio Moraga Art Direction: Gabriel Saavedra Daniella SÃ¡nchez Creative Copywriters: Gabriela Cuenca Miguel Barreto Designer: Gabriela Bastidas Account Director: Ilse GarcÃ­a Account Executives: Paul Alvear Emely Valencia Strategic Planner: Solange Romo Community Manager: Ana Paula ChusÃ¡n Post Producer: SebastiÃ¡n Villena Carlos Wong Field Production: Cesar Knezevich Betty MorÃ¡n Creative Team: Juan Pardo Gabriela ChavarrÃ­a Paula MarÃ­n Arianna Correia Carlos Wong AndrÃ©s Vallejo Harving Serrano Olivia Kusijanovic Kharyme Simon Collaborative Agency PR: Gran Idea Audiovisual Production Company: La Canguilera CLIENTS: Adriana Illingworth Melissa Santoro Jimena Babra Ernesto Noboa,
