Festival,Year,Award,Track,Title,Agency,Brand,Team,Board image,Permalink
Luum Awards,2024,Silver,Society - Hunger,Growing Hope,Digitas,Quaker,CarlosCharro Altamirano Alfredo Sifuentes Gabriel Martinez Luisa Morcos,,/awards/luum_awards/2024/campaigns/growing-hope-quaker-digitas-2024/
Luum Awards,2024,Silver,Society - Poverty,Growing Hope,Digitas,Quaker,CarlosCharro Altamirano Alfredo Sifuentes Gabriel Martinez Luisa Morcos,,/awards/luum_awards/2024/campaigns/growing-hope-quaker-digitas-2024-2/
Luum Awards,2024,Silver,Human Rights - Reducing Inequalities - Gender Equality,Hola soy HeinIA,Digitas,Heineken,CarlosCharro Altamirano Jason Vasquez Florencia Luna Eduardo Rojas Ruben Carbonell Luisa Morcos Raquel Becerra,,/awards/luum_awards/2024/campaigns/hola-soy-heinia-heineken-digitas-2024/
Luum Awards,2024,Silver,Essence of the Message - Sporting values - PR-CRM,Hola soy HeinIA,Digitas,Heineken,CarlosCharro Altamirano Jason Vasquez Florencia Luna Eduardo Rojas Ruben Carbonell Luisa Morcos Raquel Becerra,,/awards/luum_awards/2024/campaigns/hola-soy-heinia-heineken-digitas-2024-2/
Luum Awards,2024,Silver,Institutional Communication,SOS 72 hours to save lives,Ache,,,,/awards/luum_awards/2024/campaigns/sos-72-hours-to-save-lives-ache-2024/
Luum Awards,2024,Silver,Institutional Communication,Manicure Against Cancer,HouseDentsu,Fundamuro,Pablo Castillo Miri NuAez - Seilyn Campos Pablo Castillo KaijAo Creators,,/awards/luum_awards/2024/campaigns/manicure-against-cancer-fundamuro-housedentsu-2024/
Luum Awards,2024,Silver,Health Wellness - Health Wellness Education Awareness - PR-CRM,Manicure Against Cancer,HouseDentsu,Fundamuro,Pablo Castillo Miri NuAez - Seilyn Campos Pablo Castillo KaijAo Creators,,/awards/luum_awards/2024/campaigns/manicure-against-cancer-fundamuro-housedentsu-2024-2/
Luum Awards,2024,Silver,Human Rights - Reducing Inequalities - Other Inequalities,Switch to Sign AkuPakaiBISINDO,i-dac Indonesia,Telkomsel,CCO Linda Mutiara Chasanah Creative Director Nia Nugroho Copywriter Lakky Ramadhani Art Director Angga Rahmanda Yessica Ade Account Lead Yulia Irma Rini Strategy Planning Isabella Reharta Producer Riri Usman Reynaldo Team Member Sri Bintang Darmawan-Andika Wendri-Nana Nurdiansyah-Daniel Doddy-Hafizhul Fadhli,,/awards/luum_awards/2024/campaigns/switch-to-sign-akupakaibisindo-telkomsel-i-dac-indonesia-2024-2/
Luum Awards,2024,Silver,Health Wellness - Mental Health Education Awareness - Internet-Social Media,Talk Saves Life AlodokteraTMs Talking Banner to Save Life on World Mental Health Day,i-dac Indonesia,Alodokter,Creative Director Fahmi Rahmadiputra Copywriter Laurentius Erik Art Director Fahmi RahmadiputraCEO Fitri Rizayati - Euvine Winarni Group Head Mochamad Arif Strategy Planning Reza Pebrianto Producer Johan Christian Team Member Chrisna Dhayu - Anggi Pradita - Wina Sekar,,/awards/luum_awards/2024/campaigns/talk-saves-life-alodokteratms-talking-banner-to-save-life-on-world-mental-health-day-alodokter-i-dac-indonesia-2024/
Luum Awards,2024,Silver,Essence of the Message - Diversity and inclusion - Effectiveness,Valuable Women,Inbrax,CASA DE MONEDA DE CHILE CHILEAN GOVERNMENT MINT,Pancho GonzAlez CristiAn ChAvez Esteban Fuentes Mariana Quintana Diego Medina Carolina Pinheiro Gabriele Lotholz Mundy Alvarez Jean Carlo Venti,,/awards/luum_awards/2024/campaigns/valuable-women-casa-de-moneda-de-chile-chilean-government-mint-inbrax-2024/
Luum Awards,2024,Silver,Essence of the Message - Diversity and inclusion - Internet-Social Media,Valuable Women,Inbrax,CASA DE MONEDA DE CHILE CHILEAN GOVERNMENT MINT,Pancho GonzAlez CristiAn ChAvez Esteban Fuentes Mariana Quintana Diego Medina Carolina Pinheiro Gabriele Lotholz Mundy Alvarez Jean Carlo Venti,,/awards/luum_awards/2024/campaigns/valuable-women-casa-de-moneda-de-chile-chilean-government-mint-inbrax-2024-2/
Luum Awards,2024,Silver,Health Wellness - Health Wellness Education Awareness - Internet-Social Media,Unboxer of Prevention,Inbrax,FundaciA3n ChileSinCAncer,Pancho GonzAlez Danilo Vera Jean Carlo Venti Carolina Pinheiro Ricardo Alvarez,,/awards/luum_awards/2024/campaigns/unboxer-of-prevention-fundacia3n-chilesincancer-inbrax-2024/
Luum Awards,2024,Silver,Health Wellness - Health Wellness Education Awareness - Internet-Social Media,Unboxer of Prevention,Inbrax,FundaciA3n ChileSinCAncer,Pancho GonzAlez Danilo Vera Jean Carlo Venti Carolina Pinheiro Ricardo Alvarez,,/awards/luum_awards/2024/campaigns/unboxer-of-prevention-fundacia3n-chilesincancer-inbrax-2024-2/
Luum Awards,2024,Silver,Planet - Responsible Consumption and Production,KubotaaTMs Turn Waste to AGRIwear,The Leo Burnett Group,KUBOTA,Prasert Vijitpawan CCO - Thiti Boonkerd Deputy ECD Nattapon Trungruang Senior Copywriter - Norawit Saratsamith Senior Copywriter Yosathorn Numbenjapol Account Management Director - Jirachada Buranathanasin Senior Account Manager - Phattanant Boonnak Account Manager Teerawat Kraiarb Senior Art Director - Pongpan Boonmak Art Director - Theetasak Dangrojana Creative Group Head - Ratee Ngarmniyom Creative Director,,/awards/luum_awards/2024/campaigns/kubotaatms-turn-waste-to-agriwear-kubota-the-leo-burnett-group-2024-3/
Luum Awards,2024,Silver,Designs for a better world - Eco-friendly and Sustainable Advertising,KubotaaTMs Turn Waste to AGRIwear,The Leo Burnett Group,KUBOTA,Prasert Vijitpawan CCO - Thiti Boonkerd Deputy ECD Nattapon Trungruang Senior Copywriter - Norawit Saratsamith Senior Copywriter Yosathorn Numbenjapol Account Management Director - Jirachada Buranathanasin Senior Account Manager - Phattanant Boonnak Account Manager Teerawat Kraiarb Senior Art Director - Pongpan Boonmak Art Director - Theetasak Dangrojana Creative Group Head - Ratee Ngarmniyom Creative Director,,/awards/luum_awards/2024/campaigns/kubotaatms-turn-waste-to-agriwear-kubota-the-leo-burnett-group-2024-4/
Luum Awards,2024,Silver,Planet - Climate Action - Print,DESOLATION,Matix-,GREENPEACE,DGC Jimmy Landaburu Team Matix- Jaime Bernardo Gloria TufiAo Dir Cuentas Isabel Amaya,,/awards/luum_awards/2024/campaigns/desolation-greenpeace-matix-2024/
Luum Awards,2024,Silver,Human Rights - Reducing Inequalities - Gender Equality,LaCenaQueElegA The Dinner i ChoseLaCenaQueElegA The Dinner i Chose,Manifiesto,,,,/awards/luum_awards/2024/campaigns/lacenaqueelega-the-dinner-i-choselacenaqueelega-the-dinner-i-chose-manifiesto-2024/
Luum Awards,2024,Silver,Essence of the Message - Diversity and inclusion - Internet-Social Media,LaCenaQueElegA The Dinner i Chose,Manifiesto,,,,/awards/luum_awards/2024/campaigns/lacenaqueelega-the-dinner-i-chose-manifiesto-2024/
Luum Awards,2024,Silver,Society - Campaign against sexual exploitation and abuse,UNHAPPY MOTHERHOODS,McCann,UNFPA,Omar Polo Olenky Rosales Patricia GarcAa Othmell Rodriguez,,/awards/luum_awards/2024/campaigns/unhappy-motherhoods-unfpa-mccann-2024/
Luum Awards,2024,Silver,Society - Childhood - Stop Pedofilia,UNHAPPY MOTHERHOODS,McCann,UNFPA,Omar Polo Olenky Rosales Patricia GarcAa Othmell Rodriguez,,/awards/luum_awards/2024/campaigns/unhappy-motherhoods-unfpa-mccann-2024-2/
Luum Awards,2024,Silver,Human Rights - Family,UNHAPPY MOTHERHOODS,McCann,UNFPA,Omar Polo Olenky Rosales Patricia GarcAa Othmell Rodriguez,,/awards/luum_awards/2024/campaigns/unhappy-motherhoods-unfpa-mccann-2024-3/
Luum Awards,2024,Silver,Human Rights - Human Rights - Campaigns,Be less human,OlAstico,INTERNATIONAL AMNESTY,Miguel OrmeAo Roberto Benavides Diego Coloma Sheyla Grajales Gonzalo Maiz Angie Agurto Manu Chong,,/awards/luum_awards/2024/campaigns/be-less-human-international-amnesty-olastico-2024/
Luum Awards,2024,Silver,Institutional Communication,Be less human,OlAstico,INTERNATIONAL AMNESTY,Miguel OrmeAo Roberto Benavides Diego Coloma Sheyla Grajales Gonzalo Maiz Angie Agurto Manu Chong,,/awards/luum_awards/2024/campaigns/be-less-human-international-amnesty-olastico-2024-2/
Luum Awards,2024,Silver,Causes - Partnerships to Achieve Goals - Outdoor,UNCOMFORTABLE,Paradais DDB,UNIVERSIDAD CASA GRANDE,Creative President AgustAn Febres-Cordero CSO Chief Strategy Officer Ricardo Medina Chief Growth Officer MarAa JosA Pastor Executive Creative Director Lupas Celis Creative Direction Sergio Moraga Art Direction Gabriel Saavedra Daniella SAnchez Creative Copywriters Gabriela Cuenca Miguel Barreto Designer Gabriela Bastidas Account Director Ilse GarcAa Account Executives Paul Alvear Emely Valencia Strategic Planner Solange Romo Community Manager Ana Paula ChusAn Post Producer SebastiAn Villena Carlos Wong Field Production Cesar Knezevich Betty MorAn Creative Team Juan Pardo Gabriela ChavarrAa Paula MarAn Arianna Correia Carlos Wong AndrAs Vallejo Harving Serrano Olivia Kusijanovic Kharyme Simon Collaborative Agency PR Gran Idea Audiovisual Production Company La Canguilera CLIENTS Adriana Illingworth Melissa Santoro Jimena Babra Ernesto Noboa,,/awards/luum_awards/2024/campaigns/uncomfortable-universidad-casa-grande-paradais-ddb-2024/
Luum Awards,2024,Silver,Causes - Causes - Campaigns,UNCOMFORTABLE,Paradais DDB,UNIVERSIDAD CASA GRANDE,Creative President AgustAn Febres-Cordero CSO Chief Strategy Officer Ricardo Medina Chief Growth Officer MarAa JosA Pastor Executive Creative Director Lupas Celis Creative Direction Sergio Moraga Art Direction Gabriel Saavedra Daniella SAnchez Creative Copywriters Gabriela Cuenca Miguel Barreto Designer Gabriela Bastidas Account Director Ilse GarcAa Account Executives Paul Alvear Emely Valencia Strategic Planner Solange Romo Community Manager Ana Paula ChusAn Post Producer SebastiAn Villena Carlos Wong Field Production Cesar Knezevich Betty MorAn Creative Team Juan Pardo Gabriela ChavarrAa Paula MarAn Arianna Correia Carlos Wong AndrAs Vallejo Harving Serrano Olivia Kusijanovic Kharyme Simon Collaborative Agency PR Gran Idea Audiovisual Production Company La Canguilera CLIENTS Adriana Illingworth Melissa Santoro Jimena Babra Ernesto Noboa,,/awards/luum_awards/2024/campaigns/uncomfortable-universidad-casa-grande-paradais-ddb-2024-2/
Luum Awards,2024,Silver,Causes - Partnerships to Achieve Goals - PR-CRM,UNCOMFORTABLE,Paradais DDB,UNIVERSIDAD CASA GRANDE,Creative President AgustAn Febres-Cordero CSO Chief Strategy Officer Ricardo Medina Chief Growth Officer MarAa JosA Pastor Executive Creative Director Lupas Celis Creative Direction Sergio Moraga Art Direction Gabriel Saavedra Daniella SAnchez Creative Copywriters Gabriela Cuenca Miguel Barreto Designer Gabriela Bastidas Account Director Ilse GarcAa Account Executives Paul Alvear Emely Valencia Strategic Planner Solange Romo Community Manager Ana Paula ChusAn Post Producer SebastiAn Villena Carlos Wong Field Production Cesar Knezevich Betty MorAn Creative Team Juan Pardo Gabriela ChavarrAa Paula MarAn Arianna Correia Carlos Wong AndrAs Vallejo Harving Serrano Olivia Kusijanovic Kharyme Simon Collaborative Agency PR Gran Idea Audiovisual Production Company La Canguilera CLIENTS Adriana Illingworth Melissa Santoro Jimena Babra Ernesto Noboa,,/awards/luum_awards/2024/campaigns/uncomfortable-universidad-casa-grande-paradais-ddb-2024-3/
Luum Awards,2024,Silver,Health Wellness - Health Wellness - Campaigns,Sleep Stunner,Redbin Philippines,SleepMD,Chief Creative Director Ben Berdin Creative Director Rose Pantoja-Beldia Associate Creative Director RJ Espartinez Copywriter RJ Espartinez Jr Art Director Coleen Madera Richard Nicolas Sr Art Director Kim Salonga Account Manager Patricia Candaza General Manager Jam Loresto Project Manager Jie Lim Digital Marketing Manager Tony Tuason Community Manager Allyssa Marie SemaAa Digital Campaign Manager Nori Isturis,,/awards/luum_awards/2024/campaigns/sleep-stunner-sleepmd-redbin-philippines-2024/
Luum Awards,2024,Silver,Health Wellness - Health Wellness Education Awareness - Internet-Social Media,Sleep Stunner,Redbin Philippines,SleepMD,Chief Creative Director Ben Berdin Creative Director Rose Pantoja-Beldia Associate Creative Director RJ Espartinez Copywriter RJ Espartinez Jr Art Director Coleen Madera Richard Nicolas Sr Art Director Kim Salonga Account Manager Patricia Candaza General Manager Jam Loresto Project Manager Jie Lim Digital Marketing Manager Tony Tuason Community Manager Allyssa Marie SemaAa Digital Campaign Manager Nori Isturis,,/awards/luum_awards/2024/campaigns/sleep-stunner-sleepmd-redbin-philippines-2024-2/
Luum Awards,2024,Silver,Causes - Partnerships to Achieve Goals - Film,30 Seconds To Fight Vaping30 Seconds To Fight Vaping,Republika Independiente,RENATA National Anti-Tobacco Network,,,/awards/luum_awards/2024/campaigns/30-seconds-to-fight-vaping30-seconds-to-fight-vaping-renata-national-anti-tobacco-network-republika-independiente-2024/
Luum Awards,2024,Silver,Human Rights - Family,Invisible,Shernan Creative Collective,Provincial Council of Guipuzcoa,,,/awards/luum_awards/2024/campaigns/invisible-provincial-council-of-guipuzcoa-shernan-creative-collective-2024/
Luum Awards,2024,Silver,Causes - Fundraising Advocacy - Internet-Social Media,Speechlist,TANK Worldwide,Speechlist,Marty Martinez Bernardo RodrAguez Pons Camilo MonzA3n Navas Jillian Mastroianni,,/awards/luum_awards/2024/campaigns/speechlist-speechlist-tank-worldwide-2024-5/
Luum Awards,2024,Silver,Essence of the Message - Sporting values - Film,Hear whataTMs not being said,The Amazing Society,The Swedish Equestrian Federation,Sara WikstrAm Matilda Hansson Carin Taxing Lisa Millberg Nathanelle Andersson Erika Savander Alexandra Borg,,/awards/luum_awards/2024/campaigns/hear-whatatms-not-being-said-the-swedish-equestrian-federation-the-amazing-society-2024/
Luum Awards,2024,Silver,Planet - Climate Action,ARTBIENTALISM,The 3Hundred Agency,,,,/awards/luum_awards/2024/campaigns/artbientalism-the-3hundred-agency-2024/
Luum Awards,2024,Silver,Planet - Promoting Clean Water and Sanitation,Everglades Stories from Across the Watershed,The Everglades Foundation,The Everglades Foundation,Direction and Production Director of Communications for The Everglades Foundation - BegoAe Cazalis Video Production Specialist for The Everglades Foundation - Javier Lozada Producer-Engineer Heavy Air Media - Javier Carrion Assistant Production Digital Marketing Coordinator for The Everglades Foundation - Kim Gooch Webmaster Production and Content Creation Heavy Air Media - Stephanie Tiangco,,/awards/luum_awards/2024/campaigns/everglades-stories-from-across-the-watershed-the-everglades-foundation-the-everglades-foundation-2024/
Luum Awards,2024,Silver,Causes - Causes - Campaigns,CIEN,Tribeca Media,plazaVea,General Creative Director Lea Raggio Art Director Marlon Valencia -Copy Ernesto RioFrAo Carolina Salazar Casetera,,/awards/luum_awards/2024/campaigns/cien-plazavea-tribeca-media-2024-2/
Luum Awards,2024,Silver,Essence of the Message - Solidarity - Internet-Social Media,CIEN,Tribeca Media,plazaVea,General Creative Director Lea Raggio Art Director Marlon Valencia - Copy Ernesto RioFrAo Carolina Salazar Casetera,,/awards/luum_awards/2024/campaigns/cien-plazavea-tribeca-media-2024-3/
Luum Awards,2024,Silver,Health Wellness - Health Wellness Education Awareness - Print,Not a lonely journey a Travel Guide Collection for SMA Patients,VML HEALTH,SMA Awareness,Fabio De Vecchi Sonia Cosentino Agnes Mastikian Joanna Rechul Gabriele Silvagni Managing Director,,/awards/luum_awards/2024/campaigns/not-a-lonely-journey-a-travel-guide-collection-for-sma-patients-sma-awareness-vml-health-2024/
Luum Awards,2024,Silver,Health Wellness - Alcoholism Tobbaco addictions and substances use disorders,DonaTMt Burn Their Future,X3M ideas,FCCPC,CCO Steve Babaeko - ECD Mike Miller - DCD Kelechi Uduma - DCD Sam Oluwagbemi Temitope Ayeni - Vivian Nwadike,,/awards/luum_awards/2024/campaigns/donatmt-burn-their-future-fccpc-x3m-ideas-2024/
Luum Awards,2024,Silver,Institutional Communication,HEROES OF LIFE,Nexa Brand,HOSPITAL SAO JOSA,,,/awards/luum_awards/2024/campaigns/heroes-of-life-hospital-sao-josa-nexa-brand-2024/
Luum Awards,2024,Silver,Designs for a better world - Design Solutions for a Better World,The Game of change a End Child Marriage,MAAD McCANN,UNICEF,,,/awards/luum_awards/2024/campaigns/the-game-of-change-a-end-child-marriage-unicef-maad-mccann-2024/
Luum Awards,2024,Shortlist,Designs for a better world - Design Solutions for a Better World Outdoor,Fishing For Data,Havas - Publicis Worldwide,Bank BNP Paribas,RafaA RyA Creative Director Havas Poland Dagmara Witek-KuAmider Chief Creative Officer at Publicis Worldwide Poland Dominika HaAas Senior Art Director Natalia Milewska Senior Copywriter Havas Poland Tomasz ZiemiaAski Associate Creative Director Bartosz Jeglejewski Groupe Head Publicis Worldwide Poland Monika BrzeziAska Groupe Account Director Havas Poland Anna KubeA Integrated Communication Supervisor Publicis Worldwide Poland,,/awards/luum_awards/2024/campaigns/fishing-for-data-bank-bnp-paribas-havas-publicis-worldwide-2024/
Luum Awards,2024,Shortlist,Society - Childhood - Child Rights Education and Awareness,The Graduate,180 Heartbeats,Zwolnieni z Teorii,Adam SmereczyAski Aleksander Frydrych Emila BAaszczak Martyna Walkowiak,,/awards/luum_awards/2024/campaigns/the-graduate-zwolnieni-z-teorii-180-heartbeats-2024/
Luum Awards,2024,Shortlist,Health Wellness - Health Wellness Education Awareness - Film,To Live With No Fear,Havas Creative,FundaciA3n MD Anderson Cancer Center EspaAa,Nacho Soria Ana Pozuelo - Sandra Preciados,,/awards/luum_awards/2024/campaigns/to-live-with-no-fear-fundacia3n-md-anderson-cancer-center-espaaa-havas-creative-2024/
Luum Awards,2024,Shortlist,Essence of the Message - Respect for Animal Rights,Tracks of Extinction,proof,Mineral Water Velingrad,Angel Iskrev Zhivko Bozdanski Copywriter Emanuela Belovarski Head of Art Ilian Iliev Art Director Sanya Stefanova David Kirilov Designer Propaganda PR partner Savina Dimova-Palikareva Marketing Manager-Cleint-Side,,/awards/luum_awards/2024/campaigns/tracks-of-extinction-mineral-water-velingrad-proof-2024/
Luum Awards,2024,Shortlist,Essence of the Message - Diversity and inclusion - Film,FanAticos de lo Real,Omnicom Public Relations Group,Burger King,Andrea Mejorada Head of Corporate Communications Restaurant Brands Iberia Paula BarrabAs Corporate Communications Restaurant Brands Iberia,,/awards/luum_awards/2024/campaigns/fanaticos-de-lo-real-burger-king-omnicom-public-relations-group-2024/
