Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,THE GIANT SOURDOUGH,COOP,COOP,Exhibitions & Installations,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/483304faa8844390990e5f95639dc8aa
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,THE KISS OF DANTE AND BEATRICE,UNILEVER,LOLA MULLENLOWE,Exhibitions & Installations,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/fadcc25ca79441ea9bec9f76cb830caf
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,LET IT ALL ART,BNP PARIBAS,PUBLICIS,Exhibitions & Installations,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/1d880921a4b14a469c83d84c72f2b7cb/storyboard_000008.jpg?resize=600,600
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,TRIVIAL PURSUIT HOTEL,HASBRO,HASBRO RUSSIA,Exhibitions & Installations,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/a8fc78c8db56432090634bca37b37ed4
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,TOKYO TREE,DEUTSCHE SPORT MARKETING GMBH / DEUTSCHER OLYMPISCHER SPORTBUND EV (GERMAN OLY,KOLLE REBBE PART OF ACCENTURE INTERACTIVE,Exhibitions & Installations,Submitted,https://images.ctfassets.net/8ha5xom4da7e/1GStA8cUUMJnbepXVsQwox/7aaaddc9cb7ae9f22939053c2fe46b31/LTW_placeholder_4.svg
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,CANCELLED CLOWN,BURGER KING,INGO,Exhibitions & Installations,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/be72a838e010434a93bd9887e9df8ede
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,ELECTRIC WASTE FC,RECUPEL,MORTIERBRIGADE,Exhibitions & Installations,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/5d82635ddb55421d9533fcfda04b36d0
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,YUMOS SURVIVOR,YUMO?,WUNDERMAN THOMPSON TURKEY,Competitions & Promotional Games,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/e89481163c2346c1be23d46699fb24c7
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,LEGO SPEEDRUN,LEGO,McCANN,Competitions & Promotional Games,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/2c1fb3acb2f4460ba546317be2e38ef4
Eurobest,2021,CORPORATE PURPOSE & SOCIAL RESPONSIBILITY,KFCOPYPASTE,KFC,PS21,Competitions & Promotional Games,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/9d82be8760064336838d76fd4f9ce37e
