Festival,Year,Track,Title,Brand,Agency,Category,Award,Product,Permalink
The Loerie Awards,2025,Live Communications,AInything for the Taste in Drive-Thru,KFC South Africa,Ogilvy,LIVE ACTIVATIONS,Finalist,KFC Brand,/awards/the_loerie_awards/2025/campaigns/ainything-for-the-taste-in-drive-thru-kfc-south-africa-ogilvy-2025/
The Loerie Awards,2025,Live Communications,Check My Beat- Heart Health Tracks,Heart SA,McCann Worldgroup South Africa Pty Ltd t-a McCann Joburg,LIVE ACTIVATIONS,Finalist,Heart Screenings,/awards/the_loerie_awards/2025/campaigns/check-my-beat-heart-health-tracks-heart-sa-mccann-worldgroup-south-africa-pty-ltd-t-a-mccann-joburg-2025-4/
The Loerie Awards,2025,Live Communications,The Lazy Helpline,Sting,Impact BBDO,LIVE ACTIVATIONS,Finalist,Sting,/awards/the_loerie_awards/2025/campaigns/the-lazy-helpline-sting-impact-bbdo-2025/
The Loerie Awards,2025,Live Communications,Unwanted Sites,AfriSam,Promise,LIVE ACTIVATIONS,Finalist,Construction Materials,/awards/the_loerie_awards/2025/campaigns/unwanted-sites-afrisam-promise-2025-2/
The Loerie Awards,2025,Live Communications,Party now Peri later campaign,Nandos,VML SA,LIVE ACTIVATIONS,Finalist,Nandos,/awards/the_loerie_awards/2025/campaigns/party-now-peri-later-campaign-nandos-vml-sa-2025/
The Loerie Awards,2025,Live Communications,LumpDolls,Carrefour,Saatchi Saatchi Middle East,LIVE ACTIVATIONS,Finalist,Dolls,/awards/the_loerie_awards/2025/campaigns/lumpdolls-carrefour-saatchi-saatchi-middle-east-2025-4/
The Loerie Awards,2025,Live Communications,The F-Show,Sanlam,Accenture Song,LIVE ACTIVATIONS,Finalist,Financial,/awards/the_loerie_awards/2025/campaigns/the-f-show-sanlam-accenture-song-2025-3/
The Loerie Awards,2025,Live Communications,Crime Mystery Month,Netflix South Africa,Fairchild Creative,LIVE ACTIVATIONS,Finalist,Crime Mystery Month,/awards/the_loerie_awards/2025/campaigns/crime-mystery-month-netflix-south-africa-fairchild-creative-2025/
The Loerie Awards,2025,Live Communications,Fly Gogos,SAB ABInBev,We Are Bizarre Pty Ltd,LIVE ACTIVATIONS,Finalist,Flying Fish,/awards/the_loerie_awards/2025/campaigns/fly-gogos-sab-abinbev-we-are-bizarre-pty-ltd-2025/
The Loerie Awards,2025,Live Communications,McMenuless,McDonalds,Leo Middle East,LIVE ACTIVATIONS,Finalist,McDonalds Products,/awards/the_loerie_awards/2025/campaigns/mcmenuless-mcdonalds-leo-middle-east-2025/
The Loerie Awards,2025,Live Communications,Not Frozen Pizza,Pizza Hut,Publicis Middle East,LIVE ACTIVATIONS,Finalist,Pizza Hut,/awards/the_loerie_awards/2025/campaigns/not-frozen-pizza-pizza-hut-publicis-middle-east-2025-2/
The Loerie Awards,2025,Live Communications,Sponsored Balls,Testicular Cancer Society,Fortune Promoseven LLC,SPONSORSHIP,Silver,Testicular Cancer Awareness,/awards/the_loerie_awards/2025/campaigns/sponsored-balls-testicular-cancer-society-fortune-promoseven-llc-2025-2/
The Loerie Awards,2025,Live Communications,Matchday Meltdown,Showmax,TW Retroviral Grid Worldwide,SPONSORSHIP,Finalist,Showmax Premier League,/awards/the_loerie_awards/2025/campaigns/matchday-meltdown-showmax-tw-retroviral-grid-worldwide-2025-2/
The Loerie Awards,2025,Live Communications,The Luxurious Marble Circus,The Marble Group,Grid Worldwide,SPONSORSHIP,Finalist,The Luxurious Marble Circus,/awards/the_loerie_awards/2025/campaigns/the-luxurious-marble-circus-the-marble-group-grid-worldwide-2025-5/
The Loerie Awards,2025,Live Communications,Stitched With Cheer,Tusker Lager,Dentsu Creative Kenya,SPONSORSHIP,Finalist,Team Kenya Olympics,/awards/the_loerie_awards/2025/campaigns/stitched-with-cheer-tusker-lager-dentsu-creative-kenya-2025-5/
The Loerie Awards,2025,Live Communications,The 4th Judge,The Ring,BigTime Creative Shop,LIVE CRAFTS,Craft Gold,The Ring,/awards/the_loerie_awards/2025/campaigns/the-4th-judge-the-ring-bigtime-creative-shop-2025-5/
The Loerie Awards,2025,Live Communications,Social Screen,Heineken,LePub Johannesburg,LIVE CRAFTS,Craft Certificate,Heineken beer,/awards/the_loerie_awards/2025/campaigns/social-screen-heineken-lepub-johannesburg-2025-4/
The Loerie Awards,2025,Live Communications,The F-Show,Sanlam,Accenture Song,LIVE CRAFTS,Finalist,Financial,/awards/the_loerie_awards/2025/campaigns/the-f-show-sanlam-accenture-song-2025-4/
The Loerie Awards,2025,Live Communications,Check My Beat- Heart Health Tracks,Heart SA,McCann Worldgroup South Africa Pty Ltd t-a McCann Joburg,LIVE CRAFTS,Finalist,Heart Screenings,/awards/the_loerie_awards/2025/campaigns/check-my-beat-heart-health-tracks-heart-sa-mccann-worldgroup-south-africa-pty-ltd-t-a-mccann-joburg-2025-5/
The Loerie Awards,2025,Live Communications,Matchday Meltdown,Showmax,TW Retroviral Grid Worldwide,LIVE CRAFTS,Finalist,Showmax Premier League,/awards/the_loerie_awards/2025/campaigns/matchday-meltdown-showmax-tw-retroviral-grid-worldwide-2025-3/
The Loerie Awards,2025,Media Innovation,Unwanted Sites,AfriSam,Promise,SINGLE MEDIUM ELEMENT,Gold,Construction Materials,/awards/the_loerie_awards/2025/campaigns/unwanted-sites-afrisam-promise-2025-3/
The Loerie Awards,2025,Media Innovation,The Real Injury Time,SAB AbInBev,Ogilvy,SINGLE MEDIUM ELEMENT,Silver,Carling Black Label,/awards/the_loerie_awards/2025/campaigns/the-real-injury-time-sab-abinbev-ogilvy-2025-3/
The Loerie Awards,2025,Media Innovation,DryJan,Heineken Beverages South Africa,TBWA Hunt Lascaris Johannesburg Pty Ltd,SINGLE MEDIUM ELEMENT,Silver,Windhoek Beer,/awards/the_loerie_awards/2025/campaigns/dryjan-heineken-beverages-south-africa-tbwa-hunt-lascaris-johannesburg-pty-ltd-2025-3/
The Loerie Awards,2025,Media Innovation,There We Are,Home Centre,Publicis Middle East,SINGLE MEDIUM ELEMENT,Bronze,Furniture,/awards/the_loerie_awards/2025/campaigns/there-we-are-home-centre-publicis-middle-east-2025/
The Loerie Awards,2025,Media Innovation,Audi TikTok Test Drive,Audi South Africa,Ogilvy,SINGLE MEDIUM ELEMENT,Bronze,Audi RS 3,/awards/the_loerie_awards/2025/campaigns/audi-tiktok-test-drive-audi-south-africa-ogilvy-2025-4/
The Loerie Awards,2025,Media Innovation,MozaMbique has 2M,ABInBev,Create Mozambique,SINGLE MEDIUM ELEMENT,Finalist,2M Beer,/awards/the_loerie_awards/2025/campaigns/mozambique-has-2m-abinbev-create-mozambique-2025/
The Loerie Awards,2025,Media Innovation,Martell Tower,Pernod Ricard,PHD Media Nigeria,SINGLE MEDIUM ELEMENT,Finalist,Martell,/awards/the_loerie_awards/2025/campaigns/martell-tower-pernod-ricard-phd-media-nigeria-2025/
The Loerie Awards,2025,Media Innovation,Pay With Your Trend,Pizza Hut,Publicis Middle East,SINGLE MEDIUM ELEMENT,Finalist,Pizza Hut,/awards/the_loerie_awards/2025/campaigns/pay-with-your-trend-pizza-hut-publicis-middle-east-2025-3/
The Loerie Awards,2025,Media Innovation,Not Frozen Pizza,Pizza Hut,Publicis Middle East,SINGLE MEDIUM ELEMENT,Finalist,Pizza Hut,/awards/the_loerie_awards/2025/campaigns/not-frozen-pizza-pizza-hut-publicis-middle-east-2025-3/
The Loerie Awards,2025,Media Innovation,Ruby Blooms,Nana,Saatchi Saatchi Middle East,SINGLE MEDIUM ELEMENT,Finalist,Sanitary Pads,/awards/the_loerie_awards/2025/campaigns/ruby-blooms-nana-saatchi-saatchi-middle-east-2025-4/
The Loerie Awards,2025,Media Innovation,Shield The Protest,Courageous Conversation Global Foundation,Horizon FCB Dubai,SINGLE MEDIUM ELEMENT,Finalist,Courageous Conversation Global Foundation,/awards/the_loerie_awards/2025/campaigns/shield-the-protest-courageous-conversation-global-foundation-horizon-fcb-dubai-2025-3/
The Loerie Awards,2025,Media Innovation,Behind the Label,The Salvation Army,Clockwork,SINGLE MEDIUM ELEMENT,Finalist,The Salvation Army,/awards/the_loerie_awards/2025/campaigns/behind-the-label-the-salvation-army-clockwork-2025-3/
The Loerie Awards,2025,Media Innovation,Shattered Screens,Cell C,SHIFT,SINGLE MEDIUM ELEMENT,Finalist,Cell C,/awards/the_loerie_awards/2025/campaigns/shattered-screens-cell-c-shift-2025/
The Loerie Awards,2025,Media Innovation,The worlds smallest print ad,Heineken Beverages South Africa,TBWA Hunt Lascaris Johannesburg Pty Ltd,SINGLE MEDIUM ELEMENT,Finalist,Windhoek Beer,/awards/the_loerie_awards/2025/campaigns/the-worlds-smallest-print-ad-heineken-beverages-south-africa-tbwa-hunt-lascaris-johannesburg-pty-ltd-2025/
The Loerie Awards,2025,Media Innovation,The hidden billboard,Heineken Beverages South Africa,TBWA Hunt Lascaris Johannesburg Pty Ltd,SINGLE MEDIUM ELEMENT,Finalist,Windhoek Beer,/awards/the_loerie_awards/2025/campaigns/the-hidden-billboard-heineken-beverages-south-africa-tbwa-hunt-lascaris-johannesburg-pty-ltd-2025/
The Loerie Awards,2025,Media Innovation,Sams Stacks,PepsiCo,Machine-,SINGLE MEDIUM ELEMENT,Finalist,SASKO,/awards/the_loerie_awards/2025/campaigns/sams-stacks-pepsico-machine-2025/
The Loerie Awards,2025,Media Innovation,Cheetos Pants,Cheetos,Impact BBDO,SINGLE MEDIUM ELEMENT,Finalist,Cheetos,/awards/the_loerie_awards/2025/campaigns/cheetos-pants-cheetos-impact-bbdo-2025-4/
The Loerie Awards,2025,Media Innovation,Female Guardian,Nedbank,Joe Public,SINGLE MEDIUM ELEMENT,Finalist,Nedbank,/awards/the_loerie_awards/2025/campaigns/female-guardian-nedbank-joe-public-2025/
The Loerie Awards,2025,Media Innovation,Out of Your Home,SAB ABInBev,Joe Public,SINGLE MEDIUM ELEMENT,Finalist,Flying Fish,/awards/the_loerie_awards/2025/campaigns/out-of-your-home-sab-abinbev-joe-public-2025/
The Loerie Awards,2025,Media Innovation,Protective Hairstyles,AfriSam AfroBoutique,Promise,MULTIPLE MEDIA CAMPAIGN,Finalist,Construction Materials - Hair products,/awards/the_loerie_awards/2025/campaigns/protective-hairstyles-afrisam-afroboutique-promise-2025-2/
The Loerie Awards,2025,Media Innovation,Sun Courts,Nivea,Saatchi Saatchi Middle East,MULTIPLE MEDIA CAMPAIGN,Finalist,Nivea Sun,/awards/the_loerie_awards/2025/campaigns/sun-courts-nivea-saatchi-saatchi-middle-east-2025-4/
The Loerie Awards,2025,Media Innovation,The Dark Circle Sale,Home Centre,Leo Middle East,MULTIPLE MEDIA CAMPAIGN,Finalist,Furniture,/awards/the_loerie_awards/2025/campaigns/the-dark-circle-sale-home-centre-leo-middle-east-2025-7/
The Loerie Awards,2025,Media Innovation,GHOST TOWN,CARREFOURSA,TBWA-Istanbul,MULTIPLE MEDIA CAMPAIGN,Finalist,RETAIL,/awards/the_loerie_awards/2025/campaigns/ghost-town-carrefoursa-tbwa-istanbul-2025-4/
The Loerie Awards,2025,Media Innovation,Sun Courts,Nivea,Saatchi Saatchi Middle East,CHANNEL CREATIVITY,Gold,Nivea Sun,/awards/the_loerie_awards/2025/campaigns/sun-courts-nivea-saatchi-saatchi-middle-east-2025-5/
The Loerie Awards,2025,Media Innovation,There We Are,Home Centre,Publicis Middle East,CHANNEL CREATIVITY,Silver,Furniture,/awards/the_loerie_awards/2025/campaigns/there-we-are-home-centre-publicis-middle-east-2025-2/
The Loerie Awards,2025,Media Innovation,KFC Sauce Code,KFC South Africa,Ogilvy,CHANNEL CREATIVITY,Bronze,KFC Comic Con Africa,/awards/the_loerie_awards/2025/campaigns/kfc-sauce-code-kfc-south-africa-ogilvy-2025-2/
The Loerie Awards,2025,Media Innovation,Track Your Racks,Standard Bank,MC Saatchi Abel a division of The Up Up Group Pty Ltd,CHANNEL CREATIVITY,Bronze,Standard Bank,/awards/the_loerie_awards/2025/campaigns/track-your-racks-standard-bank-mc-saatchi-abel-a-division-of-the-up-up-group-pty-ltd-2025-4/
The Loerie Awards,2025,Media Innovation,Pay With Your Trend,Pizza Hut,Publicis Middle East,CHANNEL CREATIVITY,Bronze,Pizza Hut,/awards/the_loerie_awards/2025/campaigns/pay-with-your-trend-pizza-hut-publicis-middle-east-2025-4/
The Loerie Awards,2025,Media Innovation,Auto Reply-Break,KitKat,Publicis Middle East,CHANNEL CREATIVITY,Bronze,KitKat,/awards/the_loerie_awards/2025/campaigns/auto-reply-break-kitkat-publicis-middle-east-2025-3/
The Loerie Awards,2025,Media Innovation,Sloom NapBot,Sloom,TBWA- Hunt Lascaris,CHANNEL CREATIVITY,Finalist,WhatsApp Bot,/awards/the_loerie_awards/2025/campaigns/sloom-napbot-sloom-tbwa-hunt-lascaris-2025-2/
The Loerie Awards,2025,Media Innovation,Audi TikTok Test Drive,Audi South Africa,Ogilvy,CHANNEL CREATIVITY,Finalist,Audi RS 3,/awards/the_loerie_awards/2025/campaigns/audi-tiktok-test-drive-audi-south-africa-ogilvy-2025-5/
The Loerie Awards,2025,Media Innovation,Bringing The Ultimate Taste Test To Life Live MakeItKFC,KFC South Africa,Ogilvy,CHANNEL CREATIVITY,Finalist,KFC,/awards/the_loerie_awards/2025/campaigns/bringing-the-ultimate-taste-test-to-life-live-makeitkfc-kfc-south-africa-ogilvy-2025/
The Loerie Awards,2025,Media Innovation,Insured Billboards,easypaisa,Impact BBDO,CHANNEL CREATIVITY,Finalist,easypaisa,/awards/the_loerie_awards/2025/campaigns/insured-billboards-easypaisa-impact-bbdo-2025-2/
The Loerie Awards,2025,Media Innovation,Sams Stacks,PepsiCo,Machine-,CHANNEL CREATIVITY,Finalist,SASKO,/awards/the_loerie_awards/2025/campaigns/sams-stacks-pepsico-machine-2025-2/
The Loerie Awards,2025,Media Innovation,Sponsored Balls,Testicular Cancer Society,Fortune Promoseven LLC,CHANNEL CREATIVITY,Finalist,Testicular Cancer Awareness,/awards/the_loerie_awards/2025/campaigns/sponsored-balls-testicular-cancer-society-fortune-promoseven-llc-2025-3/
The Loerie Awards,2025,Media Innovation,The Unfluencer,KFC,Bananas,CHANNEL CREATIVITY,Finalist,Buldak Dunked Wings,/awards/the_loerie_awards/2025/campaigns/the-unfluencer-kfc-bananas-2025-3/
The Loerie Awards,2025,Media Innovation,The Dark Circle Sale,Home Centre,Leo Middle East,CHANNEL CREATIVITY,Finalist,Furniture,/awards/the_loerie_awards/2025/campaigns/the-dark-circle-sale-home-centre-leo-middle-east-2025-8/
The Loerie Awards,2025,Media Innovation,Ruby Blooms,Nana,Saatchi Saatchi Middle East,CHANNEL CREATIVITY,Finalist,Sanitary Pads,/awards/the_loerie_awards/2025/campaigns/ruby-blooms-nana-saatchi-saatchi-middle-east-2025-5/
The Loerie Awards,2025,Media Innovation,Unwanted Sites,AfriSam,Promise,CHANNEL CREATIVITY,Finalist,Construction Materials,/awards/the_loerie_awards/2025/campaigns/unwanted-sites-afrisam-promise-2025-4/
The Loerie Awards,2025,Media Innovation,Toyota Reclaims Toyota,ALJ Toyota,SERVICEPLAN MIDDLE EAST FZ-LLC,CHANNEL CREATIVITY,Finalist,Toyota,/awards/the_loerie_awards/2025/campaigns/toyota-reclaims-toyota-alj-toyota-serviceplan-middle-east-fz-llc-2025/
The Loerie Awards,2025,Media Innovation,Speedy Disclaimer Hijack,Sting,Impact BBDO,CHANNEL CREATIVITY,Finalist,Energy Drink,/awards/the_loerie_awards/2025/campaigns/speedy-disclaimer-hijack-sting-impact-bbdo-2025/
The Loerie Awards,2025,Media Innovation,Not Frozen Pizza,Pizza Hut,Publicis Middle East,CHANNEL CREATIVITY,Finalist,Pizza Hut,/awards/the_loerie_awards/2025/campaigns/not-frozen-pizza-pizza-hut-publicis-middle-east-2025-4/
The Loerie Awards,2025,Media Innovation,GHOST TOWN,CARREFOURSA,TBWA-Istanbul,CHANNEL CREATIVITY,Finalist,RETAIL,/awards/the_loerie_awards/2025/campaigns/ghost-town-carrefoursa-tbwa-istanbul-2025-5/
The Loerie Awards,2025,Media Innovation,MozaMbique has 2M,ABInBev,Create Mozambique,CHANNEL CREATIVITY,Finalist,2M Beer,/awards/the_loerie_awards/2025/campaigns/mozambique-has-2m-abinbev-create-mozambique-2025-2/
The Loerie Awards,2025,Media Innovation,SMARTA WITH DATA,Airtel,The Partnership PUBLICIS,CHANNEL CREATIVITY,Finalist,Telecommunication,/awards/the_loerie_awards/2025/campaigns/smarta-with-data-airtel-the-partnership-publicis-2025-2/
The Loerie Awards,2025,Media Innovation,Protective Hairstyles,AfriSam AfroBoutique,Promise,AUDIENCE INSIGHTS INNOVATION,Silver,Construction Materials - Hair products,/awards/the_loerie_awards/2025/campaigns/protective-hairstyles-afrisam-afroboutique-promise-2025-3/
The Loerie Awards,2025,Media Innovation,The F-Show,Sanlam,Accenture Song,AUDIENCE INSIGHTS INNOVATION,Silver,Financial,/awards/the_loerie_awards/2025/campaigns/the-f-show-sanlam-accenture-song-2025-5/
The Loerie Awards,2025,Media Innovation,Ruby Blooms,Nana,Saatchi Saatchi Middle East,AUDIENCE INSIGHTS INNOVATION,Silver,Sanitary Pads,/awards/the_loerie_awards/2025/campaigns/ruby-blooms-nana-saatchi-saatchi-middle-east-2025-6/
The Loerie Awards,2025,Media Innovation,Cheetos Pants,Cheetos,Impact BBDO,AUDIENCE INSIGHTS INNOVATION,Bronze,Cheetos,/awards/the_loerie_awards/2025/campaigns/cheetos-pants-cheetos-impact-bbdo-2025-5/
The Loerie Awards,2025,Media Innovation,Unwanted Sites,AfriSam,Promise,AUDIENCE INSIGHTS INNOVATION,Bronze,Construction Materials,/awards/the_loerie_awards/2025/campaigns/unwanted-sites-afrisam-promise-2025-5/
The Loerie Awards,2025,Media Innovation,Toyota Reclaims Toyota,ALJ Toyota,SERVICEPLAN MIDDLE EAST FZ-LLC,AUDIENCE INSIGHTS INNOVATION,Finalist,Toyota,/awards/the_loerie_awards/2025/campaigns/toyota-reclaims-toyota-alj-toyota-serviceplan-middle-east-fz-llc-2025-2/
The Loerie Awards,2025,Media Innovation,The Undercover Ad,Standard Bank,MC Saatchi Abel a division of The Up Up Group Pty Ltd,AUDIENCE INSIGHTS INNOVATION,Finalist,Standard Bank Banking App,/awards/the_loerie_awards/2025/campaigns/the-undercover-ad-standard-bank-mc-saatchi-abel-a-division-of-the-up-up-group-pty-ltd-2025-4/
The Loerie Awards,2025,Media Innovation,The Dark Circle Sale,Home Centre,Leo Middle East,AUDIENCE INSIGHTS INNOVATION,Finalist,Furniture,/awards/the_loerie_awards/2025/campaigns/the-dark-circle-sale-home-centre-leo-middle-east-2025-9/
The Loerie Awards,2025,Media Innovation,AfriKaraoke,SAB ABInBev,iProspect,AUDIENCE INSIGHTS INNOVATION,Finalist,Castle Milk Stout,/awards/the_loerie_awards/2025/campaigns/afrikaraoke-sab-abinbev-iprospect-2025/
The Loerie Awards,2025,Media Innovation,McMenuless,McDonalds,Leo Middle East,AUDIENCE INSIGHTS INNOVATION,Finalist,McDonalds Products,/awards/the_loerie_awards/2025/campaigns/mcmenuless-mcdonalds-leo-middle-east-2025-2/
The Loerie Awards,2025,Media Innovation,Pay With Your Trend,Pizza Hut,Publicis Middle East,AUDIENCE INSIGHTS INNOVATION,Finalist,Pizza Hut,/awards/the_loerie_awards/2025/campaigns/pay-with-your-trend-pizza-hut-publicis-middle-east-2025-5/
The Loerie Awards,2025,Media Innovation,Not Frozen Pizza,Pizza Hut,Publicis Middle East,AUDIENCE INSIGHTS INNOVATION,Finalist,Pizza Hut,/awards/the_loerie_awards/2025/campaigns/not-frozen-pizza-pizza-hut-publicis-middle-east-2025-5/
The Loerie Awards,2025,Media Innovation,Auto Reply-Break,KitKat,Publicis Middle East,AUDIENCE INSIGHTS INNOVATION,Finalist,KitKat,/awards/the_loerie_awards/2025/campaigns/auto-reply-break-kitkat-publicis-middle-east-2025-4/
The Loerie Awards,2025,Media Innovation,The McDonalds Exchange Rate,McDonalds,Leo Middle East,AUDIENCE INSIGHTS INNOVATION,Finalist,McDonalds Products,/awards/the_loerie_awards/2025/campaigns/the-mcdonalds-exchange-rate-mcdonalds-leo-middle-east-2025-2/
The Loerie Awards,2025,Media Innovation,LEAK FOR REAL,PUMA,Lion Communication FZ - LLC,AUDIENCE INSIGHTS INNOVATION,Finalist,AL HILAL FC KIT 2024-25,/awards/the_loerie_awards/2025/campaigns/leak-for-real-puma-lion-communication-fz-llc-2025-3/
The Loerie Awards,2025,Media Innovation,There We Are,Home Centre,Publicis Middle East,USE OF BRAND OR PRODUCT INTEGRATION,Bronze,Furniture,/awards/the_loerie_awards/2025/campaigns/there-we-are-home-centre-publicis-middle-east-2025-3/
The Loerie Awards,2025,Media Innovation,Walla Visa,Visa,Saatchi Saatchi Middle East,USE OF BRAND OR PRODUCT INTEGRATION,Bronze,Card Transactions,/awards/the_loerie_awards/2025/campaigns/walla-visa-visa-saatchi-saatchi-middle-east-2025-4/
The Loerie Awards,2025,Media Innovation,Not Frozen Pizza,Pizza Hut,Publicis Middle East,USE OF BRAND OR PRODUCT INTEGRATION,Finalist,Pizza Hut,/awards/the_loerie_awards/2025/campaigns/not-frozen-pizza-pizza-hut-publicis-middle-east-2025-6/
The Loerie Awards,2025,Media Innovation,Auto Reply-Break,KitKat,Publicis Middle East,USE OF BRAND OR PRODUCT INTEGRATION,Finalist,KitKat,/awards/the_loerie_awards/2025/campaigns/auto-reply-break-kitkat-publicis-middle-east-2025-5/
The Loerie Awards,2025,Media Innovation,Jeep Grille Grill,Jeep,Lion Communication FZ - LLC,USE OF BRAND OR PRODUCT INTEGRATION,Finalist,Wrangler,/awards/the_loerie_awards/2025/campaigns/jeep-grille-grill-jeep-lion-communication-fz-llc-2025-2/
The Loerie Awards,2025,Media Innovation,LumpDolls,Carrefour,Saatchi Saatchi Middle East,USE OF BRAND OR PRODUCT INTEGRATION,Finalist,Dolls,/awards/the_loerie_awards/2025/campaigns/lumpdolls-carrefour-saatchi-saatchi-middle-east-2025-5/
The Loerie Awards,2025,Media Innovation,The Dark Circle Sale,Home Centre,Leo Middle East,USE OF BRAND OR PRODUCT INTEGRATION,Finalist,Furniture,/awards/the_loerie_awards/2025/campaigns/the-dark-circle-sale-home-centre-leo-middle-east-2025-10/
The Loerie Awards,2025,Media Innovation,Unboxing Skin,Nivea,Saatchi Saatchi Middle East,USE OF BRAND OR PRODUCT INTEGRATION,Finalist,Nivea Sun,/awards/the_loerie_awards/2025/campaigns/unboxing-skin-nivea-saatchi-saatchi-middle-east-2025-2/
The Loerie Awards,2025,Media Innovation,Behind the Label,The Salvation Army,Clockwork,USE OF BRAND OR PRODUCT INTEGRATION,Finalist,The Salvation Army,/awards/the_loerie_awards/2025/campaigns/behind-the-label-the-salvation-army-clockwork-2025-4/
The Loerie Awards,2025,Media Innovation,Unwanted Sites,AfriSam,Promise,USE OF BRAND OR PRODUCT INTEGRATION,Finalist,Construction Materials,/awards/the_loerie_awards/2025/campaigns/unwanted-sites-afrisam-promise-2025-6/
The Loerie Awards,2025,Media Innovation,Bulletproof Park,Gun Free South Africa,MC Saatchi Abel a division of The Up Up Group Pty Ltd,USE OF BRAND OR PRODUCT INTEGRATION,Finalist,Gun Free South Africa,/awards/the_loerie_awards/2025/campaigns/bulletproof-park-gun-free-south-africa-mc-saatchi-abel-a-division-of-the-up-up-group-pty-ltd-2025-2/
The Loerie Awards,2025,Media Innovation,The Real Injury Time,SAB AbInBev,Ogilvy,CREATIVE USE OF DATA-DRIVEN TARGETING,Finalist,Carling Black Label,/awards/the_loerie_awards/2025/campaigns/the-real-injury-time-sab-abinbev-ogilvy-2025-4/
The Loerie Awards,2025,Media Innovation,Cardvert,e,Saatchi Saatchi Middle East,CREATIVE USE OF DATA-DRIVEN TARGETING,Finalist,Digital Wallet,/awards/the_loerie_awards/2025/campaigns/cardvert-e-saatchi-saatchi-middle-east-2025-3/
The Loerie Awards,2025,Media Innovation,Solar Savings,Nivea,Saatchi Saatchi Middle East,CREATIVE USE OF DATA-DRIVEN TARGETING,Finalist,Nivea Sun,/awards/the_loerie_awards/2025/campaigns/solar-savings-nivea-saatchi-saatchi-middle-east-2025-3/
The Loerie Awards,2025,Media Innovation,Goalsave,TymeBank,The Odd Number,CREATIVE USE OF DATA-DRIVEN TARGETING,Finalist,Savings,/awards/the_loerie_awards/2025/campaigns/goalsave-tymebank-the-odd-number-2025-2/
The Loerie Awards,2025,Media Innovation,Track Your Racks,Standard Bank,MC Saatchi Abel a division of The Up Up Group Pty Ltd,CREATIVE USE OF DATA-DRIVEN TARGETING,Finalist,Standard Bank,/awards/the_loerie_awards/2025/campaigns/track-your-racks-standard-bank-mc-saatchi-abel-a-division-of-the-up-up-group-pty-ltd-2025-5/
The Loerie Awards,2025,Media Innovation,There We Are,Home Centre,Publicis Middle East,CREATIVE USE OF DATA-DRIVEN TARGETING,Finalist,Furniture,/awards/the_loerie_awards/2025/campaigns/there-we-are-home-centre-publicis-middle-east-2025-4/
The Loerie Awards,2025,Media Innovation,The McDonalds Exchange Rate,McDonalds,Leo Middle East,CREATIVE USE OF DATA INTEGRATION,Finalist,McDonalds Products,/awards/the_loerie_awards/2025/campaigns/the-mcdonalds-exchange-rate-mcdonalds-leo-middle-east-2025-3/
The Loerie Awards,2025,Media Innovation,The Dark Circle Sale,Home Centre,Leo Middle East,CREATIVE USE OF DATA INTEGRATION,Finalist,Furniture,/awards/the_loerie_awards/2025/campaigns/the-dark-circle-sale-home-centre-leo-middle-east-2025-11/
The Loerie Awards,2025,Media Innovation,Rewrite the Gap,ItsHerWay,Saatchi Saatchi Middle East,CREATIVE USE OF DATA INTEGRATION,Finalist,Published Books,/awards/the_loerie_awards/2025/campaigns/rewrite-the-gap-itsherway-saatchi-saatchi-middle-east-2025-6/
The Loerie Awards,2025,Media Innovation,Cadbury OCGive A Little ThanksOC Festive,Mondelez,Ogilvy,CREATIVE USE OF DATA INTEGRATION,Finalist,Cadbury Dairy Milk Chocolate,/awards/the_loerie_awards/2025/campaigns/cadbury-ocgive-a-little-thanksoc-festive-mondelez-ogilvy-2025/
The Loerie Awards,2025,Media Innovation,FakUgesi Carling Cup,SAB AbInBev,Ogilvy,CREATIVE USE OF DATA INTEGRATION,Finalist,Carling Black Label,/awards/the_loerie_awards/2025/campaigns/fakugesi-carling-cup-sab-abinbev-ogilvy-2025/
The Loerie Awards,2025,Media Innovation,The F-Show,Sanlam,Accenture Song,BRAND IP CO-CREATION,Finalist,Financial,/awards/the_loerie_awards/2025/campaigns/the-f-show-sanlam-accenture-song-2025-6/
The Loerie Awards,2025,Media Innovation,The Luxurious Marble Circus,The Marble Group,Grid Worldwide,BRAND IP CO-CREATION,Finalist,The Luxurious Marble Circus,/awards/the_loerie_awards/2025/campaigns/the-luxurious-marble-circus-the-marble-group-grid-worldwide-2025-6/
The Loerie Awards,2025,Media Innovation,Pay With Your Trend,Pizza Hut,Publicis Middle East,E-COMMERCE MEDIA CREATIVITY,Finalist,Pizza Hut,/awards/the_loerie_awards/2025/campaigns/pay-with-your-trend-pizza-hut-publicis-middle-east-2025-6/
The Loerie Awards,2025,Media Innovation,Auto Reply-Break,KitKat,Publicis Middle East,E-COMMERCE MEDIA CREATIVITY,Finalist,KitKat,/awards/the_loerie_awards/2025/campaigns/auto-reply-break-kitkat-publicis-middle-east-2025-6/
The Loerie Awards,2025,Media Innovation,The McDonalds Exchange Rate,McDonalds,Leo Middle East,E-COMMERCE MEDIA CREATIVITY,Finalist,McDonalds Products,/awards/the_loerie_awards/2025/campaigns/the-mcdonalds-exchange-rate-mcdonalds-leo-middle-east-2025-4/
