Festival,Year,Track,Title,Brand,Agency,Category,Award,Product
The Loerie Awards,2025,Media Innovation,AfriKaraoke,SAB ABInBev,iProspect,AUDIENCE INSIGHTS INNOVATION,Finalist,Castle Milk Stout
The Loerie Awards,2025,Media Innovation,McMenuless,McDonalds,Leo Middle East,AUDIENCE INSIGHTS INNOVATION,Finalist,McDonalds Products
The Loerie Awards,2025,Media Innovation,Pay With Your Trend,Pizza Hut,Publicis Middle East,AUDIENCE INSIGHTS INNOVATION,Finalist,Pizza Hut
The Loerie Awards,2025,Media Innovation,Not Frozen Pizza,Pizza Hut,Publicis Middle East,AUDIENCE INSIGHTS INNOVATION,Finalist,Pizza Hut
The Loerie Awards,2025,Media Innovation,Auto Reply-Break,KitKat,Publicis Middle East,AUDIENCE INSIGHTS INNOVATION,Finalist,KitKat
The Loerie Awards,2025,Media Innovation,The McDonalds Exchange Rate,McDonalds,Leo Middle East,AUDIENCE INSIGHTS INNOVATION,Finalist,McDonalds Products
The Loerie Awards,2025,Media Innovation,LEAK FOR REAL,PUMA,Lion Communication FZ - LLC,AUDIENCE INSIGHTS INNOVATION,Finalist,AL HILAL FC KIT 2024-25
The Loerie Awards,2025,Media Innovation,There We Are,Home Centre,Publicis Middle East,USE OF BRAND OR PRODUCT INTEGRATION,Bronze,Furniture
The Loerie Awards,2025,Media Innovation,Walla Visa,Visa,Saatchi Saatchi Middle East,USE OF BRAND OR PRODUCT INTEGRATION,Bronze,Card Transactions
The Loerie Awards,2025,Media Innovation,Not Frozen Pizza,Pizza Hut,Publicis Middle East,USE OF BRAND OR PRODUCT INTEGRATION,Finalist,Pizza Hut
The Loerie Awards,2025,Media Innovation,Auto Reply-Break,KitKat,Publicis Middle East,USE OF BRAND OR PRODUCT INTEGRATION,Finalist,KitKat
The Loerie Awards,2025,Media Innovation,Jeep Grille Grill,Jeep,Lion Communication FZ - LLC,USE OF BRAND OR PRODUCT INTEGRATION,Finalist,Wrangler
The Loerie Awards,2025,Media Innovation,LumpDolls,Carrefour,Saatchi Saatchi Middle East,USE OF BRAND OR PRODUCT INTEGRATION,Finalist,Dolls
The Loerie Awards,2025,Media Innovation,The Dark Circle Sale,Home Centre,Leo Middle East,USE OF BRAND OR PRODUCT INTEGRATION,Finalist,Furniture
The Loerie Awards,2025,Media Innovation,Unboxing Skin,Nivea,Saatchi Saatchi Middle East,USE OF BRAND OR PRODUCT INTEGRATION,Finalist,Nivea Sun
The Loerie Awards,2025,Media Innovation,Behind the Label,The Salvation Army,Clockwork,USE OF BRAND OR PRODUCT INTEGRATION,Finalist,The Salvation Army
The Loerie Awards,2025,Media Innovation,Unwanted Sites,AfriSam,Promise,USE OF BRAND OR PRODUCT INTEGRATION,Finalist,Construction Materials
The Loerie Awards,2025,Media Innovation,Bulletproof Park,Gun Free South Africa,MC Saatchi Abel a division of The Up Up Group Pty Ltd,USE OF BRAND OR PRODUCT INTEGRATION,Finalist,Gun Free South Africa
The Loerie Awards,2025,Media Innovation,The Real Injury Time,SAB AbInBev,Ogilvy,CREATIVE USE OF DATA-DRIVEN TARGETING,Finalist,Carling Black Label
The Loerie Awards,2025,Media Innovation,Cardvert,e,Saatchi Saatchi Middle East,CREATIVE USE OF DATA-DRIVEN TARGETING,Finalist,Digital Wallet
The Loerie Awards,2025,Media Innovation,Solar Savings,Nivea,Saatchi Saatchi Middle East,CREATIVE USE OF DATA-DRIVEN TARGETING,Finalist,Nivea Sun
The Loerie Awards,2025,Media Innovation,Goalsave,TymeBank,The Odd Number,CREATIVE USE OF DATA-DRIVEN TARGETING,Finalist,Savings
The Loerie Awards,2025,Media Innovation,Track Your Racks,Standard Bank,MC Saatchi Abel a division of The Up Up Group Pty Ltd,CREATIVE USE OF DATA-DRIVEN TARGETING,Finalist,Standard Bank
The Loerie Awards,2025,Media Innovation,There We Are,Home Centre,Publicis Middle East,CREATIVE USE OF DATA-DRIVEN TARGETING,Finalist,Furniture
The Loerie Awards,2025,Media Innovation,The McDonalds Exchange Rate,McDonalds,Leo Middle East,CREATIVE USE OF DATA INTEGRATION,Finalist,McDonalds Products
The Loerie Awards,2025,Media Innovation,The Dark Circle Sale,Home Centre,Leo Middle East,CREATIVE USE OF DATA INTEGRATION,Finalist,Furniture
The Loerie Awards,2025,Media Innovation,Rewrite the Gap,ItsHerWay,Saatchi Saatchi Middle East,CREATIVE USE OF DATA INTEGRATION,Finalist,Published Books
The Loerie Awards,2025,Media Innovation,Cadbury OCGive A Little ThanksOC Festive,Mondelez,Ogilvy,CREATIVE USE OF DATA INTEGRATION,Finalist,Cadbury Dairy Milk Chocolate
The Loerie Awards,2025,Media Innovation,FakUgesi Carling Cup,SAB AbInBev,Ogilvy,CREATIVE USE OF DATA INTEGRATION,Finalist,Carling Black Label
The Loerie Awards,2025,Media Innovation,The F-Show,Sanlam,Accenture Song,BRAND IP CO-CREATION,Finalist,Financial
The Loerie Awards,2025,Media Innovation,The Luxurious Marble Circus,The Marble Group,Grid Worldwide,BRAND IP CO-CREATION,Finalist,The Luxurious Marble Circus
The Loerie Awards,2025,Media Innovation,Pay With Your Trend,Pizza Hut,Publicis Middle East,E-COMMERCE MEDIA CREATIVITY,Finalist,Pizza Hut
The Loerie Awards,2025,Media Innovation,Auto Reply-Break,KitKat,Publicis Middle East,E-COMMERCE MEDIA CREATIVITY,Finalist,KitKat
The Loerie Awards,2025,Media Innovation,The McDonalds Exchange Rate,McDonalds,Leo Middle East,E-COMMERCE MEDIA CREATIVITY,Finalist,McDonalds Products
The Loerie Awards,2025,Media Innovation,In-Snore Coupons,SleepZone,Impact BBDO,E-COMMERCE MEDIA CREATIVITY,Finalist,SleepZone
The Loerie Awards,2025,Media Innovation,Cardvert,e,Saatchi Saatchi Middle East,E-COMMERCE MEDIA CREATIVITY,Finalist,Digital Wallet
The Loerie Awards,2025,Media Innovation,The Dark Circle Sale,Home Centre,Leo Middle East,E-COMMERCE MEDIA CREATIVITY,Finalist,Furniture
The Loerie Awards,2025,Media Innovation,Heineken UCL Delivery,Heineken,Dentsu Red Star,E-COMMERCE MEDIA CREATIVITY,Finalist,Heineken
The Loerie Awards,2025,Media Innovation,Walla Visa,Visa,Saatchi Saatchi Middle East,SOCIAL COMMERCE MEDIA CREATIVITY,Finalist,Card Transactions
The Loerie Awards,2025,Media Innovation,Pay With Your Trend,Pizza Hut,Publicis Middle East,SOCIAL COMMERCE MEDIA CREATIVITY,Finalist,Pizza Hut
The Loerie Awards,2025,Media Innovation,LEAK FOR REAL,PUMA,Lion Communication FZ - LLC,SOCIAL COMMERCE MEDIA CREATIVITY,Finalist,AL HILAL FC KIT 2024-25
The Loerie Awards,2025,Media Innovation,The McDonalds Exchange Rate,McDonalds,Leo Middle East,MEDIA TECH CREATIVITY,Finalist,McDonalds Products
The Loerie Awards,2025,Media Innovation,Stitched With Cheer,Tusker Lager,Dentsu Creative Kenya,MEDIA TECH CREATIVITY,Finalist,Team Kenya Olympics
The Loerie Awards,2025,Media Innovation,Social Screen,Heineken,LePub Johannesburg,MEDIA TECH CREATIVITY,Finalist,Heineken beer
The Loerie Awards,2025,Media Innovation,Save our stay SOS,City Lodge Hotel Group,TBWA Hunt Lascaris Johannesburg Pty Ltd,GEO TARGETING CREATIVITY,Bronze,City Lodge Hotels
The Loerie Awards,2025,Media Innovation,Cardvert,e,Saatchi Saatchi Middle East,GEO TARGETING CREATIVITY,Finalist,Digital Wallet
The Loerie Awards,2025,Media Innovation,Solar Savings,Nivea,Saatchi Saatchi Middle East,GEO TARGETING CREATIVITY,Finalist,Nivea Sun
The Loerie Awards,2025,Media Innovation,The Extra Cold Quest,SAB ABInBev,iProspect,GEO TARGETING CREATIVITY,Finalist,Castle Lite
The Loerie Awards,2025,Media Innovation,FOREVER GOLF,Volkswagen South Africa,Ogilvy,GEO TARGETING CREATIVITY,Finalist,Golf
The Loerie Awards,2025,Media Innovation,Cadbury OCGive A Little ThanksOC Festive,Mondelez,Ogilvy,GEO TARGETING CREATIVITY,Finalist,Cadbury Dairy Milk Chocolate
The Loerie Awards,2025,Media Innovation,The Snap Hack,Netflix,Science Sunshine,GEO TARGETING CREATIVITY,Finalist,Squid Game
The Loerie Awards,2025,Media Innovation,Social Screen,Heineken,LePub Johannesburg,USE OF TECHNICAL MEDIA INNOVATION,Bronze,Heineken beer
The Loerie Awards,2025,Media Innovation,The Undercover Ad,Standard Bank,MC Saatchi Abel a division of The Up Up Group Pty Ltd,USE OF TECHNICAL MEDIA INNOVATION,Finalist,Standard Bank Banking App
The Loerie Awards,2025,Media Innovation,Walla Visa,Visa,Saatchi Saatchi Middle East,USE OF TECHNICAL MEDIA INNOVATION,Finalist,Card Transactions
The Loerie Awards,2025,Media Innovation,Merkury Telkom,Telkom,dentsu ssa,USE OF TECHNICAL MEDIA INNOVATION,Finalist,Telkom
The Loerie Awards,2025,Media Innovation,Shield The Protest,Courageous Conversation Global Foundation,Horizon FCB Dubai,USE OF TECHNICAL MEDIA INNOVATION,Finalist,Courageous Conversation Global Foundation
The Loerie Awards,2025,Media Innovation,Hewa Safi Project,NCBA,Dentsu Creative Kenya,USE OF TECHNICAL MEDIA INNOVATION,Finalist,Air Filtering Billboard
The Loerie Awards,2025,Media Innovation,Safety Mouse,Salam,Digitas ME,USE OF TECHNICAL MEDIA INNOVATION,Finalist,Safety Mouse
The Loerie Awards,2025,Media Innovation,There We Are,Home Centre,Publicis Middle East,MEDIA INNOVATION CRAFTS,Craft Certificate,Furniture
The Loerie Awards,2025,Media Innovation,Safety Mouse,Salam,Digitas ME,MEDIA INNOVATION CRAFTS,Finalist,Safety Mouse
The Loerie Awards,2025,Media Innovation,Auto Reply-Break,KitKat,Publicis Middle East,MEDIA INNOVATION CRAFTS,Finalist,KitKat
The Loerie Awards,2025,Media Innovation,There We Are,Home Centre,Publicis Middle East,MEDIA INNOVATION CRAFTS,Finalist,Furniture
The Loerie Awards,2025,Media Innovation,There We Are,Home Centre,Publicis Middle East,MEDIA INNOVATION CRAFTS,Finalist,Furniture
The Loerie Awards,2025,Media Innovation,The F-Show,Sanlam,Accenture Song,MEDIA INNOVATION CRAFTS,Finalist,Financial
The Loerie Awards,2025,Media Innovation,Pulse,Heineken,Denstu Red Star,MEDIA INNOVATION CRAFTS,Finalist,Pulse
The Loerie Awards,2025,Media Innovation,LumpDolls,Carrefour,Saatchi Saatchi Middle East,MEDIA INNOVATION CRAFTS,Finalist,Dolls
The Loerie Awards,2025,Media Innovation,The Dark Circle Sale,Home Centre,Leo Middle East,MEDIA INNOVATION CRAFTS,Finalist,Furniture
The Loerie Awards,2025,Media Innovation,MozaMbique has 2M,ABInbev,Dentsu Mozambique,MEDIA INNOVATION CRAFTS,Finalist,2M Beer
The Loerie Awards,2025,Media Innovation,Speedy Disclaimer Hijack,Sting,Impact BBDO,MEDIA INNOVATION CRAFTS,Finalist,Energy Drink
The Loerie Awards,2025,Media Innovation,Toyota Reclaims Toyota,ALJ Toyota,SERVICEPLAN MIDDLE EAST FZ-LLC,MEDIA INNOVATION CRAFTS,Finalist,Toyota
The Loerie Awards,2025,Media Innovation,Toyota Reclaims Toyota,ALJ Toyota,SERVICEPLAN MIDDLE EAST FZ-LLC,MEDIA INNOVATION CRAFTS,Finalist,Toyota
The Loerie Awards,2025,Media Innovation,Toyota Reclaims Toyota,ALJ Toyota,SERVICEPLAN MIDDLE EAST FZ-LLC,MEDIA INNOVATION CRAFTS,Finalist,Toyota
The Loerie Awards,2025,Media Innovation,Homes Need Pets,Byron Thomas Properties,Clockwork,MEDIA INNOVATION CRAFTS,Finalist,Byron Thomas Properties
The Loerie Awards,2025,Media Innovation,Its The Little Things,Chicken Licken,Joe Public,MEDIA INNOVATION CRAFTS,Finalist,Super Slider Mix 4
The Loerie Awards,2025,Media Innovation,FakUgesi Carling Cup,SAB ABInBev,Ogilvy,MEDIA INNOVATION CRAFTS,Finalist,Carling Black Label
The Loerie Awards,2025,Media Innovation,Audi TikTok Test Drive,Audi South Africa,Ogilvy,MEDIA INNOVATION CRAFTS,Finalist,Audi RS 3
The Loerie Awards,2025,Out Of Home,Max Speed,Heineken,LePub Johannesburg,OUTDOOR MEDIA,Silver,Heineken beer
The Loerie Awards,2025,Out Of Home,Unwanted Sites,AfriSam,Promise,OUTDOOR MEDIA,Silver,Construction Materials
The Loerie Awards,2025,Out Of Home,The hidden billboard,Heineken Beverages South Africa,TBWA Hunt Lascaris Johannesburg Pty Ltd,OUTDOOR MEDIA,Bronze,Windhoek Beer
The Loerie Awards,2025,Out Of Home,HIS-OURS,GA Insurance,The Partnership PUBLICIS,OUTDOOR MEDIA,Finalist,Insurance
The Loerie Awards,2025,Out Of Home,InVisible,UN Women,Impact BBDO,OUTDOOR MEDIA,Finalist,Domestic violence hotline
The Loerie Awards,2025,Out Of Home,InVisible,UN Women,Impact BBDO,OUTDOOR MEDIA,Finalist,Domestic violence hotline
The Loerie Awards,2025,Out Of Home,Hewa Safi Project,NCBA,Dentsu Creative Kenya,OUTDOOR MEDIA,Finalist,Air Filtering Billboard
The Loerie Awards,2025,Out Of Home,Insured Billboards,easypaisa,Impact BBDO,OUTDOOR MEDIA,Finalist,easypaisa
The Loerie Awards,2025,Out Of Home,The Out Of Office Out Of Home,Pineapple,Halo,OUTDOOR MEDIA,Finalist,Insurace
The Loerie Awards,2025,Out Of Home,The Out Of Office Out Of Home,Pineapple,Halo,OUTDOOR MEDIA,Finalist,Insurace
The Loerie Awards,2025,Out Of Home,Insurance is like,Pineapple,Halo,OUTDOOR MEDIA,Finalist,Insurace
The Loerie Awards,2025,Out Of Home,Insurance is like,Pineapple,Halo,OUTDOOR MEDIA,Finalist,Insurace
The Loerie Awards,2025,Out Of Home,Insurance is like,Pineapple,Halo,OUTDOOR MEDIA,Finalist,Insurace
The Loerie Awards,2025,Out Of Home,The Out Of Office Out Of Home,Pineapple,Halo,OUTDOOR MEDIA,Finalist,Insurace
The Loerie Awards,2025,Out Of Home,Buy Mens It costs less,Nedbank,Joe Public,OUTDOOR MEDIA,Finalist,Retail
The Loerie Awards,2025,Out Of Home,Buy Mens It costs less,Nedbank,Joe Public,OUTDOOR MEDIA,Finalist,Brand
The Loerie Awards,2025,Out Of Home,Buy Mens It costs less,Nedbank,Joe Public,OUTDOOR MEDIA,Finalist,Brand
The Loerie Awards,2025,Out Of Home,Buy Mens It costs less,Nedbank,Joe Public,OUTDOOR MEDIA,Finalist,Brand
The Loerie Awards,2025,Out Of Home,Money Warnings,Nedbank,Joe Public,OUTDOOR MEDIA,Finalist,Brand
The Loerie Awards,2025,Out Of Home,Buy Mens It costs less,Nedbank,Joe Public,OUTDOOR MEDIA,Finalist,Retail
The Loerie Awards,2025,Out Of Home,Buy Mens It costs less,Nedbank,Joe Public,OUTDOOR MEDIA,Finalist,Retail
The Loerie Awards,2025,Out Of Home,Buy Mens It costs less,Nedbank,Joe Public,OUTDOOR MEDIA,Finalist,Retail
The Loerie Awards,2025,Out Of Home,Buy Mens It costs less,Nedbank,Joe Public,OUTDOOR MEDIA,Finalist,Brand
The Loerie Awards,2025,Out Of Home,Forever Golf,Volkswagen South Africa,Ogilvy,OUTDOOR MEDIA,Finalist,Golf
The Loerie Awards,2025,Out Of Home,Sitting Man,Diageo,TBWA- Hunt Lascaris,OUTDOOR MEDIA,Finalist,Johnnie Walker
The Loerie Awards,2025,Out Of Home,Cheetos Pants posters,Cheetos,Impact BBDO,IN-STORE,Finalist,Cheetos
The Loerie Awards,2025,Out Of Home,Notes On Notes,Capital Bank of Jordan,Impact BBDO,IN-STORE,Finalist,Capital Bank of Jordan
The Loerie Awards,2025,Out Of Home,Notes On Notes,Capital Bank of Jordan,Impact BBDO,IN-STORE,Finalist,Capital Bank of Jordan
The Loerie Awards,2025,Out Of Home,Cheetos Pants posters,Cheetos,Impact BBDO,IN-STORE,Finalist,Cheetos
The Loerie Awards,2025,Out Of Home,Cheetos Pants posters,Cheetos,Impact BBDO,IN-STORE,Finalist,Cheetos
The Loerie Awards,2025,Out Of Home,McMenuless,McDonalds,Leo Middle East,IN-STORE,Finalist,McDonalds Products
The Loerie Awards,2025,Out Of Home,Not Frozen Pizza,Pizza Hut,Publicis Middle East,IN-STORE,Finalist,Pizza Hut
The Loerie Awards,2025,Out Of Home,SAB 130,SAB ABInBev,Boundless - The Unlimited Agency Pty Ltd,TRANSIT AIR,Finalist,SAB Corporate
The Loerie Awards,2025,Out Of Home,Kicks Key,Nissan ME,Digitas ME,DIRECT MAIL,Bronze,Nissan Kicks
The Loerie Awards,2025,Out Of Home,Mobile Cooler,Heineken,LePub Johannesburg,DIRECT MAIL,Bronze,Heineken beer
The Loerie Awards,2025,Out Of Home,Ruby Blooms,Nana,Saatchi Saatchi Middle East,DIRECT MAIL,Bronze,Sanitary Pads
The Loerie Awards,2025,Out Of Home,Savanna Neat,Heineken Beverages South Africa,TBWA- Hunt Lascaris,DIRECT MAIL,Bronze,Savanna Cider
The Loerie Awards,2025,Out Of Home,Bring back lost lover,Showmax,distrikt 9,DIRECT MAIL,Finalist,Ubuthe Uzobuya
The Loerie Awards,2025,Out Of Home,Adoptim - Take one,NSPCA,Boundless - The Unlimited Agency Pty Ltd,DIRECT MAIL,Finalist,SPCA
The Loerie Awards,2025,Out Of Home,Forever Golf,Volkswagen South Africa,Ogilvy,DIRECT MAIL,Finalist,Golf
The Loerie Awards,2025,Out Of Home,TryJanuary,Heineken Beverages South Africa,TBWA- Hunt Lascaris,DIRECT MAIL,Finalist,Savanna Cider
The Loerie Awards,2025,Out Of Home,Sponsored Balls,Testicular Cancer Society,Fortune Promoseven LLC,AMBIENT,Gold,Testicular Cancer Awareness
The Loerie Awards,2025,Out Of Home,Cheetos Pants,Cheetos,Impact BBDO,AMBIENT,Silver,Cheetos
The Loerie Awards,2025,Out Of Home,Social Screen,Heineken,LePub Johannesburg,AMBIENT,Silver,Heineken beer
The Loerie Awards,2025,Out Of Home,GHOST TOWN,CARREFOURSA,TBWA-Istanbul,AMBIENT,Silver,RETAIL
The Loerie Awards,2025,Out Of Home,The Real Injury Time,SAB ABInBev,Ogilvy,AMBIENT,Bronze,Carling Black Label
The Loerie Awards,2025,Out Of Home,Shattered Screens,Cell C,SHIFT,AMBIENT,Bronze,Cell C
The Loerie Awards,2025,Out Of Home,Sun Courts,Nivea,Saatchi Saatchi Middle East,AMBIENT,Bronze,Nivea Sun
The Loerie Awards,2025,Out Of Home,Trade-Up,Heinz,Leo Middle East,AMBIENT,Bronze,Ketchup
The Loerie Awards,2025,Out Of Home,THE DESERT RUNNER,adidas,Havas Middle East,AMBIENT,Bronze,DR ADIZERO BOSTON 12 DUB SHOES
The Loerie Awards,2025,Out Of Home,The Impossible Taxi,UAE Government Media Office,Impact BBDO,AMBIENT,Finalist,UAE
The Loerie Awards,2025,Out Of Home,Shattered Screens,Cell C,SHIFT,AMBIENT,Finalist,Cell C
The Loerie Awards,2025,Out Of Home,Shattered Screens,Cell C,SHIFT,AMBIENT,Finalist,Cell C
The Loerie Awards,2025,Out Of Home,Savanna TryJanuary,Savanna,Dentsu Red Star,AMBIENT,Finalist,Savanna Alc Free
The Loerie Awards,2025,Out Of Home,Shield The Protest,Courageous Conversation Global Foundation,Horizon FCB Dubai,AMBIENT,Finalist,Courageous Conversation Global Foundation
The Loerie Awards,2025,Out Of Home,Protective Hairstyles,AfriSam AfroBoutique,Promise,AMBIENT,Finalist,Construction Materials - Hair products
The Loerie Awards,2025,Out Of Home,The Bear Joburg Experience,Disney,Clockwork,AMBIENT,Finalist,Disney
The Loerie Awards,2025,Out Of Home,Jeep Grille Grill,Jeep,Lion Communication FZ - LLC,AMBIENT,Finalist,Wrangler
The Loerie Awards,2025,Out Of Home,MozaMbique has 2M,ABInBev,Create Mozambique,AMBIENT,Finalist,2M Beer
The Loerie Awards,2025,Out Of Home,The Unburied Casket,Women For Change,Edelman,AMBIENT,Finalist,Women For Change
The Loerie Awards,2025,Out Of Home,GHOST TOWN,CARREFOURSA,TBWA-Istanbul,ART DIRECTION,Craft Gold,RETAIL
The Loerie Awards,2025,Out Of Home,Ruby Blooms,Nana,Saatchi Saatchi Middle East,ART DIRECTION,Craft Certificate,Sanitary Pads
The Loerie Awards,2025,Out Of Home,THE DESERT RUNNER,adidas,Havas Middle East,ART DIRECTION,Craft Certificate,DR ADIZERO BOSTON 12 DUB SHOES
The Loerie Awards,2025,Out Of Home,Sun Courts,Nivea,Saatchi Saatchi Middle East,ART DIRECTION,Finalist,Nivea Sun
The Loerie Awards,2025,Out Of Home,The Beauty of Knowing,CANSA,Leagas Delaney South Africa Pty Ltd,ART DIRECTION,Finalist,Education
The Loerie Awards,2025,Out Of Home,The Beauty of Knowing,CANSA,Leagas Delaney South Africa Pty Ltd,ART DIRECTION,Finalist,Education
The Loerie Awards,2025,Out Of Home,The Beauty of Knowing,CANSA,Leagas Delaney South Africa Pty Ltd,ART DIRECTION,Finalist,Education
The Loerie Awards,2025,Out Of Home,Max Speed,Heineken,LePub Johannesburg,ART DIRECTION,Finalist,Heineken beer
The Loerie Awards,2025,Out Of Home,Flags of Nature,EPIC,Impact BBDO,ART DIRECTION,Finalist,Planet Earth
The Loerie Awards,2025,Out Of Home,Shattered Screens,Cell C,SHIFT,ART DIRECTION,Finalist,Cell C
The Loerie Awards,2025,Out Of Home,Shattered Screens,Cell C,SHIFT,ART DIRECTION,Finalist,Cell C
The Loerie Awards,2025,Out Of Home,Shattered Screens,Cell C,SHIFT,ART DIRECTION,Finalist,Cell C
The Loerie Awards,2025,Out Of Home,Buy Mens,Nedbank,Joe Public,ART DIRECTION,Finalist,Brand
The Loerie Awards,2025,Out Of Home,Buy Mens,Nedbank,Joe Public,ART DIRECTION,Finalist,Brand
The Loerie Awards,2025,Out Of Home,Buy Mens,Nedbank,Joe Public,ART DIRECTION,Finalist,Brand
The Loerie Awards,2025,Out Of Home,Buy Mens,Nedbank,Joe Public,ART DIRECTION,Finalist,Brand
The Loerie Awards,2025,Out Of Home,Cheetos Pants Posters,Cheetos,Impact BBDO,ART DIRECTION,Finalist,Cheetos
The Loerie Awards,2025,Out Of Home,HIS-OURS,GA Insurance,The Partnership PUBLICIS,WRITING,Finalist,Insurance
The Loerie Awards,2025,Out Of Home,Cheetos Pants Posters,Cheetos,Impact BBDO,WRITING,Finalist,Cheetos
The Loerie Awards,2025,Out Of Home,The Most Interesting Water Cooler In The World,RMB,Halo,WRITING,Finalist,Financial Services
The Loerie Awards,2025,Out Of Home,InVisible,UN Women,Impact BBDO,PHOTOGRAPHY,Finalist,Domestic violence hotline
The Loerie Awards,2025,Out Of Home,InVisible,UN Women,Impact BBDO,PHOTOGRAPHY,Finalist,Domestic violence hotline
The Loerie Awards,2025,Out Of Home,Dark Mornings,Nescaf,Publicis Groupe Africa,PHOTOGRAPHY,Finalist,Nescaf Black Roast
The Loerie Awards,2025,Out Of Home,Dark Mornings,Nescaf,Publicis Groupe Africa,PHOTOGRAPHY,Finalist,Nescaf Black Roast
The Loerie Awards,2025,Out Of Home,FOREVER GOLF,Volkswagen South Africa,Ogilvy,PHOTOGRAPHY,Finalist,Golf
The Loerie Awards,2025,Out Of Home,FOREVER GOLF,Volkswagen South Africa,Ogilvy,PHOTOGRAPHY,Finalist,Golf
The Loerie Awards,2025,Out Of Home,FOREVER GOLF,Volkswagen South Africa,Ogilvy,PHOTOGRAPHY,Finalist,Golf
The Loerie Awards,2025,Out Of Home,FOREVER GOLF,Volkswagen South Africa,Ogilvy,PHOTOGRAPHY,Finalist,Golf
The Loerie Awards,2025,Out Of Home,Taste the Familiar,McDonalds,Leo Middle East,PHOTOGRAPHY,Finalist,McDonalds Products
The Loerie Awards,2025,Out Of Home,Taste the Familiar,McDonalds,Leo Middle East,PHOTOGRAPHY,Finalist,McDonalds Products
The Loerie Awards,2025,Out Of Home,Taste the Familiar,McDonalds,Leo Middle East,PHOTOGRAPHY,Finalist,McDonalds Products
The Loerie Awards,2025,Out Of Home,Taste the Familiar,McDonalds,Leo Middle East,PHOTOGRAPHY,Finalist,McDonalds Products
The Loerie Awards,2025,Out Of Home,Taste the Familiar,McDonalds,Leo Middle East,PHOTOGRAPHY,Finalist,McDonalds Products
The Loerie Awards,2025,Out Of Home,Ruby Blooms,Nana,Saatchi Saatchi Middle East,ILLUSTRATION,Craft Certificate,Sanitary Pads
The Loerie Awards,2025,Out Of Home,HIS-OURS,GA Insurance,The Partnership PUBLICIS,ILLUSTRATION,Finalist,Insurance
The Loerie Awards,2025,Out Of Home,Shattered Screens,Cell C,SHIFT,ILLUSTRATION,Finalist,Cell C
The Loerie Awards,2025,Out Of Home,Shattered Screens,Cell C,SHIFT,ILLUSTRATION,Finalist,Cell C
The Loerie Awards,2025,Out Of Home,Shattered Screens,Cell C,SHIFT,ILLUSTRATION,Finalist,Cell C
The Loerie Awards,2025,Out Of Home,Get Money Fit,Nedbank,Joe Public,TYPOGRAPHY,Finalist,Brand
The Loerie Awards,2025,Out Of Home,Ruby Blooms,Nana,Saatchi Saatchi Middle East,TYPOGRAPHY,Finalist,Sanitary Pads
The Loerie Awards,2025,Out Of Home,Social Screen,Heineken,LePub Johannesburg,USE OF TECHNOLOGY,Craft Gold,Heineken beer
The Loerie Awards,2025,Out Of Home,Shield The Protest,Courageous Conversation Global Foundation,Horizon FCB Dubai,USE OF TECHNOLOGY,Finalist,Courageous Conversation Global Foundation
The Loerie Awards,2025,Out Of Home,Mobile Cooler,Heineken,LePub Johannesburg,USE OF TECHNOLOGY,Finalist,Heineken beer
The Loerie Awards,2025,Out Of Home,Trade-Up,Heinz,Lion Communication FZ - LLC,USE OF TECHNOLOGY,Finalist,Ketchup
The Loerie Awards,2025,Print Communication,Taste the Familiar,McDonalds,Leo Middle East,PRINT ADVERTISING,Campaign Gold,McDonalds Products
The Loerie Awards,2025,Print Communication,Ruby Blooms,Nana,Saatchi Saatchi Middle East,PRINT ADVERTISING,Silver,Sanitary Pads
The Loerie Awards,2025,Print Communication,Long Live The Taste - Texas AW Popeyes,KFC,Bananas,PRINT ADVERTISING,Campaign Silver,Brand
The Loerie Awards,2025,Print Communication,InVisible,UN Women,Impact BBDO,PRINT ADVERTISING,Bronze,Domestic violence hotline
The Loerie Awards,2025,Print Communication,Notes On Notes,Capital Bank of Jordan,Impact BBDO,PRINT ADVERTISING,Campaign Bronze,Capital Bank of Jordan
The Loerie Awards,2025,Print Communication,Save Our Stay SOS - Bedroom - Bathroom The View Ghost Girl,City Lodge Hotel Group,TBWA Hunt Lascaris Johannesburg Pty Ltd,PRINT ADVERTISING,Campaign Bronze,City Lodge Hotels
The Loerie Awards,2025,Print Communication,Taste the Familiar,McDonalds,Leo Middle East,PRINT ADVERTISING,Finalist,McDonalds Products
The Loerie Awards,2025,Print Communication,Taste the Familiar,McDonalds,Leo Middle East,PRINT ADVERTISING,Finalist,McDonalds Products
The Loerie Awards,2025,Print Communication,Taste the Familiar,McDonalds,Leo Middle East,PRINT ADVERTISING,Finalist,McDonalds Products
The Loerie Awards,2025,Print Communication,Taste the Familiar,McDonalds,Leo Middle East,PRINT ADVERTISING,Finalist,McDonalds Products
The Loerie Awards,2025,Print Communication,Long Live The Taste,KFC,Bananas,PRINT ADVERTISING,Finalist,Brand
The Loerie Awards,2025,Print Communication,Long Live The Taste,KFC,Bananas,PRINT ADVERTISING,Finalist,Brand
The Loerie Awards,2025,Print Communication,Forever Young,Alta Du Toit,Happy Friday Cape Town Pty Ltd,PRINT ADVERTISING,Finalist,Alta Du Toit Centre
The Loerie Awards,2025,Print Communication,Forever Young,Alta Du Toit,Happy Friday Cape Town Pty Ltd,PRINT ADVERTISING,Finalist,Alta Du Toit Centre
