Festival,Year,Track,Title,Brand,Agency,Network,Holding,Category,Award level,Country,Company,Product,Production
Fiap,2025,Produccion,Lejitos,Super 24,Publicidad Comercial MullenLowe,MullenLowe Group,IPG,Tecnicas de Produccion Audiovisual - Direccion General,Shortlist,Guatemala,Super 24,Lejitos,El Studio
Fiap,2025,Anuncios,Lejitos,Super 24,Publicidad Comercial MullenLowe,MullenLowe Group,IPG,Television/Cine/Digital - Negocios al publico,Shortlist,Guatemala,Super 24,Lejitos,El Studio
Fiap,2025,Anuncios,Lentes del Alma,TIM Telecom,BETC Havas,Havas Creative,Havas,Television/Cine/Digital - Imagen Corporativa,Shortlist,Brasil,TIM Telecom,Institucional,Santeria
Fiap,2025,Formatos,Detox BET,Institucional,Tech And Soul,Tech And Soul,Tech And Soul,Advergaming,Shortlist,Brasil,B3 Genial Investimentos IBN,Institucional,Arapiraca
Fiap,2025,Innovacion,Detox BET,Institucional,Tech And Soul,Tech And Soul,Tech And Soul,Innovacion en Gaming y Entretenimiento,Shortlist,Brasil,B3 Genial Investimentos IBN,Institucional,Arapiraca
Fiap,2025,Anuncios,Santa Teresa 1796 Gran Ron Gran Proposito,Santa Teresa,OML,Only Much Louder,Only Much Louder,Television/Cine/Digital - Alimentos/Comidas/Bebidas Alcoholicas/No Alcoholicas,Shortlist,Venezuela,Santa Teresa,Ron Santa Teresa 1796,Black Cat LAB
Fiap,2025,Innovacion,Detox BET,Institucional,Tech And Soul,Tech And Soul,Tech And Soul,Innovacion en Activaciones,Shortlist,Brasil,B3 Genial Investimentos IBN,Institucional,Arapiraca
Fiap,2025,Formatos,Peru conoce a su campeona,plazaVea,Tribeca Media,Independiente,Independiente,Mejor Uso de Ambient Media,Shortlist,Peru,plazaVea,plazaVea,Canica Films
Fiap,2025,Innovacion,Peru conoce a su campeona,plazaVea,Tribeca Media,Independiente,Independiente,Innovacion en PR,Shortlist,Peru,plazaVea,plazaVea,Canica Films
Fiap,2025,Anuncios,Peru conoce a su campeona,plazaVea,Tribeca Media,Independiente,Independiente,Uso Creativo del Espacio en Publicidad de Eventos,Shortlist,Peru,plazaVea,plazaVea,Canica Films
Fiap,2025,Innovacion,Peru conoce a su campeona,plazaVea,Tribeca Media,Independiente,Independiente,Innovacion en Eventos/Experiencia,Shortlist,Peru,plazaVea,plazaVea,Canica Films
Fiap,2025,Formatos,The Kimberly price,Plaza Vea,Fahrenheit DDB,DDB Worldwide,Omnicom,Evento en Vivo o Hibrido,Shortlist,Peru,Supermercados Peruanos,Plaza Vea,Canica Films
Fiap,2025,Formatos,The Quest,Bradesco Seguros,AlmapBBDO,BBDO Worldwide,Omnicom,Cortos,Shortlist,Brasil,Bradesco Seguros,Institutional,Dont Touch my Soda
Fiap,2025,Produccion,The Quest,Bradesco Seguros,AlmapBBDO,BBDO Worldwide,Omnicom,Tecnicas de Produccion Audiovisual - Direccion General,Shortlist,Brasil,Bradesco Seguros,Institutional,Dont Touch my Soda
Fiap,2025,Produccion,The Quest,Bradesco Seguros,AlmapBBDO,BBDO Worldwide,Omnicom,Tecnicas de Produccion Audiovisual - Animacion Computarizada/Efectos Especiales,Shortlist,Brasil,Bradesco Seguros,Institutional,Dont Touch my Soda
Fiap,2025,Produccion,The Quest,Bradesco Seguros,AlmapBBDO,BBDO Worldwide,Omnicom,Tecnicas de Produccion Audiovisual - Musica Adaptada/Musica Original/Diseno de Sonido/Canciones/Jingles/Audio Logo/Uso de Licencias,Shortlist,Brasil,Bradesco Seguros,Institutional,Dont Touch my Soda
Fiap,2025,Formatos,The Quest,Bradesco Seguros,AlmapBBDO,BBDO Worldwide,Omnicom,Online Video,Shortlist,Brasil,Bradesco Seguros,Institutional,Dont Touch my Soda
Fiap,2025,Anuncios,Hablemos como I=iguales la cafeteri=IA,Gilead,Paraphernalia,Independiente,Independiente,Salud,Shortlist,Espana,Gilead,Awareness VIH,Paraphernalia
Fiap,2025,Formatos,Un dia por las mujeres,Clinica San Felipe,Always On,Independiente,Independiente,Salud,Shortlist,Peru,Clinica San Felipe,Unidad de la mama,Always On
Fiap,2025,Formatos,Un dia por las mujeres,Clinica San Felipe,Always On,Independiente,Independiente,Mejor Uso de Influencer en cualquier plataforma,Shortlist,Peru,Clinica San Felipe,Unidad de la mama,Always On
Fiap,2025,Innovacion,Reforested Billboard La lona que hizo respirar al mundo,Tripictures,El Hombre del Paraguas,Independiente,Independiente,Innovacion en Outdoor/Via publica/Ambient,Shortlist,Espana,Tripictures/Amarillo Yellow,Pelicula Emma y El Jaguar Negro,Sistema del Solar
Fiap,2025,Formatos,Reforested Billboard La lona que hizo respirar al mundo,Tripictures,El Hombre del Paraguas,Independiente,Independiente,Mejor Uso de Ambient Media,Shortlist,Espana,Tripictures/Amarillo Yellow,Pelicula Emma y El Jaguar Negro,Sistema del Solar
Fiap,2025,Anuncios,Con Salsa todo sabe mejor - Cliente Libbys,Libbys,Hanson,Hanson Channel SL,Hanson Channel SL,Television/Cine/Digital - Alimentos/Comidas/Bebidas Alcoholicas/No Alcoholicas,Shortlist,Espana,Establecimientos Industriales Archipielago SA,Salsa 0 azucares Salsa barbacoa Catchup y Catchup picante,Candilejas Producciones
Fiap,2025,Produccion,El copiloto perfecto- Archipielago Renting,Archipielago Renting,Hanson,Hanson Channel SL,Hanson Channel SL,Tecnicas de Produccion Audiovisual - Animacion Computarizada/Efectos Especiales,Shortlist,Espana,Archipielago Renting,Alquiler de Vehiculos de empresa,Hanson Channel SL
Fiap,2025,Produccion,Crowdfunding Universidad de la Laguna,Universidad de la Laguna,Hanson,Hanson Channel SL,Hanson Channel SL,Tecnicas de Produccion Audiovisual - Animacion Computarizada/Efectos Especiales,Shortlist,Espana,Universidad de la Laguna,Servicios para proyectos,Hanson Channel SL
Fiap,2025,Anuncios,Y tu? Cuan lejos quieres llegar? - UCAB - Venezuela,UCAB,Goodman Latam,Independiente,Independiente,Television/Cine/Digital - Campanas (Productos/Servicios/Corporativas),Shortlist,Venezuela,Universidad Catolica Andres Bello � Caracas Venezuela,Institucional,Enjoy
Fiap,2025,Anuncios,Y tu? Cuan lejos quieres llegar? - UCAB - Venezuela,UCAB,Goodman Latam,Independiente,Independiente,Mejor Concepto,Shortlist,Venezuela,Universidad Catolica Andres Bello � Caracas Venezuela,Institucional,Enjoy
Fiap,2025,Anuncios,Venezuela sabe a PAN,Harina PAN,Robin Strategic Creative Agency,Independiente,Independiente,Mejor Uso de la Cultura Local,Shortlist,Venezuela,Empresas Polar,Harina PAN,robin Agency y Dynapro
Fiap,2025,Formatos,Evento de Lanzamiento Estamos en Familia Buchanans,Buchanans Venezuela,Robin Strategic Creative Agency,Independiente,Independiente,Branded Content integrado a otras plataformas,Shortlist,Venezuela,DIAGEO VENEZUELA,Nuevo concepto de marca,robin Agency/Magnishow
Fiap,2025,Innovacion,Leti es Compromiso,GRUPO LETI,Concept McCann,McCann Worldgroup,IPG,Uso de Inteligencia Artificial,Shortlist,Venezuela,Grupo LETI,GRUPO LETI,Suno IA
Fiap,2025,Anuncios,Leti es Compromiso,GRUPO LETI,Concept McCann,McCann Worldgroup,IPG,Television/Cine/Digital - Mejor Musica Incidental/Mejor Cancion Original/Mejor Direccion Musical,Shortlist,Venezuela,Grupo LETI,GRUPO LETI,Suno IA
Fiap,2025,Produccion,Leti es Compromiso,GRUPO LETI,Concept McCann,McCann Worldgroup,IPG,Uso de Inteligencia Artificial,Shortlist,Venezuela,Grupo LETI,GRUPO LETI,Suno IA
Fiap,2025,Anuncios,Fluvirin Mocobardes,Fluvirin,Concept McCann,McCann Worldgroup,IPG,Uso de Inteligencia Artificial,Shortlist,Venezuela,Grupo LETI,Fluvirin,Ideogram IA
Fiap,2025,Formatos,El Jeep de otras marcas,Jeep,Made,Independiente,Independiente,Via Publica,Shortlist,Mexico,Stellantis,Jeep Wrangler,N/A
Fiap,2025,Innovacion,Immortools,RAM,Made,Independiente,Independiente,Innovacion en Marketing Directo,Shortlist,Mexico,Stellantis,Herramientas de trabajo,N/A
Fiap,2025,Formatos,El Jeep de otras marcas,Jeep,Made,Independiente,Independiente,Mejor Uso de Ambient Media,Shortlist,Mexico,Stellantis,Jeep Wrangler,N/A
Fiap,2025,Innovacion,De vuelta a casa,Imperial FIFCO,Joystick FIFCO,Independiente,Independiente,Innovacion en campanas sobre sostenibilidad,Shortlist,Costa Rica,Imperial,Cerveza,Del Mate Producciones Kaiju Creators
Fiap,2025,Innovacion,De vuelta a casa,Imperial FIFCO,Joystick FIFCO,Independiente,Independiente,Uso de Inteligencia Artificial,Shortlist,Costa Rica,Imperial,Cerveza,Del Mate Producciones Kaiju Creators
Fiap,2025,Innovacion,De vuelta a casa,Imperial FIFCO,Joystick FIFCO,Independiente,Independiente,Innovacion en Tecnologia,Shortlist,Costa Rica,Imperial,Cerveza,Del Mate Producciones Kaiju Creators
Fiap,2025,Formatos,De vuelta a casa,Imperial FIFCO,Joystick FIFCO,Independiente,Independiente,Uso de Inteligencia Artificial,Shortlist,Costa Rica,Imperial,Cerveza,Del Mate Producciones Kaiju Creators
Fiap,2025,Formatos,De vuelta a casa,Imperial FIFCO,Joystick FIFCO,Independiente,Independiente,Mejor Campana de Sostenibilidad,Shortlist,Costa Rica,Imperial,Cerveza,Del Mate Producciones Kaiju Creators
Fiap,2025,Anuncios,De vuelta a casa,Imperial FIFCO,Joystick FIFCO,Independiente,Independiente,Uso de Inteligencia Artificial,Shortlist,Costa Rica,Imperial,Cerveza,Del Mate Producciones Kaiju Creators
Fiap,2025,Anuncios,De vuelta a casa,Imperial FIFCO,Joystick FIFCO,Independiente,Independiente,Creatividad Efectiva - Bien Publico,Shortlist,Costa Rica,Imperial,Cerveza,Del Mate Producciones Kaiju Creators
Fiap,2025,Anuncios,This is not a game,Movistar,VML,VML,WPP,Television/Cine/Digital - Bien Publico,Shortlist,Mexico,Telefonica,Negocio responsable,Landia
Fiap,2025,Anuncios,This is not a game,Movistar,VML,VML,WPP,Television/Cine/Digital - Imagen Corporativa,Shortlist,Mexico,Telefonica,Negocio responsable,Landia
Fiap,2025,Formatos,This is not a game,Movistar,VML,VML,WPP,Advergaming,Shortlist,Mexico,Telefonica,Negocio responsable,Landia
Fiap,2025,Formatos,This is not a game,Movistar,VML,VML,WPP,Social Content,Shortlist,Mexico,Telefonica,Negocio responsable,Landia
Fiap,2025,Formatos,This is not a game,Movistar,VML,VML,WPP,Online Video,Shortlist,Mexico,Telefonica,Negocio responsable,Landia
Fiap,2025,Produccion,This is not a game,Movistar,VML,VML,WPP,Tecnicas de Produccion Audiovisual - Direccion General,Shortlist,Mexico,Telefonica,Negocio responsable,Landia
Fiap,2025,Produccion,This is not a game,Movistar,VML,VML,WPP,Tecnicas de Produccion Audiovisual - Direccion de Actores,Shortlist,Mexico,Telefonica,Negocio responsable,Landia
Fiap,2025,Produccion,This is not a game,Movistar,VML,VML,WPP,Tecnicas de Produccion Audiovisual - Edicion,Shortlist,Mexico,Telefonica,Negocio responsable,Landia
Fiap,2025,Innovacion,The Kimberly price,Plaza Vea,Fahrenheit DDB,DDB Worldwide,Omnicom,Innovacion en Eventos/Experiencia,Shortlist,Peru,Supermercados Peruanos,Plaza Vea,Canica Films
Fiap,2025,Anuncios,The Kimberly price,Plaza Vea,Fahrenheit DDB,DDB Worldwide,Omnicom,Uso Creativo del Espacio en Publicidad de Eventos,Shortlist,Peru,Supermercados Peruanos,Plaza Vea,Canica Films
