Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Spikes Asia,2022,LOCAL BRAND,NAPOLEON DYNAMITE PUTS HIS SWEET SKILLS TO WORK,SEEK,ADHESIVE,Consumer Services & Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/cf3a7c677071455f92ff4c120b6be758/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,THE GIRL WHO LOVED INSECTS,WASEDA ACADEMY,ROBOT COMMUNICATIONS,Consumer Services & Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/4f736f861ca74524bc9afd00f7d236fb/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,CONSCIOUS IS BACK,KASIKORN BANK,GREYNJ UNITED,Consumer Services & Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/721946b5bfba40b18c3e6c777ac0a3a1/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,BAEMIN GIFT LAUNCH CAMPAIGN,BAEMIN,HS AD,Consumer Services & Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/fb09fb31b0604255990f7767b711dab2/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,NEXT INSURANCE - BUSINESS INSURANCE DOESNT HAVE TO SUCK,NEXT INSURANCE,BUCK,Consumer Services & Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/8ef0cae0134f4ea49deaff301189d16a/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,LOVE CARRIES ON,RHB GROUP,FCB SHOUT,Consumer Services & Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/e5ce6b0cadaf4ee185765ae9750a9fc8/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,THE CHRISTMAS LIST,HUAWEI,PUBLICIS SAPIENT,Consumer Services & Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/b53e1c08b5184c7bb7b17a3753c52871/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,HAIR ALBUM,TAKARA BELMONT CORPORATION,HAKUHODO INC,Consumer Services & Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/5b941f3a40394ae4b4c23092e6bc46ec/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,HP NEVER STOP SMB BRANDING CAMPAIGN,HEWLET-PACKARD,FRED & FARID SHANGHAI,Consumer Services & Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/8d39db77373542abbcda5e8195cebdfb/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,METAVERRRRRRR,KRUNGSRI FIRST CHOICE,LEO BURNETT,Consumer Services & Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/68ad3a527016416a91ec545cc143ff1c/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,MASTER JI,BYJUS,BYJUS,Consumer Services & Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/17c0591b4c944da3bdee40d53e9b487a/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,SMALL BUSINESS SUCCESS STORY,FACEBOOK,WUNDERMAN THOMPSON,Consumer Services & Business to Business,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/4a63615dc94d428d905499e4c52e08f9/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,STAYFREE DAUGHTERS DAY,JOHNSON & JOHNSON,DDB MUDRA,Not-for-profit & Charity & Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/88a9a9bf8a934223be76d257430bef0e/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,HATERS GON HATE,GREENPEACE,ULTRASUPERNEW,Not-for-profit & Charity & Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/fc90d8d338184d6ba596a7a4fe66b3a1/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,FEEL THE RHYTHM OF KOREA CAMPAIGN,KOREA TOURISM ORGANIZATION,HS AD,Not-for-profit & Charity & Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/d6ceeff210bb41bba373e821278c7785/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,TOUGH PEOPLE VS SHOCK COLLAR,SPCA,HECKLER SG,Not-for-profit & Charity & Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/4f044ad66c874c58910d420fd6ed71ce/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,PROUD TO BE M?ORI,TE WH?NAU O WAIPAREIRA,MOTION SICKNESS,Not-for-profit & Charity & Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/0c1460c787184382b37a1a76231e180f/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,FAMILY PROJECT TVC - OVER THE RAINBOW,FAMILY PROJECT,AWAKEN,Not-for-profit & Charity & Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/e593e5a08ed64d7bb8de4c38d85be2c2/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,FAMILY PROJECT TVC - UPBEAT,FAMILY PROJECT,AWAKEN,Not-for-profit & Charity & Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/606c83710b5c4a78aaaf193a4833a261/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,DAD,THAI HEALTH PROMOTION FOUNDATION,LEO BURNETT,Not-for-profit & Charity & Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/029cbdc7aa58436b92673f48fa2869cc/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,THE MIRROR - SEE ME AS I AM,UNAIDS,FCB INDIA,Not-for-profit & Charity & Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/790b3f96bfb74e49afece763c8967321/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,SINGAPURA QUEENS,PINK DOT SG,HECKLER SG,Not-for-profit & Charity & Government,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/fec8fcb6cef84a5887059e9083d243e4/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,SMILE,RC COLA,GIGIL,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/86369ae0867b4080b02381125e2c2756/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,PAIL,OROCAN PLASTICS,GIGIL,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/50ce6f6839614a60be9848949b2b6b5e/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,FAMILY,CHOCO MANI PEANUT CHOCOLATE,GIGIL,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/ea23697c46344292a100df98e714bdf8/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,WOMAN,MEGA TUNA,GIGIL,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/6ffa237cf403471cbb0054676eff6c51/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,NAPOLEON DYNAMITE PUTS HIS SWEET SKILLS TO WORK,SEEK,ADHESIVE,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/4c07ce558a084447b6b5868bf66fcbcf
Spikes Asia,2022,LOCAL BRAND,THE REASON IM HERE | BEHIND THE SCENES OF THE 70S STYLE FILM,MCDONALDS JAPAN,TBWA\HAKUHODO INC,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/146ce07134d7405f892f260e237a34ac/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,WHATSAPP VIEW ONCE,WHATSAPP,BBDO INDIA,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/36e0c95ae988444490b5c27c1151d996/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,WHITEHAT JR SOCIAL EXPERIMENT,WHITEHAT JR,BBDO INDIA,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/af2fcd90915149bea305d0496376d02e/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,THE CHRISTMAS LIST,HUAWEI,PUBLICIS SAPIENT,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/b53e1c08b5184c7bb7b17a3753c52871/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,MARRIOTT - SHERATON - CELEBRATE THE COMMUNITY,MARRIOTT HOTELS,GREY,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/2c728eec67a5498897932fd54d74ba49/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,NAZO,SARSABZ FERTILIZERS,FATIMA FERTILIZER COMPANY LIMITED,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/7b00740a92ab4d549384ff1714faeec6/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,THE DIVIDE,PAYTM,DENTSU CREATIVE,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/e585da8d7aba449d83cbf547a98f0f6f/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,STRONGER TOGETHER (NATIONAL DAY 2021),OCBC BANK,OCBC BANK,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/4085d83a1e964913aeeef34bb49a6f12/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,DIYE SE DIYA JALAO | A FILM BY HP,HP INDIA SALES PVT LTD,HP INDIA SALES PVT LTD,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/2f0f8ce8c63d42adbd7824836f838bb1/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,PERFORMANCE ENHANCING MUSIC,SAMSUNG,CHE PROXIMITY,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/53ef5120cae8472d87e4e5e338ffde0e/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,WATCH,JOLLIBEE,GIGIL,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/250c21c5bceb44e8a76e2ccadecf9bd3/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,CREAM,JOLLIBEE,GIGIL,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/d0f79f73a5a243838313f6940c96a151/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,JACKET,JOLLIBEE,GIGIL,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/772159edbb7b44028f688663fb0e871e/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,AMD X VICE - INNER WORLDS,ADVANCED MICRO DEVICES (AMD),ADVANCED MICRO DEVICES (AMD),Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/cddd8f6248114e69a176f040f2113d4a/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,INVISIBLE FIRES,NRMA,THINKERBELL,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/58521114184f441e8b1bcf405c4922a0/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,BEAUTIFULINDEED (SOCIAL PANGA X MAMAEARTH),MAMAEARTH,Social Hardware,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/8f91649102c94fb59e52ef2e2a6f77a3/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,SMALL BUSINESS SUCCESS STORY,FACEBOOK,WUNDERMAN THOMPSON,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/4a63615dc94d428d905499e4c52e08f9/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,HIDDEN TRUTH,VIDYA INDIA,WUNDERMAN THOMPSON,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/afbfee087db64c3699eb4d683da05e0c/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,BODY CONTROL,NIKE,KLUE,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/fde743099e684e6dbf7aaa6175f35f2a/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,MUSCLE DEFINITION,NIKE,KLUE,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/ad7fc0902f594454bcc6e019e3bdb719/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,APOLLO CIRCLE OF LIFE,APOLLO,WUNDERMAN THOMPSON,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/ee2849d214a34384927c91803949b294/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,NETFLIX INDIA,NETFLIX INDIA,CREATIVELAND ASIA,Social Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/e46d5a70778c4e8abda918c900e8f24c/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,IN HER SHOES,LUX,WUNDERMAN THOMPSON,Interactive Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/c18a5a5f05784089b9c7c7027e9c3956/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,A CITY TAKING CARE OF SOMEBODY FOR ME,MEITUAN,W,Web Series,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/92f25974f2144972a968699552ec15ea
Spikes Asia,2022,LOCAL BRAND,ANDO THE SPY,HEAD & SHOULDERS,FORSMAN & BODENFORS,Web Series,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/6329faa51d5b473fb76d95ae60a81819/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,FEEL THE RHYTHM OF KOREA CAMPAIGN,KOREA TOURISM ORGANIZATION,HS AD,Web Series,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/82dc3473495142d392e495f18018cd54/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,THE CASE STUDY PROJECT,WOMENS WORK COLLECTIVE,SAATCHI & SAATCHI,Screens & Events,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/9acdf91b3dbf48de80130f555a3acdbb/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,UNEXPECTEDLY INTERESTING,NATIONAL LIBRARY,OGILVY,Screens & Events,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/eadf4a5bec064261ab370afeebf9c93e/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,TOKYO 2020 OLYMPIC GAMES OPENING CEREMONY / LET THE GAMES BEGIN,TOKYO 2020 OLYMPIC GAMES,GEEK PICTURES INC,Screens & Events,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/4af95daf0d524c839ad1d6f2e3af089a/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,TOKYO 2020 OLYMPIC GAMES OPENING CEREMONY / COUNTDOWN VIDEO,TOKYO 2020 OLYMPIC GAMES,GEEK PICTURES INC,Screens & Events,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/8d55eb308fed43a6be80b1b4bbdcc799/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,TOKYO 2020 OLYMPIC GAMES OPENING CEREMONY / POISED TO PLAY,TOKYO 2020 OLYMPIC GAMES,GEEK PICTURES INC,Screens & Events,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/b4ff0aaedbc446088592cacce8e2a667/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,PAUSE THE BARGAIN,AXIS BANK,AUTUMNGREY,Screens & Events,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/3fe37ddeac384acebc55182c9c1cdcd9/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,THE THREAT 1,NETFLIX,LEO BURNETT,Micro-film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/c09ffe4aaf7247acb6b6eea4927d7acf/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,WHATSAPP E2EE,WHATSAPP,BBDO INDIA,Micro-film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/e5c44a87f76545c09666c6c1800252b5/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,COME BACK,KRUNGSRI AUTO,TBWA\THAILAND,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/a9d933e894ae44b1957bbd3fc0c595af/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,IN LOVE WE TRUST,SINYI REALTY,DENTSU MB TAIWAN,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/236b0967bbd34d678567eb188afb0885/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,MEMORIES EMPOWER,KINGSTON,DENTSU MB TAIWAN,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/4ed1537a4d1140d4a04b4773b708a50f/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,THE LAST DAY OF ROBERTS FLOWER,E-LIFE MALL CORPORATTON,DENTSU MB TAIWAN,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/9e20e9c23c8e4f1796a8e173d5ae527a/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,UNSPOKEN LOVE,OPPO,OPPO,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/abb738b7d93d4ccdabded93761ce06ce/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,NIAN - SHOT ON IPHONE,APPLE,TBWA\MEDIA ARTS LAB,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/238872b4eaf6439ab5b6da15a53c47e1/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,HEART DISTANCE,NTT,HAKUHODO INC,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/be9d75ee218644efbed218e01519277f/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,SANGSOM BUCKET FOR 1 NATION,THAI BEVERAGE CO LTD,SOUR BANGKOK,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/32e0c3eac5d24af38549204142a12527/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,MALAYSIAS GREATEST MAKAN HITS,GRAB,GRAPH STUDIO,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/903f03d6ba9541558619408c371aa7ee/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,LIBRARY,VOIZ,OGILVY,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/760338bad18648ba8048da4ce050836b/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,DADS THRONE,TAIWAN SAKURA CORPORATION,WUNDERMAN THOMPSON,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/1791865d3532439ab0acacd232e49ddc/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,VAUNDY?SHIWAAWASE?,,GEEK PICTURES INC,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/f9b224e332464c8896ff35d7ab5f29bb/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,POKEMON RYUOSEN 2022 OPENING ACT,POKEMON,PARTY,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/7622cb34c0384296819948adaf16e58c/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,COFFEE TALK,MCDONALDS,LEO BURNETT,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/5c299c4d64544d99957a871396770edf/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,SECRETS,HCG,LEO BURNETT,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/7305e7f071374fb89bd4b672b429f66a/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,TWENTY TWO YEARS 6OAL,THAIBEV MARKETING CO LTD,GREYNJ UNITED,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/7075f4e3c9de44b690ed5d80166af2b0/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,INI IKLAN RAYA TAU?,JULIES BISCUITS,GOVT,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/c17b38cdd561463784933c972bb147d6/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,A-LEAGUES - HERE COME THE FUTURE,A-LEAGUES,R/GA,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/37e283bca1444624871d30ff6dee006f/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,WHATSAPP VIEW ONCE,WHATSAPP,BBDO INDIA,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/36e0c95ae988444490b5c27c1151d996/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,WHITEHAT JR SOCIAL EXPERIMENT,WHITEHAT JR,BBDO INDIA,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/af2fcd90915149bea305d0496376d02e/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,RALCO PRESSUREMAKESBETTER MARRIAGE,RALCO,BBDO INDIA,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/726e478b2ad3470ca4fb26cdd382512c/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,RALCO PRESSUREMAKESBETTER SALES PRESSURE,RALCO,BBDO INDIA,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/eaa98bda742d47deb843965f25a6d84e/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,OLAY STEMTHEGAP,OLAY,LEO BURNETT,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/65e13b6110f246acb4513008c818074f/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,PERFORMANCE ENHANCING MUSIC,SAMSUNG,CHE PROXIMITY,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/07566f7759d14b25b4a1ed9f9fb9a260/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,MASTER JI,BYJUS,BYJUS,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/17c0591b4c944da3bdee40d53e9b487a/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,PXMART - OFF COFFEE - BLACK HOLE,PXMART,OGILVY TAIWAN,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/3d3918ef819b4fedaec2b5dccc95e7fb/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,AMD X VICE - INNER WORLDS,ADVANCED MICRO DEVICES (AMD),ADVANCED MICRO DEVICES (AMD),Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/cddd8f6248114e69a176f040f2113d4a/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,NETFLIX INDIA,NETFLIX INDIA,CREATIVELAND ASIA,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/824edfa59ae94a11af7fd697c80121b8/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,MARRIOTT - SHERATON - CELEBRATE THE COMMUNITY,MARRIOTT HOTELS,GREY,Branded Content & Entertainment Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/2c728eec67a5498897932fd54d74ba49/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,MALAYSIAS GREATEST MAKAN HITS,GRAB,GRAPH STUDIO,Use of Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/903f03d6ba9541558619408c371aa7ee/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,CONDOM BATTLER GORO REVIVE,OKAMOTO INDUSTRIES INC,DENTSU INC,Use of Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/1f0b60ca95424fe3b2a5f7ad7f3b283b/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,PLAY ON,KENO,HOWATSON COMPANY,Use of Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/c62a02fa32ae451796568aab7c95aaf9/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,A-LEAGUES - HERE COME THE FUTURE,A-LEAGUES,R/GA,Use of Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/37e283bca1444624871d30ff6dee006f/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,ZAP ME IF YOU CAN,GOOGLE,HAKUHODO KETTLE INC,Use of Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/0c40a756f09b411db5aab5fa41f73194/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,HIDDEN TRUTH,VIDYA INDIA,WUNDERMAN THOMPSON,Use of Film,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/afbfee087db64c3699eb4d683da05e0c/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,CONSCIOUS IS BACK,KASIKORN BANK,GREYNJ UNITED,Local Brand,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/721946b5bfba40b18c3e6c777ac0a3a1/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,INI IKLAN RAYA TAU?,JULIES BISCUITS,GOVT,Local Brand,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/c17b38cdd561463784933c972bb147d6/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,PLAY ON,KENO,HOWATSON COMPANY,Local Brand,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/c62a02fa32ae451796568aab7c95aaf9/storyboard_000008.jpg?resize=600,600
Spikes Asia,2022,LOCAL BRAND,PERFORMANCE ENHANCING MUSIC,SAMSUNG,CHE PROXIMITY,Challenger Brand,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/07566f7759d14b25b4a1ed9f9fb9a260/storyboard_000008.jpg
Spikes Asia,2022,LOCAL BRAND,ANDO THE SPY,HEAD & SHOULDERS,FORSMAN & BODENFORS,Challenger Brand,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/6329faa51d5b473fb76d95ae60a81819/storyboard_000008.jpg?resize=600,600
