Festival,Year,Track,Title,Brand,Agency,Contributing_Agencies,Category,Country,Award Level
Effie Awards Latam,2025,Single-Market,Día de la madre O boticário tormentas pasan el amor permanece,O Boticário,AlmapBBDO,,Youth marketing,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Estudiar es rebelarse el movimiento que Siglo 21 convirtió en bandera,Universidad Siglo 21,Don by Havas (Argentina),,Youth marketing,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Paketaxo Dark El alma dark de la fiesta,Paketaxo,Don by Havas,,Youth marketing,México,Shortlist
Effie Awards Latam,2025,Single-Market,(Un)deleted,Dove,VML Argentina y Media Lab Agency,Bien Buenos Aires/Initiative Argentina/Mama Hungara,Youth marketing,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Ludopatía digital,Movistar,VML Argentina,Faro Digital/Havas Plus,Youth marketing,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Suerte con el que te toque,Flamin Hot Ruleta,Isla República México e Isla República Argentina,,Youth marketing,México,Shortlist
Effie Awards Latam,2025,Single-Market,PomarolaCo-creación con salsa,Pomarola,MRM Brasil,Noir Tropical,Youth marketing,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,The Test List,Grupo Omint,Tombras Niña,,Youth marketing,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Dove - Only available in Brazil,Dove,David y Tastemakers Assessoria De Comunicacao LTDA,Initiative/BR Media Group,Youth marketing,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Trident free fire - Suelta la skin al juego,Trident - Games,Leo Burnett Tailor Made,,Promotional marketing,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Dancing Washers,Whirlpool,VML,,Promotional marketing,México,Shortlist
Effie Awards Latam,2025,Single-Market,Un Argentino no te abandona Rexona tampoco,Rexona,Zurda e Initiative Argentina,Medialab/Catch,Promotional marketing,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Ser navicumpleañero” no es divertido,Amazon,AlmapBBDO,Rufus,Promotional marketing,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Abogados BK Taste,Burger King,AlmapBBDO,Jotacom/Streetwise,Promotional marketing,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,La cuenta que tu camello merece,Banco de Bogotá,McCann Worldgroup Colombia y UM Universal McCann Colombia,,Promotional marketing,Colombia,Shortlist
Effie Awards Latam,2025,Single-Market,El sonido del divorcio,Calm es Simple,Ogilvy & Mather,,Promotional marketing,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Anillo Brahmero,Brahma,Grey Argentina,,Promotional marketing,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Big Ma,McDonalds,Publicis Groupe Panamá y Starcom Panamá,PXP/The Producers/La Doble,Promotional marketing,Panamá,Shortlist
Effie Awards Latam,2025,Single-Market,Handshake Desbloqueando conversiones masivas en tiempo real,Mercado Libre,UM México,Gut/Meet Super,Promotional marketing,México,Shortlist
Effie Awards Latam,2025,Single-Market,El sexo reactiva la economía,Tulipán,Zurda Agency,Pulmon/Retina,Promotional marketing,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Vives en una pizza,Papa Johns Pizza,be flamingo,,Promotional marketing,Ecuador,Shortlist
Effie Awards Latam,2025,Single-Market,Tacorcholata,Victoria,Wieden + Kennedy,Wieden + Kennedy,Promotional marketing,México,Shortlist
Effie Awards Latam,2025,Single-Market,Incomplete Ads,Qué Rico!,McCann Panamá,,Promotional marketing,Panamá,Shortlist
Effie Awards Latam,2025,Single-Market,Sanders de los dientes,KFC,MullenLowe SPP3 y PHD Perú,Newlink Perú,Promotional marketing,Perú,Shortlist
Effie Awards Latam,2025,Single-Market,Chaves,Ypê,DPZ,,Promotional marketing,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Y si el daño fuera belleza?,Dove,VML e Initiative Argentina,Paramount +/Mercado ads/Medialab,Promotional marketing,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Reborn songs,LifeLink,VML,,Promotional marketing,Puerto Rico,Shortlist
Effie Awards Latam,2025,Single-Market,KitKot,KitKat,Ogilvy Brasil,Sailor Studio/Media Brands,Promotional marketing,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Charitón de la tele a la góndola,Nestlé Perú,America TV,McCann Lima/Thrive/Apoyo Comunicacion SA,Promotional marketing,Perú,Shortlist
Effie Awards Latam,2025,Single-Market,Tera La gran llegada,Volkswagen,AlmapBBDO,,Promotional marketing,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,CPG,Mercado Libre,GUT México,Mama Hungara,Promotional marketing,México,Shortlist
Effie Awards Latam,2025,Single-Market,La hormiga que hizo que ahorrar no diera pereza,Davivienda,Madison DDB,,Products & financial services,Costa Rica,Shortlist
Effie Awards Latam,2025,Single-Market,De la razón al corazón el giro que cambió el vínculo de Santander con las Pymes,Santander,Don by Havas (Argentina),,Products & financial services,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Nubanc por Matt LeBlanc,Nubank,Wieden + Kennedy,,Products & financial services,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Nubank conquistando el territorio de películas y series,Nubank,Wieden + Kennedy y Nubank Creative Hub,,Products & financial services,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Mastercardmakeup payment,Mastercard,MRM,VANQ/Mandril Audio,Products & financial services,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Cómo una apuesta le robó el show a los patrocinadores de la Copa América,Wingo,Havas Colombia,Havas Argentina,Products & financial services,Colombia,Shortlist
Effie Awards Latam,2025,Single-Market,Promesas absurdas,ASDRA,VML,,Products & financial services,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Fuego Vs Galo,Burger King,Streetwise,Eletromidia/OOH/Clear Channel BR/JCDecaux,Products & financial services,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Decí Fulbo,TaDa,draftLine BUE,,Products & financial services,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Vuelve Franco volvimos todos,Mercado Libre,Gut Argentina y Gut Brasil,Rebolucion,Products & financial services,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Fiat De un limón una goleada,Fiat,Leo Burnett Tailor Made,Globo Comunicacao e Participacoes S/A,Products & financial services,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Pete Zahat,Pizza Hut,BBA,,Social media,Ecuador,Shortlist
Effie Awards Latam,2025,Single-Market,Dancing washers,Whirlpool,VML,,Social media,México,Shortlist
Effie Awards Latam,2025,Single-Market,Historias de heladera,Hellmanns Argentina,Ogilvy Argentina e Initiative Argentina,Media Lab,Social media,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Me vale Cheetos,Cheetos,Slap Global,,Social media,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Medusa La serie que se auto-censuró,Netflix,Sancho BBDO,Flare BBDO,Social media,Colombia,Shortlist
Effie Awards Latam,2025,Single-Market,Destino oculto Cómo vender todo un vuelo con un solo post,Wingo y AB InBev Bavaria,Havas Colombia,,Social media,Colombia,Shortlist
Effie Awards Latam,2025,Single-Market,Pedro Sola Segunda oportunidad,Hellmanns,Initiative México,Épica,Social media,México,Shortlist
Effie Awards Latam,2025,Single-Market,Nubanc por Matt LeBlanc,Nubank,Wieden + Kennedy,,Social media,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Report this ad,Veris,Paradais DDB,,Social media,Ecuador,Shortlist
Effie Awards Latam,2025,Single-Market,¿Ese producto? ¡Yo no lo voy a usar! TRESemmé hizo lo que ninguna marca se atrevió a hacer lanzar una anti-campaña para un producto anti-frizzElegimos vender verdad no promesas,TRESemmé,Out Of Office,Index Conectada/Initiative/Surreal Hotel Arts/Notan Studio,Social media,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,El Dibu,Adidas,Adidas,,Social media,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Protegiendo el futuro de Sol,Cemento Sol,VML,Apoyo Comunicación SA,Social media,Perú,Shortlist
Effie Awards Latam,2025,Single-Market,Corona Island LDA,Corona,The Board,Bilbao Group,Social media,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Fiat A buen entendedor minuto y medio basta,Fiat,Leo Burnett Tailor Made,Essence MediaCom,Social media,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,El fin de la discusión paga el que tiene la de Santander,Santander,Don by Havas (Argentina),,Relaunches,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Lo estás haciendo bien,Gloria,Fahrenheit DDB,Starcom - Publicis Groupe,Relaunches,Perú,Shortlist
Effie Awards Latam,2025,Single-Market,Wi-Fi hogar,Personal,Gut Argentina,Argentina Cine,Relaunches,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Extinto una línea de perfumes que está ayudando a salvar paraísos en todo el mundoExtinto,O Boticário,AlmapBBDO,,Corporate reputation - Professional services,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,This is not a game,Movistar,VML,Havas Group México,Corporate reputation - Professional services,México,Shortlist
Effie Awards Latam,2025,Single-Market,El momento de la verdad,OSDE,Zurda Agency,Argentina Cine/Pulmon/DKS/Quiroga,Corporate reputation - Professional services,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Aliados de tu desarrollo,Alicorp,Valor Group,Tribeca Media Group Perú SAC/MediaHub/LLYC,Corporate reputation - Professional services,Perú,Shortlist
Effie Awards Latam,2025,Single-Market,Peternity leave,Royal Canin,Tombras Niña,Urban Grupo de Comunicación/Landia/MediaCom (Arge),Corporate reputation - Professional services,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,(Re)search my body,Grupo Boticário,Gut Brasil,Vetor Zero/SoWhat/Máquina/Cabaret,Corporate reputation - Professional services,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Glowing relief,Alivia Health,De la Cruz Ogilvy,,Crisis response,Puerto Rico,Shortlist
Effie Awards Latam,2025,Single-Market,Community king,Burger King,BBA Ecuador,,Crisis response,Ecuador,Shortlist
Effie Awards Latam,2025,Single-Market,T-Search,ONG Mães da Sé,Cappuccino,Shotfilmes/Ultrassom Music Ideas/Weber Shandwick (Brasil)/Powell Tate Brazil,Crisis response,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Invocando al rey en halloween,Burger King Puerto Rico,De la Cruz Ogilvy,,Restaurants,Puerto Rico,Shortlist
Effie Awards Latam,2025,Single-Market,Día de la madre O Boticário tormentas pasan el amor permanece,O Boticário,AlmapBBDO,,Restaurants,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Día de los padres O Boticário ¿Hasta cuándo vamos a pensar que 5 días son suficientes?,O Boticário,AlmapBBDO,,Restaurants,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Dia de las madres O Boticário 2025 El amor siempre tiene un plan,O Boticário,AlmapBBDO,,Restaurants,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Navidad O Boticário a través del cuidado el amor se fortalece,O Boticário,AlmapBBDO,,Restaurants,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Ser “navicumpleañero” no es divertido,Amazon,AlmapBBDO,Rufus,Restaurants,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Biblioteca casi vacía,Amazon,AlmapBBDO,,Restaurants,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Cornudo drive-thru,Burger King,AlmapBBDO,Jotacom/Streetwise,Restaurants,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Franco delivered,Mercado Libre,Gut Argentina y Gut Brasil,Rebolucion,Restaurants,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Priceless walls,Home Vega,Beflamingo Agency,Karina Burgos,Restaurants,Ecuador,Shortlist
Effie Awards Latam,2025,Single-Market,Handshake Desbloqueando conversiones masivas en tiempo real,Mercado Libre,UM México,Gut Agency (México)/Meet Super,Restaurants,México,Shortlist
Effie Awards Latam,2025,Single-Market,Indio de Alma Guerrera,Indio,Ogilvy México,Media Monks,Brand revitalization,México,Shortlist
Effie Awards Latam,2025,Single-Market,Newborn parents,Johnsons Baby,UM Brasil,,Brand revitalization,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Torito de Pacífico tradición que protege de verdad,Pacífico Seguros,TBWA,OMD,Insurance,Perú,Shortlist
Effie Awards Latam,2025,Single-Market,Domicilios con descuentos,TaDa y Cervepar,Wild Fi,Renovatio Films,Deliver y Services,Paraguay,Shortlist
Effie Awards Latam,2025,Single-Market,No dejemos de pedir,Pedidos Ya,Gut Argentina,Argentina Cine,Deliver y Services,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Relanzamiento TaDa,TaDa,Isla Argentina e Isla México,Landia,Deliver y Services,México,Shortlist
Effie Awards Latam,2025,Single-Market,Living in a pizza,Papa Johns Pizza,Be Flamingo,,Deliver y Services,Ecuador,Shortlist
Effie Awards Latam,2025,Single-Market,Glowing relief,Alivia Health,De la Cruz Ogilvy,,Deliver y Services,Puerto Rico,Shortlist
Effie Awards Latam,2025,Single-Market,Wi-Fi hogar,Personal,Gut Argentina,Argentina Cine,Telecommunications,Argentina,Shortlist
Effie Awards Latam,2025,Single-Market,Destino oculto El primer vuelo que despegó sin destino,Wingo y AB InBev Bavaria,Havas Colombia,,Travel trips and tourism,Colombia,Shortlist
Effie Awards Latam,2025,Single-Market,Uber moto - La Tropa que Nunca se Atrasa,Uber,Wieden + Kennedy,MugShot/Mfield/Dias Conceito/Iconoclast,Travel trips and tourism,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Rockn ride,Uber y Quilmes,Wieden + Kennedy,OMD,Travel trips and tourism,Brasil,Shortlist
Effie Awards Latam,2025,Single-Market,Latam Airlines - Lady Gaga,Latam Airlines,MRM y WMcCann,Jazz Side/Somos Fans,Travel trips and tourism,Brasil,Shortlist
Effie Awards Latam,2025,Multi-Market,Gratis-gratis,Mercado Libre,Gut Argentina y Gut Brasil,,Media companies & entertainment,Argentina,Shortlist
Effie Awards Latam,2025,Multi-Market,Mercado Libre - Cazando ofertas en cada apretón de manos en Latinoamérica,Mercado Libre,Gut Brasil y Gut Buenos Aires (Argentina),Zetabe Powered By Mediabrands Campaigns,Media idea,Brasil,Shortlist
Effie Awards Latam,2025,Multi-Market,Las Juntas Finance,Financiera Confianza,Arena Media (Perú),,Positive change Social- Brands,Perú,Shortlist
Effie Awards Latam,2025,Multi-Market,Puma Pris 20,Puma Pris,PHD Costa Rica y Becoming + Nro3,PHD Guatemala/PHD El Salvador/PHD Honduras,New products or services (launches) - Line extension,Costa Rica,Shortlist
Effie Awards Latam,2025,Multi-Market,Mercado Libre - Cazando ofertas en cada apretón de manos en Latinoamérica,Mercado Libre,Gut Brasil y Gut Buenos Aires (Argentina),Zetabe Powered By Mediabrands Campaigns,Promotional marketing,Brasil,Shortlist
Effie Awards Latam,2025,Multi-Market,Viral beauty Declaramos viralidad y el internet nos creyó,LOréal París Maybelline Garnier y Vogue,Goldfish,,Social media,Panamá,Shortlist
Effie Awards Latam,2025,Multi-Market,Gratis-gratis,Mercado Libre,Gut Argentina y Gut Brasil,,Relaunches,Argentina,Shortlist
Effie Awards Latam,2025,Multi-Market,Puma Pris 20,Puma Pris,PHD Costa Rica y Becoming + Nro3,PHD Guatemala/PHD El Salvador/PHD Honduras,Relaunches,Costa Rica,Shortlist
Effie Awards Latam,2025,Multi-Market,Big-Bang,Mercado Libre,Gut Argentina y Gut Brasil,Rebolucion,Relaunches,Argentina,Shortlist
Effie Awards Latam,2025,Multi-Market,El Poder de la dulzura,Axe,Lola MullenLowe e Initiative Argentina,Initiative/Catch,Relaunches,Argentina,Shortlist
