Festival,Year,Track,Title,Brand,Agency,Category,Format,Award level,Board image
Gerety Awards,2025,WORK FOR GOOD CUT ,ENTOUCHABLE MUSEUM,Hachioji Visually Impaired Welfare Association,Dentsu Digital Inc,EMERGING COMMERCE,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/180300/entouchable-museum-hachioji-visually-impaired-welfare-association
Gerety Awards,2025,WORK FOR GOOD CUT ,Endless Runway,eBay,Edelman,ALTERNATIVE,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/187798/endless-runway-ebay
Gerety Awards,2025,WORK FOR GOOD CUT ,Equal Communication,TERRE DES FEMMES,Scholz & Friends,RADIO,CAMPAIGN,Shortlist,https://www.geretyawards.com/winners/2025/entry/186441/equal-communication-terre-des-femmes
Gerety Awards,2025,WORK FOR GOOD CUT ,Free the Voices,Monoceros Labs,LLYC,PR,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/179510/free-the-voices-monoceros-labs
Gerety Awards,2025,WORK FOR GOOD CUT ,GhostNetZero,WWF Germany,Accenture Song Germany,DIGITAL,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/186259/ghostnetzero-wwf-germany
Gerety Awards,2025,WORK FOR GOOD CUT ,Heirlooms,Suicide & Co,VML UK,ONLINE VIDEO,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/180554/heirlooms-suicide-co
Gerety Awards,2025,WORK FOR GOOD CUT ,Irmela vs Nazis,toom DIY market,Scholz & Friends,TV/CINEMA,CAMPAIGN,Shortlist,https://www.geretyawards.com/winners/2025/entry/186442/irmela-vs-nazis-toom-diy-market
Gerety Awards,2025,WORK FOR GOOD CUT ,Just Because Leo Can,Rick Hansen Foundation,VML Canada,TV/CINEMA,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/186839/just-because-leo-can-rick-hansen-foundation
Gerety Awards,2025,WORK FOR GOOD CUT ,Keep up with reality,Reporters Without Borders,kestam Holst NoA,PRINT (PRESS),CAMPAIGN,Shortlist,https://www.geretyawards.com/winners/2025/entry/186399/keep-up-with-reality-reporters-without-borders
Gerety Awards,2025,WORK FOR GOOD CUT ,Liming With Gran,University of Cambridge & Genomics England,Ketchum,PR,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/178193/liming-with-gran-university-of-cambridge-genomics-england
Gerety Awards,2025,WORK FOR GOOD CUT ,One In 100,Safehaven Toronto,The Local Collective,ALTERNATIVE,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/180578/one-in-100-safehaven-toronto
Gerety Awards,2025,WORK FOR GOOD CUT ,Re-righting History,Cathay,Leo Hong Kong,ONLINE VIDEO,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/179946/re-righting-history-cathay
Gerety Awards,2025,WORK FOR GOOD CUT ,StutterCa,Canadian Stuttering Association,john st,PRINT (OUTDOOR),CAMPAIGN,Shortlist,https://www.geretyawards.com/winners/2025/entry/177410/stutter-ca-canadian-stuttering-association
Gerety Awards,2025,WORK FOR GOOD CUT ,Sugarcane Vinyl,BACARDI,BBDO New York,PRODUCT & PACKAGING DESIGN,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/187663/sugarcane-vinyl-bacard
Gerety Awards,2025,WORK FOR GOOD CUT ,Tennessee Sound Sites,Tennessee Department of Tourist Development,VML Kansas City,DIGITAL,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/187131/tennessee-sound-sites-tennessee-department-of-tourist-development
Gerety Awards,2025,WORK FOR GOOD CUT ,The Ad No Man Saw,24/7 Emergency Room of the Hamburg Womens Shelters,Grabarz & Partner,PRINT (PRESS),SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/186668/the-ad-no-man-saw-24-7-emergency-room-of-the-hamburg-women-s-shelters
Gerety Awards,2025,WORK FOR GOOD CUT ,The Ad No Man Saw,24/7 Emergency Room of the Hamburg Womens Shelters,Grabarz & Partner,ALTERNATIVE,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/186667/the-ad-no-man-saw-24-7-emergency-room-of-the-hamburg-women-s-shelters
Gerety Awards,2025,WORK FOR GOOD CUT ,The Black Dog(s),Seconde Chance,BETC,DIGITAL,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/187275/the-black-dog-s-seconde-chance
Gerety Awards,2025,WORK FOR GOOD CUT ,The Unofficial Discipline,ottobock,PRESENCE,PRINT (OUTDOOR),CAMPAIGN,Shortlist,https://www.geretyawards.com/winners/2025/entry/180273/the-unofficial-discipline-ottobock
Gerety Awards,2025,WORK FOR GOOD CUT ,The Wash Less Project,Whirlpool,VML Italy,PRODUCT & PACKAGING DESIGN,SINGLE,Shortlist,https://www.geretyawards.com/winners/2025/entry/186395/the-wash-less-project-whirlpool
Gerety Awards,2025,WORK FOR GOOD CUT ,The big shake up,Aktion Deutschland Hilft eV (Alliance of German Aid Organisations),Havas Germany,,INTEGRATED,Shortlist,https://www.geretyawards.com/winners/2025/entry/175403/the-big-shake-up-aktion-deutschland-hilft-e-v-alliance-of-german-aid-organisations
