Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Eurobest,2022,CONSUMER GOODS,THE SPIDER AND THE WINDOW,SAMSUNG ELECTRONICS GMBH,LEO BURNETT,Consumer Goods,Grand Prix,https://ascentialcdn.filespin.io/api/v1/storyboard/65034c44fd7843ddbe0fc626c2fd0613/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,UBER EATS - THE AD-JACKING,UBER EATS,BUZZMAN,Use of Film,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/ea79383fa98d4931b8222c529e67645c/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,WHEN HARRY MET SANTA,THE NORWEGIAN POSTAL SERVICE - POL,POL,Corporate Purpose & Social Responsibility,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/dcc32d4c69cf4e43b492a6617e4b4845/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,THE LAST PHOTO,CALM X ITV,adam&eveDDB,Corporate Purpose & Social Responsibility,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/2c7a75102a4a416eb81ef3b5092de929/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,THE UMBILICAL CORD,EQUAL PAY DAY,MORTIERBRIGADE,Not-for-profit & Charity & Government,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/d4d26a42c059446e9604ed06c1ba7642/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,THE SPIDER AND THE WINDOW,SAMSUNG ELECTRONICS GMBH,LEO BURNETT,Consumer Goods,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/65034c44fd7843ddbe0fc626c2fd0613/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,DISCOVER THE ORIGINALS,VISIT SWEDEN,FORSMAN & BODENFORS,Travel Leisure Retail Restaurants & Fast Food Chains,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/bb2b63a9b15a45cf9a60cad460cb3ec9/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,CHEERS TO ALL FANS,HEINEKEN,PUBLICIS ITALY,Social Behaviour,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/4f1e9d83b06f4814a3224e0cb020e1cc/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,THE UMBILICAL CORD,EQUAL PAY DAY,MORTIERBRIGADE,Cultural Insight,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/d4d26a42c059446e9604ed06c1ba7642/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,THE LAST PHOTO,CALM X ITV,adam&eveDDB,Cultural Insight,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/2c7a75102a4a416eb81ef3b5092de929/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,FOREVER FANS,CARLSBERG,WORTH YOUR WHILE AGENCY,Consumer Goods,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/a105887e5b254255af5a2f1c1681ac0b/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,AN UNLIKELY FRIENDSHIP,PRIME VIDEO,CYW,Media & Entertainment,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/96be5fad9d15490dbdb782e9b5803d6a/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,MONDAY ON A SATURDAY,FINNNO,MORGENSTERN,Consumer Services & Business to Business,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/85f93f8fa6c644a5a40fa0f83a423712/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,MONDAY ON A SUNDAY,FINNNO,MORGENSTERN,Consumer Services & Business to Business,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/2e6616e24a1e4133aa6c266a79558ee6/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,MONDAY IN BED,FINNNO,MORGENSTERN,Consumer Services & Business to Business,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/1c667b69e4dc4e33ba6272da10d1c9dc/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,THE WORLD IS SICK,DOCTORS WITHOUT BORDERS,MARCEL,Not-for-profit & Charity & Government,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/7b0240843ed9444d8d9ef85c706c9511/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,THE LIFE COLLECTION 2022,IKEA,TRY AS,Consumer Goods,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/bba0c41d69544d418233f55a48a3e68d/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,THE WISH,PENNY,SERVICEPLAN,Travel Leisure Retail Restaurants & Fast Food Chains,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/84dd7162c6b84ca8a52f65f992bb9591/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,THE TAVERN,ACTIVISION BLIZZARD,INGO,Media & Entertainment,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/b020bbc4e5a0426aa0d57517d0f52771/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,LAND OF THE UNFREE,AMNESTY INTERNATIONAL,ANORAK,Not-for-profit & Charity & Government,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/2002030e78a54d779beb8514192a22a2/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,HAPPY BIRTHDAY FROM EARTH,HUSQVARNA,PRIME WEBER SHANDWICK,Social Film,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/913ecfe68df64829bee3eac309ee5224/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,RENAULT - THE STORE,RENAULT,PUBLICIS CONSEIL,Single-market Campaign,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/dd575ad716b9435d95e1dfb8592a2bda/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,NOWDAYS,NOWDAYS,AKQA,Cultural Insight,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/46e6501718cc49a3ae2aac320e6c79fb/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,CHEERS TO ALL FANS,HEINEKEN,PUBLICIS ITALY,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/4f1e9d83b06f4814a3224e0cb020e1cc/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,JOIN THE FLIP SIDE,SAMSUNG,WIEDENKENNEDY AMSTERDAM,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/46afe9e1abca49379ca0f01dfb4e0566/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,OODYSSEY,RECKITT BENCKISER,BETC,Healthcare,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/8a03ac27adce4b7a99210638bccd1321/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,THE WISH,PENNY,SERVICEPLAN,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/4863055ba0114c6aa09ee46914a4cb26/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,ROCKY,LADBROKES,LADBROKES,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/5e5e383814af438abd3757820c537b0d/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,UBER EATS - THE AD-JACKING,UBER EATS,BUZZMAN,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/ea79383fa98d4931b8222c529e67645c/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,NEIGHBOURS,WHAT3WORDS,NEVERLAND,Consumer Services & Business to Business,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/73e9fa2b6c4c4a5b931b8f5d93be44b3/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,THE LAST 10 METERS,AWSR - BELGIAN ROAD SAFETY,AIR BRUSSELS,Not-for-profit & Charity & Government,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/4ee2a8ea5f34470ab41dfb0d54351c9a/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,LOVE STORY,VOLVO,FORSMAN & BODENFORS,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/2307986a2b2c49c5aa7714bd63f2eca4/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,FUTURE 2021,MERCEDES BENZ,ANORAK FILM GMBH,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/62f935de103e4284bdc3bcf911d7a488/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,NOWDAYS,NOWDAYS,AKQA,Healthcare,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/46e6501718cc49a3ae2aac320e6c79fb/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,FIGURE OF SPEECHES,SPOTIFY,MARCEL,Media & Entertainment,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/14d6041e4693444c81e43f609de0bfab/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,DYING LIFE DOES THAT,TRANSMISSIO,ROSA,Consumer Services & Business to Business,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/683fde2c2b2447bfb1a4aa20dd2bd933/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,PHIL HEAD OF FINANCE,ORANGE CYBERDEFENSE,HAVAS PARIS,Consumer Services & Business to Business,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/464929f10db742458f16eaba737a4a04/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,CLICK,DOCTORS WITHOUT BORDERS,THE UNICORN,Not-for-profit & Charity & Government,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/d4fb7a98e35843d7a8ba935e8c1bf163/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,A COW NAMED BERNARD,OXFAM,JOGA,Not-for-profit & Charity & Government,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/d0ceb40113234ce69e1e933f3cd5e29e/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,HOLD ME CLOSE,CANCER SOCIETY,KING,Not-for-profit & Charity & Government,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/68bea9e324654bb2a3bc32753df9b224/storyboard_000008.jpg
Eurobest,2022,CONSUMER GOODS,SEX IS FOR EVERY BODY,THE SWEDISH DISABILITY RIGHTS FEDERATION & THE SWEDISH ASSOCIATION FOR SEXUALITY,M&C SAATCHI,Not-for-profit & Charity & Government,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/4ebddb2529ab45628dfad4c03d489b10/storyboard_000008.jpg
