Festival,Year,Track,Category,Title,Agency,Network,Holding,Country,Company,Brand,Product,Producer,Award,Board image
FIAP,2025,Formatos,Desarrollo Tecnologico,Tim Block Pin,BETC Havas,Havas Creative,Havas,Brasil,Tim Telecom,Tim Telecom,Institucional,Zaine Filmes,Gold
FIAP,2025,Formatos,Cortos,La Mancha Invisible,BETC Havas,Havas Creative,Havas,Brasil,Reckitt,Vanish,Concienciacion Sobre El Bullying,Lobo,Gold
FIAP,2025,Formatos,Evento en Vivo o Hibrido,The Kimberly Price,Fahrenheit DDB,DDB Worldwide,Omnicom,Peru,Supermercados Peruanos,Plaza Vea,Plaza Vea,Canica Films,Gold
FIAP,2025,Formatos,Live Experience,Le Golle,Mccann Worldgroup,Mccann Worldgroup,IPG,Costa Rica,Gollo,Gollo,Gollo,N-A,Gold
FIAP,2025,Formatos,Mejor Uso de Influencer en Cualquier Plataforma,Un Contenido Muy Poco Normal,Publicis Dominicana,Publicis Worldwide,Publicis Groupe,Republica Dominicana,Banco BHD,Banco BHD,Segmento Mujer BHD,N-A,Gold
FIAP,2025,Produccion,Tecnicas de Produccion Audiovisual - Fotografia,Good Max,La Despensa,Agencia Independiente,Agencia Independiente,España,Fundacion Sant Joan De Deu,Fundacion Sant Joan De Deu,Recaudacion Para La Investigacion Del Cancer Infantil,Antiestatico,Gold
FIAP,2025,Formatos,Social Content,Community King,BBA,Agencia Independiente,Agencia Independiente,Ecuador,Burger King,Burger King,Burger King,Fabryca,Gold
FIAP,2025,Formatos,Contenido con Mejor Estrategia Digital,Pete Zahat,BBA,Agencia Independiente,Agencia Independiente,Ecuador,Pizza Hut,Pizza Hut,Pizza Hut,Fabryca,Gold
FIAP,2025,Formatos,Branded Content Integrado a Otras Plataformas,Un Contenido Muy Poco Normal,Publicis Dominicana,Publicis Worldwide,Publicis Groupe,Republica Dominicana,Banco BHD,Banco BHD,Segmento Mujer BHD,N-A,Gold
FIAP,2025,Formatos,Mejor Uso de Ambient Media,Nescafe Decaf Billboards,Star5 Creative Inc,Ogilvy,WPP,Panama,Nestle,Nescafe,Cafe Descafeinado,VFX,Gold
FIAP,2025,Innovacion,Innovacion en Outdoor-Via Publica-Ambient,Nescafe Decaf Billboards,Star5 Creative Inc,Ogilvy,WPP,Panama,Nestle,Nescafe,Cafe Descafeinado,VFX,Gold
FIAP,2025,Formatos,Estudiantes,Mayo Leaks,Bendita Carpeta,Estudiantes,Estudiantes,Colombia,Hellmann´S,Hellmann´S,Hellmann´S,N-A,Gold
FIAP,2025,Innovacion,Uso de Inteligencia Artificial,Samsung Impulse,Cheil,Cheil Worldwide,Cheil,España,Samsung Electronics Iberia,Samsung,Galaxy Watch,Somos5,Gold
FIAP,2025,Formatos,Via Publica,Nescafe Decaf Billboards,Star5 Creative Inc,Ogilvy,WPP,Panama,Nestle,Nescafe,Cafe Descafeinado,VFX,Gold
FIAP,2025,Innovacion,Estudiantes,Styled To Stay,Brother,Estudiantes,Estudiantes,Uruguay,Ikea,Ikea,Styled To Stay,N-A,Gold
FIAP,2025,Formatos,Cortos,Lentes Del Alma,BETC Havas,Havas Creative,Havas,Brasil,Tim Telecom,Tim Telecom,Institucional,Santeria,Silver
FIAP,2025,Anuncios,Television - Cine - Digital - Imagen Corporativa,Ignora Responsablemente,VML,VML,WPP,Argentina,Telefonica,Movistar,Movistar,Landia,Silver
FIAP,2025,Formatos,Estudiantes,Complete With Imagination,Bendita Carpeta,Estudiantes,Estudiantes,Colombia,Lego,Lego,Lego,N-A,Silver
FIAP,2025,Produccion,Tecnicas de Produccion de Plataformas Digitales-Redes Sociales,The Test List,Tombrasniña,Tombrasniña,Tombrasniña,Argentina,Grupo Omint,Grupo Omint,Medicina Prepaga,Warner Music,Silver
FIAP,2025,Formatos,Mejor Uso de Influencer en Cualquier Plataforma,Lost Names,Conill Advertising,Saatchi & Saatchi,Publicis Groupe,Usa,Toyota Motor North America USA Inc,Toyota,Toyota,Jaw Productions,Silver
FIAP,2025,Formatos,Mejor Uso de Influencer en Cualquier Plataforma,Undeleted,VML,VML,WPP,Argentina,Unilever,Dove,Desodorante,Mama Hungara,Silver
FIAP,2025,Formatos,Evento en Vivo o Hibrido,Undeleted,VML,VML,WPP,Argentina,Unilever,Dove,Desodorante,Mama Hungara,Silver
FIAP,2025,Anuncios,Creatividad Efectiva - Aporte Cultural y-o Multicultural,Undeleted,VML,VML,WPP,Argentina,Unilever,Dove,Desodorante,Mama Hungara,Silver
FIAP,2025,Anuncios,Transformacion Social - Empresas Privadas,Undeleted,VML,VML,WPP,Argentina,Unilever,Dove,Desodorante,Mama Hungara,Silver
FIAP,2025,Formatos,Desarrollo Tecnologico,Game Guardian,VML,VML,WPP,Argentina,Telefonica,Movistar,Telecomunicaciones,Ladoble,Silver
FIAP,2025,Innovacion,Innovacion en Gaming y Entretenimiento,Game Guardian,VML,VML,WPP,Argentina,Telefonica,Movistar,Telecomunicaciones,Ladoble,Silver
FIAP,2025,Innovacion,Uso de Inteligencia Artificial,Game Guardian,VML,VML,WPP,Argentina,Telefonica,Movistar,Telecomunicaciones,Ladoble,Silver
FIAP,2025,Anuncios,Transformacion Social - Empresas Privadas,Game Guardian,VML,VML,WPP,Argentina,Telefonica,Movistar,Telecomunicaciones,Ladoble,Silver
FIAP,2025,Formatos,Branded Content Integrado a Otras Plataformas,The Cheapest Transfers,Teran,Tbwa Worldwide,Omnicom,Mexico,Bodega Aurrera,Bodega Aurrera,Bodega Aurrera,N-A,Silver
