Festival,Year,Track,Track slug,Title,Brand,Agency,Category,Award,Board image,Entry URL,Permalink
Spikes Asia,2026,Direct,direct,EK TARA,TITAN EYE PLUS,OGILVY,Small-Scale Media,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/9e2408599a22494a916b326351754a5b?quality=85&format=webp,https://www.lovethework.com/work/entries/ek-tara-773100,/awards/spikes_asia/2026/campaigns/ek-tara-titan-eye-plus-ogilvy-2026-3/
Spikes Asia,2026,Direct,direct,VOICE WANTED,KOREAN NATIONAL POLICE AGENCY,CHEIL WORLDWIDE,Use of Print/Outdoor,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/bd059023116b4a5f9df7543361684fc8?quality=85&format=webp,https://www.lovethework.com/work/entries/voice-wanted-769658,/awards/spikes_asia/2026/campaigns/voice-wanted-korean-national-police-agency-cheil-worldwide-2026-3/
Spikes Asia,2026,Direct,direct,SLEEPLESS CONTROLLER,DREWELL,DENTSU INC.,Corporate Purpose & Social Responsibility,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/fd3701c4fc06476f91bca05cb3a3bcee?quality=85&format=webp,https://www.lovethework.com/work/entries/sleepless-controller-769694,/awards/spikes_asia/2026/campaigns/sleepless-controller-drewell-dentsu-inc-2026-2/
Spikes Asia,2026,Direct,direct,PATROL. IT'S OUT THERE.,NISSAN,TBWA\MELBOURNE,Use of Social Platforms,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/7970afb4b6654a119c1905d18fd0626d?quality=85&format=webp,https://www.lovethework.com/work/entries/patrol-its-out-there-773085,/awards/spikes_asia/2026/campaigns/patrol-its-out-there-nissan-tbwamelbourne-2026-2/
Spikes Asia,2026,Direct,direct,RIDE THE BULDAK HIGH,BULDAK,SAMYANGFOODS,Use of Humour,Submitted,https://ascentialcdn.filespin.io/api/v1/storyboard/44e74ff76c29409cb1dc098824287782/storyboard_000008.jpg?quality=85&format=webp,https://www.lovethework.com/work/entries/ride-the-buldak-high-770463,/awards/spikes_asia/2026/campaigns/ride-the-buldak-high-buldak-samyangfoods-2026/
Spikes Asia,2026,Direct,direct,THE RECYCLING RETHINK,PEPSI,SPECIAL,Consumer Goods,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/b274ab59bc944bc3a02b5258b0418288?quality=85&format=webp,https://www.lovethework.com/work/entries/the-recycling-rethink-770586,/awards/spikes_asia/2026/campaigns/the-recycling-rethink-pepsi-special-2026-3/
Spikes Asia,2026,Direct,direct,THE NAGA SAINT EYE TEST,EYEBETES FOUNDATION,GODREJ CREATIVE LAB,Not-for-profit / Charity / Government,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/8ccb115332db4b298d72aa9ae698ed64?quality=85&format=webp,https://www.lovethework.com/work/entries/the-naga-saint-eye-test-769748,/awards/spikes_asia/2026/campaigns/the-naga-saint-eye-test-eyebetes-foundation-godrej-creative-lab-2026-2/
Spikes Asia,2026,Direct,direct,THE MĀORI ROLL CALL,WHĀNAU ORA,MOTION SICKNESS,Cultural Engagement,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/9a9784eb394a41a380f2fa24dbf7dc49?quality=85&format=webp,https://www.lovethework.com/work/entries/the-mori-roll-call-770494,/awards/spikes_asia/2026/campaigns/the-maori-roll-call-whanau-ora-motion-sickness-2026-2/
Spikes Asia,2026,Direct,direct,THE GREAT GRANIPH CHARACTER HUNT,GRANIPH,DENTSU INC.,Single-market Campaign,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/de4aa042b6a74d5a8050650c49e39e44?quality=85&format=webp,https://www.lovethework.com/work/entries/the-great-graniph-character-hunt-770958,/awards/spikes_asia/2026/campaigns/the-great-graniph-character-hunt-graniph-dentsu-inc-2026-2/
Spikes Asia,2026,Direct,direct,KFC’S JAW-DROP CHALLENGE,KFC,DENTSU CREATIVE TAIWAN,Use of Mobile,Submitted,https://ascentialcdn.filespin.io/api/v1/conversion/e1f392d84f4f4a64bc3a947d532556d2?quality=85&format=webp,https://www.lovethework.com/work/entries/kfcs-jaw-drop-challenge-769711,/awards/spikes_asia/2026/campaigns/kfcs-jaw-drop-challenge-kfc-dentsu-creative-taiwan-2026-2/
