Festival,Year,Track,Title,Brand,Agency,Category,Country,Award
El Ojo de Iberoamérica,2025,PRODUCCIÓN AUDIOVISUAL,The Shooting,Artículo 19Diario La Unión de Artículo 19 / Diario La Unión,Grey México,Corrección de color,México,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN AUDIOVISUAL,When you’re not here,Whirpool de Whirlpool México,VML México,Corrección de color,México,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN AUDIOVISUAL,Aeroméxico hermanos,Aeroméxico de Aeroméxico,Ogilvy México,Edición,México,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN AUDIOVISUAL,Maxxx Bold,MAXXX Energy de FIFCO Costa Rica,Grey México,Edición,Costa Rica,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN AUDIOVISUAL,Savannah’s fight,Huggies de Huggies Estados Unidos,Leo Burnett Estados Unidos,Edición,Estados Unidos,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN AUDIOVISUAL,Senna’s Cut,Netflix de Netflix Argentina,Monks (Argentina),Edición,Argentina,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN AUDIOVISUAL,The Shooting,Artículo 19Diario La Unión de Artículo 19 / Diario La Unión,Grey México,Edición,México,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN AUDIOVISUAL,Todo brillo,TV Globo de TV Globo,TV Globo (Brasil),Edición,Brasil,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,Aeromexicanos,Aeroméxico de Aeroméxico,Ogilvy México,Uso de música original,México,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,Aeroméxico hermanos,Aeroméxico de Aeroméxico,Ogilvy México,Uso de música original,México,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,IRADOH. 3 acts of brotherhood,Kondzilla de Kondzilla,Africa Creative (Brasil),Uso de música original,Brasil,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,When you’re not here,Whirpool de Whirlpool México,VML México,Uso de música original,México,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,Casa de vidrio,O Boticário de Grupo Boticário,Almap BBDO (Brasil),Música adaptada,Brasil,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,El himno de Colombia interpretado por biodiversidad.,SURA de SURA,McCann Worldgroup Colombia,Música adaptada,Colombia,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,Juntos a la par,Volkswagen de Lestido,Avisa (Uruguay),Música adaptada,Uruguay,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,La búsqueda,Bradesco Seguros de Bradesco Seguros,Almap BBDO (Brasil),Música adaptada,Brasil,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,The Shooting,Artículo 19Diario La Unión de Artículo 19 / Diario La Unión,Grey México,Música adaptada,México,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,The snowball,Safe Project de Safe Project,FCB Health (Estados Unidos),Música adaptada,Estados Unidos,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,A taste worth more,Stella Artois de Stella Artois,GUT Buenos Aires (Argentina),Diseño y efectos de sonido,Argentina,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,Aeromexicanos,Aeroméxico de Aeroméxico,Ogilvy México,Diseño y efectos de sonido,México,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,Aeroméxico hermanos,Aeroméxico de Aeroméxico,Ogilvy México,Diseño y efectos de sonido,México,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,Cementos,Cementos Progreso de Cementos Progreso,Sapiens Group (Guatemala),Diseño y efectos de sonido,Guatemala,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,Flaming grill radio,Burger King de Burger King Colombia,Proximity BBDO Colombia (Colombia) / Sancho BBDO (Colombia),Diseño y efectos de sonido,Colombia,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,Gavião Kyikatejê,Kyikatejê de Kyikatejê FC,Area 23 (Estados Unidos),Diseño y efectos de sonido,Brasil,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,Get Germany on LinkedIn,LinkedIn de LinkedIn,Philipp und Keuntje GmbH (Otro),Diseño y efectos de sonido,Brasil,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,IRADOH. 3 acts of brotherhood,Kondzilla de Kondzilla,Africa Creative (Brasil),Diseño y efectos de sonido,Brasil,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,Make some noise,Ruffles de PepsiCo Mexico,Slap Global (Argentina),Diseño y efectos de sonido,México,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,Pepsi Black,Pepsi de GEPP Mexico,BBDO México,Diseño y efectos de sonido,México,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,The Shooting,Artículo 19Diario La Unión de Artículo 19 / Diario La Unión,Grey México,Diseño y efectos de sonido,México,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,When you’re not here,Whirpool de Whirlpool México,VML México,Diseño y efectos de sonido,México,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,Flaming grill radio,Burger King de Burger King Colombia,Proximity BBDO Colombia / Sancho BBDO (Colombia),Branding sonoro,Colombia,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,Abogados,Consejo Profesional de Agrimensura de CPA,From (Uruguay),Guion,Argentina,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,Celebraciones legendarias,Cusqueña de AB InBev Perú,Leo Lima (Perú),Guion,Perú,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN DE AUDIO & SONIDO,Cold activated announcers,Coors Light de Molson Coors Beverage Company,Alma DDB (Estados Unidos),Guion,Estados Unidos,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN GRÁFICA,Detrás de cada letra,Alfa de Farmacias Similares México,TERAN TBWA\ (México),Mejor Copy,México,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN GRÁFICA,Nigrum corpus,IDOMEDInstituto Yduqs de IDOMED,Artplan (Brasil),Mejor Copy,Brasil,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN GRÁFICA,Aeropostales,Aeropostale de Liverpool,D14S (México),Mejor Dirección de Arte,México,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN GRÁFICA,Coca-Cola ya en Foster´s Hollywood,Foster’s Hollywood de Foster’s Hollywood,McCann España,Mejor Dirección de Arte,España,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN GRÁFICA,Nigrum corpus,IDOMEDInstituto Yduqs de IDOMED,Artplan (Brasil),Mejor Dirección de Arte,Brasil,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN GRÁFICA,Esto no es vivir en paz,Techo de Techo Paraguay,Oniria\TBWA (Paraguay),Mejor Fotografía original,Paraguay,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN GRÁFICA,Lomiteros after hours,Burger King de Grupo AJ Vierci,Garabato MullenLowe (Paraguay),Mejor Fotografía original,Paraguay,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN GRÁFICA,Proyecto 4270,Banco de Chile de Banco de Chile,BBDO Chile,Mejor Fotografía original,Chile,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN GRÁFICA,The shooting – Corner,Artículo 19Diario La Unión de Artículo 19 / Diario La Unión,Grey México,Mejor Fotografía original,México,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN GRÁFICA,The shooting – Print,Artículo 19Diario La Unión de Artículo 19 / Diario La Unión,Grey México,Mejor Fotografía original,México,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN GRÁFICA,The shooting – Window,Artículo 19Diario La Unión de Artículo 19 / Diario La Unión,Grey México,Mejor Fotografía original,México,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN GRÁFICA,Hyperreal tastes better,Burger King de Burger King Chile,Wolf BCPP (Chile),Mejor Ilustración,Chile,Shortlist
El Ojo de Iberoamérica,2025,PRODUCCIÓN GRÁFICA,Nigrum corpus,IDOMEDInstituto Yduqs de IDOMED,Artplan (Brasil),Mejor Ilustración,Brasil,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Anti Murphy´s law toast,Enterogermina de Opella Brasil,MRM Spain,Medicamentos de venta libre,Brasil,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Dorflex placas,Dorflex de Opella Brasil,Publicis Brasil (Brasil) / Media Monks (Brasil) LiveMode Brasil (Brasil) Spark Brasil (Brasil),Medicamentos de venta libre,Brasil,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Primer tratamiento oral,Servier de Daflon España,TBS (España),Medicamentos de venta libre,España,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Dunskin’ care,Dunkin’ de Dunkin’ Chile,theplan. (Chile),Productos para el cuidado personal la salud y el bienestar,Chile,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Limpa placas,Sensodyne de Haleon Brasil,Publicis Leon (Brasil),Productos para el cuidado personal la salud y el bienestar,Brasil,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Sex socks,Today Condoms de Haleon Colombia,Digitas Colombia,Productos para el cuidado personal la salud y el bienestar,Colombia,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Unbelievably long lasting,Old Spice de Procter & Gamble España,Burns The Agency (España),Productos para el cuidado personal la salud y el bienestar,España,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Agencia,SP por Todas de Governo do Estado de São Paulo,DPZ (Brasil),Uso de la tecnología y soluciones tecnológicas,Brasil,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Design your sleep while you sleep,IKEA Family de IKEA España,MRM Spain,Uso de la tecnología y soluciones tecnológicas,España,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,No frame missed,iPhone de Apple Estados Unidos,TBWA\ Media Arts Lab Miami (Estados Unidos),Uso de la tecnología y soluciones tecnológicas,Estados Unidos,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,The mind guardian,Samsung de Samsung España,Cheil España,Uso de la tecnología y soluciones tecnológicas,España,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,47,Café Joyeux de Café Joyeux,Klick Health Brasil,Campañas de concientización de marcas no relacionadas a la Salud,Estados Unidos,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Depressed bedrooms,Casaideas de Casaideas Perú,Boost Brand Accelerator (Perú),Campañas de concientización de marcas no relacionadas a la Salud,Perú,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Design your sleep while you sleep,IKEA Family de IKEA España,MRM Spain,Campañas de concientización de marcas no relacionadas a la Salud,España,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Good shit,PETA de PETA Global,SAMY España,Campañas de concientización de marcas no relacionadas a la Salud,España,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,KFC sunscreen,KFC de KFC Costa Rica,Havas Costa Rica,Campañas de concientización de marcas no relacionadas a la Salud,Costa Rica,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,La mancha invisible,Vanish de Reckitt,BETC HAVAS (Brasil),Campañas de concientización de marcas no relacionadas a la Salud,Brasil,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Relación tóxica,Vivo de Telefónica Brasil,Africa Creative (Brasil),Campañas de concientización de marcas no relacionadas a la Salud,Brasil,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,The mind guardian,Samsung de Samsung España,Cheil España,Campañas de concientización de marcas no relacionadas a la Salud,España,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,When you’re not here,Whirlpool de Whirlpool México,VML México,Campañas de concientización de marcas no relacionadas a la Salud,México,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Anti Murphy´s law toast,Enterogermina de Opella Brasil,MRM Spain,Campañas de concientización de marcas de la Industria de la Salud,Brasil,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,BALI – Biological Age Life Insurance,Hispana Seguros de Hispana Seguros,Maruri Ecuador,Campañas de concientización de marcas de la Industria de la Salud,Ecuador,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Drygiene project,Opella de Opella México,MRM Mexico / McCann Worldgroup México,Campañas de concientización de marcas de la Industria de la Salud,México,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Me feat. Me,Nosotras de Essity Chile,DDB Chile,Campañas de concientización de marcas de la Industria de la Salud,Chile,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Sex socks,Today Condoms de Haleon Colombia,Digitas Colombia,Campañas de concientización de marcas de la Industria de la Salud,Colombia,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Watch your balls,Veris de Veris,Delta MullenLowe (Ecuador),Campañas de concientización de marcas de la Industria de la Salud,Ecuador,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,18 months,Second Nurture de Second Nurture,Klick Health Brasil,Educación y concientización de marcas de Bien Público,Estados Unidos,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Don’t stop motion,CENABAST de Gobierno de Chile,VML Chile (Chile),Educación y concientización de marcas de Bien Público,Chile,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Escape room soledad,Fundación La Caixa de Fundación La Caixa,Manifiesto (España),Educación y concientización de marcas de Bien Público,España,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Freetestyler,Por un Perú sin cáncer de Por Un Perú Sin Cáncer,VML Perú,Educación y concientización de marcas de Bien Público,Perú,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Mi primera carta,Gobierno de Pernambuco de Gobierno de Pernambuco,Propeg (Brasil),Educación y concientización de marcas de Bien Público,Brasil,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Sticky habits,Unicef de Unicef Colombia,Findasense Colombia,Educación y concientización de marcas de Bien Público,Colombia,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,El viaje de Gaspar,Casa de luz de Fundación Casa Familia,LOCA Santiago (Chile),Campañas y acciones de instituciones de salud,Chile,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,En el momento de la verdad,OSDE de OSDE,Zurda Agency (Argentina),Campañas y acciones de instituciones de salud,Argentina,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Report this ad,Veris de Veris,Paradais DDB (Ecuador),Campañas y acciones de instituciones de salud,Ecuador,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,BALI – Biological Age Life Insurance,Hispana Seguros de Hispana Seguros,Maruri Ecuador,Campañas y acciones de servicios relacionadas al Bienestar,Ecuador,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Glowing relief,Alivia Health de Alivia Health,De la Cruz/ Ogilvy (Puerto Rico),Uso de la tecnología y soluciones tecnológicas,Puerto Rico,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,Voice 2 diabetes,KVI Brave Fund de KVI Brave Fund INC,Klick Health Brasil,Uso de la tecnología y soluciones tecnológicas,Estados Unidos,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,El 7 mujeres,MSD de MSD Colombia,McCann Worldgroup Colombia (Colombia),Campañas y acciones de concientización sobre enfermedades,Colombia,Shortlist
El Ojo de Iberoamérica,2025,SALUD & PHARMA,The world’s largest lost & found,Pfizer de Pfizer Estados Unidos,Publicis Health (Estados Unidos),Campañas y acciones de concientización sobre enfermedades,Estados Unidos,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,2 minutos 4 segundos,Villavicencio de Aguas de Origen,Digitas Buenos Aires (Argentina),Ambiente y sustentabilidad,Argentina,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,Back home,Imperial de FIFCO Costa Rica,«Joystick FIFCO (Costa Rica)»,Ambiente y sustentabilidad,Costa Rica,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,El himno de Colombia interpretado por biodiversidad.,SURA de SURA,McCann Worldgroup Colombia,Ambiente y sustentabilidad,Colombia,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,Preowned,IKEA de IKEA España,McCann España,Ambiente y sustentabilidad,España,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,Re-commerce Atacama,VtexDesierto Vestido de Vtex Brasil,Artplan (Brasil),Ambiente y sustentabilidad,Brasil,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,Cebadas,Ab Inbev de AB InBev Uruguay,WILD FI (Uruguay),Social & Salud,Uruguay,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,Depressed bedrooms,Casaideas de Casaideas Perú,Boost Brand Accelerator (Perú),Social & Salud,Perú,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,No sé si abortar o no,Sarape Ipas Latinoamérica y el Caribe (Ipas LAC) de Sarape Group / Ipas LAC,Sarape Group (México),Social & Salud,México,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,Report this ad,Veris de Veris,Paradais DDB (Ecuador),Social & Salud,Ecuador,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,Formación diferente,Yape de Banco de Crédito del Perú,121 Latam (Perú),Género y diversidad,Perú,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,Me feat. Me,Nosotras de Essity Chile,DDB Chile,Género y diversidad,Chile,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,Nigrum corpus,IDOMEDInstituto Yduqs de IDOMED,Artplan (Brasil),Género y diversidad,Brasil,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,No women no car,Nissan de Nissan Mexicana,Edelman México,Género y diversidad,México,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,Black card,Athletico Paranaense de Clube Athletico Paranaense,Tif Comunicação (Brasil),Inclusión integración y no discriminación,Brasil,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,Reforma de vida,Solv Construtora de Solv,CDR+ (Brasil),Inclusión integración y no discriminación,Brasil,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,Depressed bedrooms,Casaideas de Casaideas Perú,Boost Brand Accelerator (Perú),Marca local y mercado específico,Perú,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,Reforma de vida,Solv Construtora de Solv,CDR+ (Brasil),Marca local y mercado específico,Brasil,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,The rewards bag,TaTa de Grupo De Narvaez,VML Uruguay,Marca local y mercado específico,Uruguay,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,The shooting – Film,Artículo 19Diario La Unión de Artículo 19 / Diario La Unión,Grey México,Marca local y mercado específico,México,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,Small talks,Salud por derecho de Fundación Salud por Derecho,McCann España,Ambiente y sustentabilidad,España,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,Escape room soledad,Fundación La Caixa de Fundación La Caixa,Manifiesto (España),Social y salud,España,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,La cena de los jubilados,Amnistía Internacional de Amnistía Internacional Argentina,Rapp Argentina,Social y salud,Argentina,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,Mi primera carta,Gobierno de Pernambuco de Gobierno de Pernambuco,Propeg (Brasil),Social y salud,Brasil,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,Sticky habits,Unicef de Unicef Colombia,Findasense Colombia,Social y salud,Colombia,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,Sugar Doggies,Voz Animal de Voz Animal,Potro Lima (Perú),Social y salud,Perú,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,Habitaciones que no callan,Movimiento de Valientes Latinoamérica de Movimiento de Valientes Latinoamérica,Publicidad Comercial MullenLowe El Salvador / MullenLowe SSP3 Colombia,Marca local y mercado específico,Colombia,Shortlist
El Ojo de Iberoamérica,2025,SUSTENTABLE,Sugar Doggies,Voz Animal de Voz Animal,Potro Lima (Perú),Marca local y mercado específico,Perú,Shortlist
