Festival,Year,Track,Title,Brand,Agency,Category,Country,Award,Permalink
El Ojo de Iberoamerica,2025,PR,Back home,Imperial de FIFCO Costa Rica,Joystick FIFCO (Costa Rica),Ideas de Iberoamerica con relevancia internacional,Costa Rica,Shortlist,/awards/el_ojo/2025/campaigns/back-home-imperial-de-fifco-costa-rica-joystick-fifco-costa-rica-2025-3/
El Ojo de Iberoamerica,2025,PR,Back home,Imperial de FIFCO Costa Rica,Joystick FIFCO (Costa Rica),Tecnologia,Costa Rica,Shortlist,/awards/el_ojo/2025/campaigns/back-home-imperial-de-fifco-costa-rica-joystick-fifco-costa-rica-2025-4/
El Ojo de Iberoamerica,2025,PR,Back home,Imperial de FIFCO Costa Rica,Joystick FIFCO (Costa Rica),Innovacion sostenible,Costa Rica,Shortlist,/awards/el_ojo/2025/campaigns/back-home-imperial-de-fifco-costa-rica-joystick-fifco-costa-rica-2025-5/
El Ojo de Iberoamerica,2025,PR,Pay it forward,Indio de Heineken Mexico,Ogilvy Mexico,Comercio integrado,Mexico,Shortlist,/awards/el_ojo/2025/campaigns/pay-it-forward-indio-de-heineken-mexico-ogilvy-mexico-2025/
El Ojo de Iberoamerica,2025,PR,El lazo de Petra,iPhone de Apple ALAC/Mexico,TBWA\ Media Arts Lab Miami ,Productos,Mexico,Shortlist,/awards/el_ojo/2025/campaigns/el-lazo-de-petra-iphone-de-apple-alacmexico-tbwa-media-arts-lab-miami-2025-4/
El Ojo de Iberoamerica,2025,PR,El lazo de Petra,iPhone de Apple ALAC/Mexico,TBWA\ Media Arts Lab Miami ,Branded Content,Mexico,Shortlist,/awards/el_ojo/2025/campaigns/el-lazo-de-petra-iphone-de-apple-alacmexico-tbwa-media-arts-lab-miami-2025-5/
El Ojo de Iberoamerica,2025,PR,No frame missed,iPhone de Apple Estados Unidos,TBWA\ Media Arts Lab Miami ,Innovacion inclusiva,Estados Unidos,Shortlist,/awards/el_ojo/2025/campaigns/no-frame-missed-iphone-de-apple-estados-unidos-tbwa-media-arts-lab-miami-2025-6/
El Ojo de Iberoamerica,2025,PR,No frame missed,iPhone de Apple Estados Unidos,TBWA\ Media Arts Lab Miami ,Ideas creadas para una marca,Estados Unidos,Shortlist,/awards/el_ojo/2025/campaigns/no-frame-missed-iphone-de-apple-estados-unidos-tbwa-media-arts-lab-miami-2025-7/
El Ojo de Iberoamerica,2025,PR,Cartas de Simone,Itau de Itau Unibanco Brasil,Atenas.ag (Brasil) / Africa Creative (Brasil),Eventos y patrocinios,Brasil,Shortlist,/awards/el_ojo/2025/campaigns/cartas-de-simone-itau-de-itau-unibanco-brasil-atenasag-brasil-africa-creative-brasil-2025/
El Ojo de Iberoamerica,2025,PR,Cartas de Simone,Itau de Itau Unibanco Brasil,Africa Creative / Atenas.ag,Acciones de comunicacion y reputacion corporativa,Brasil,Shortlist,/awards/el_ojo/2025/campaigns/cartas-de-simone-itau-de-itau-unibanco-brasil-africa-creative-atenasag-2025-3/
