Festival,Year,Track,Category,Agency,Network,Holding,Title,Country,Company,Brand,Product,Producer,Award,Permalink
FIAP,2024,Formatos,Mejor Uso de Ambient Media,Mullenlowe Delta,MullenLowe Group,IPG,Catch the referee,Ecuador,Diners Club del Ecuador,Discover,Cashback,Bang Motion Films,BRONCE,/awards/fiap/2024/campaigns/catch-the-referee-discover-mullenlowe-delta-2024-3/
FIAP,2024,Formatos,Mejor Uso de Ambient Media,Mullenlowe Delta,MullenLowe Group,IPG,Spot the red flags,Ecuador,AB InBev,Pilsener,Pilsener,Bang - The Others,BRONCE,/awards/fiap/2024/campaigns/spot-the-red-flags-pilsener-mullenlowe-delta-2024-7/
FIAP,2024,Formatos,Salud,MRM Spain,McCann Worldgroup,IPG,Fashion Cramps,Espana,Buscopan Sanofi,Buscopan,Buscopan,,BRONCE,/awards/fiap/2024/campaigns/fashion-cramps-buscopan-mrm-spain-2024-2/
FIAP,2024,Formatos,Estudiantes,Miami Ad School Mexico,,,Polyreaders,Mexico,Spotify,Spotify,Audiolibros,Estudiante,BRONCE,/awards/fiap/2024/campaigns/polyreaders-spotify-miami-ad-school-mexico-2024-2/
FIAP,2024,Formatos,Uso de Inteligencia Artificial,Made Mexico,Independientes,Independientes,Trailers Tumbados,Mexico,Grupo Cinemex,Cinemex,Cinemex,Made,BRONCE,/awards/fiap/2024/campaigns/trailers-tumbados-cinemex-made-mexico-2024-2/
FIAP,2024,Formatos,Music Content,Made Mexico,Independientes,Independientes,Trailers Tumbados,Mexico,Grupo Cinemex,Cinemex,Cinemex,Made,BRONCE,/awards/fiap/2024/campaigns/trailers-tumbados-cinemex-made-mexico-2024-3/
FIAP,2024,Formatos,Mejor Uso de Influencer en cualquier plataforma,LLYC,Independientes,Independientes,Paseadores de Ninos,Mexico,Multiopticas,Multiopticas,Optica,Matrimonio,BRONCE,/awards/fiap/2024/campaigns/paseadores-de-ninos-multiopticas-llyc-2024-2/
FIAP,2024,Formatos,Live Experience,JSD Agency,Independientes,Independientes,La Casa del Horror at House of Phobia,Puerto Rico,WINDMAR HOME,WINDMAR HOME,WINDMAR HOME,X Studios,BRONCE,/awards/fiap/2024/campaigns/la-casa-del-horror-at-house-of-phobia-windmar-home-jsd-agency-2024/
FIAP,2024,Formatos,Live Experience,Gloss,Independientes,Independientes,Mesas inesperadas,Argentina,INBEV Argentina,Stella Artois,Stella Artois,Bermuda Creative,BRONCE,/awards/fiap/2024/campaigns/mesas-inesperadas-stella-artois-gloss-2024/
FIAP,2024,Formatos,Mejor Uso de Ambient Media,Fahrenheit DDB,DDB Worldwide,Omnicom,Rent your sunset,Peru,AB InBev,Corona,Corona,Fahrenheit Content,BRONCE,/awards/fiap/2024/campaigns/rent-your-sunset-corona-fahrenheit-ddb-2024-2/
FIAP,2024,Formatos,Social Content,DO Marketing digital SAS,Independientes,Independientes,El gimnasio del despecho,Colombia,BHB GYM,BHB GYM,Abierto a todos los planes del gimnasio,DO Marketing digital SAS,BRONCE,/awards/fiap/2024/campaigns/el-gimnasio-del-despecho-bhb-gym-do-marketing-digital-sas-2024/
FIAP,2024,Formatos,Salud,Conill Advertising,Saatchi Saatchi,Publicis Groupe,Therapy Rings,USA,MINDY,MINDY,Terapia,PARANA FILMS,BRONCE,/awards/fiap/2024/campaigns/therapy-rings-mindy-conill-advertising-2024/
FIAP,2024,Formatos,Cortos,Casanova-McCann,McCann Worldgroup,IPG,Traductores la historia aun no contada de los ninos que dan voz a una generacion,USA,US Bank,US Bank,US Bank,,BRONCE,/awards/fiap/2024/campaigns/traductores-la-historia-aun-no-contada-de-los-ninos-que-dan-voz-a-una-generacion-us-bank-casanova-mccann-2024/
FIAP,2024,Formatos,Estudiantes,Brother,,,Changing the game,Uruguay,World Wildlife Fund,World Wildlife Fund,Donaciones a la fundacion,,BRONCE,/awards/fiap/2024/campaigns/changing-the-game-world-wildlife-fund-brother-2024/
FIAP,2024,Formatos,Branded Content - Programa de Entretenimiento,BETC Havas,Havas Creative,HAVAS,Credito en los Creditos,Brasil,Santander,Santander,Credito,O2 Filmes,BRONCE,/awards/fiap/2024/campaigns/credito-en-los-creditos-santander-betc-havas-2024/
FIAP,2024,Formatos,Mejor Uso de Influencer en cualquier plataforma,Badillo SaatchiSaatchi,Publicis Worldwide,Publicis Groupe,Jose Feliciano El primer instructor de manejo ciego,Puerto Rico,Toyota Dealers Association,Toyota,Safety Sense Technology,Latitude 18,BRONCE,/awards/fiap/2024/campaigns/jose-feliciano-el-primer-instructor-de-manejo-ciego-toyota-badillo-saatchisaatchi-2024-2/
FIAP,2024,Formatos,Via Publica,Amen McCann,McCann Worldgroup,IPG,Operacion Graffiti,Uruguay,Oceano FM,Oceano FM,Institucional,Eadweard,BRONCE,/awards/fiap/2024/campaigns/operacion-graffiti-oceano-fm-amen-mccann-2024-2/
FIAP,2024,Formatos,Online Video,Amarillo Creative Lab,Independientes,Independientes,Bancolombia - Crees que tu mama podria notar si tus mensajes los escribio ChatGPT,Venezuela,Grupo Bancolombia,Bancolombia,Bancolombia,Diip Colombia,BRONCE,/awards/fiap/2024/campaigns/bancolombia-crees-que-tu-mama-podria-notar-si-tus-mensajes-los-escribio-chatgpt-bancolombia-amarillo-creative-lab-2024/
FIAP,2024,Formatos,Salud,Alma,DDB Worldwide,Omnicom,Late,USA,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Central Films,BRONCE,/awards/fiap/2024/campaigns/late-memorial-sloan-kettering-cancer-center-alma-2024-4/
FIAP,2024,Formatos,Branded Content integrado a otras plataformas,Mullenlowe Delta,MullenLowe Group,IPG,Taste palette,Ecuador,Diners Club del Ecuador,Diners Club,Institucional branding,Filmeikers - Estudio Luna Lunares - Otto Films,BRONCE,/awards/fiap/2024/campaigns/taste-palette-diners-club-mullenlowe-delta-2024-2/
