Festival,Year,Track,Category,Agency,Network,Holding,Title,Country,Company,Brand,Product,Producer,Award
FIAP,2024,Formatos,Contenido con mejor estrategia digital,Republica Digital,Independientes,Independientes,Upside Down Island ft Fornite,Mexico,American Dairy Queen,Dairy Queen Mexico,Helados,Woznics,BRONCE
FIAP,2024,Formatos,Branded Content integrado a otras plataformas,Publicidad Comercial MullenLowe,MullenLowe Group,IPG,Manuales para Sobrevivir,El Salvador,Fundacion Humanos por Humanos,manualesparasobrevivirorg,manualesparasobrevivirorg,Simple Society- Garage Films,BRONCE
FIAP,2024,Formatos,Mejor Uso de Influencer en cualquier plataforma,Mullenlowe Delta,MullenLowe Group,IPG,Owners code,Ecuador,Tesalia-CBC,Pepsi,Pepsi,Mullen Lowe Delta,BRONCE
FIAP,2024,Formatos,Mejor Uso de Ambient Media,Mullenlowe Delta,MullenLowe Group,IPG,Catch the referee,Ecuador,Diners Club del Ecuador,Discover,Cashback,Bang Motion Films,BRONCE
FIAP,2024,Formatos,Mejor Uso de Ambient Media,Mullenlowe Delta,MullenLowe Group,IPG,Spot the red flags,Ecuador,AB InBev,Pilsener,Pilsener,Bang - The Others,BRONCE
FIAP,2024,Formatos,Salud,MRM Spain,McCann Worldgroup,IPG,Fashion Cramps,Espana,Buscopan Sanofi,Buscopan,Buscopan,,BRONCE
FIAP,2024,Formatos,Estudiantes,Miami Ad School Mexico,,,Polyreaders,Mexico,Spotify,Spotify,Audiolibros,Estudiante,BRONCE
FIAP,2024,Formatos,Uso de Inteligencia Artificial,Made Mexico,Independientes,Independientes,Trailers Tumbados,Mexico,Grupo Cinemex,Cinemex,Cinemex,Made,BRONCE
FIAP,2024,Formatos,Music Content,Made Mexico,Independientes,Independientes,Trailers Tumbados,Mexico,Grupo Cinemex,Cinemex,Cinemex,Made,BRONCE
FIAP,2024,Formatos,Mejor Uso de Influencer en cualquier plataforma,LLYC,Independientes,Independientes,Paseadores de Ninos,Mexico,Multiopticas,Multiopticas,Optica,Matrimonio,BRONCE
FIAP,2024,Formatos,Live Experience,JSD Agency,Independientes,Independientes,La Casa del Horror at House of Phobia,Puerto Rico,WINDMAR HOME,WINDMAR HOME,WINDMAR HOME,X Studios,BRONCE
FIAP,2024,Formatos,Live Experience,Gloss,Independientes,Independientes,Mesas inesperadas,Argentina,INBEV Argentina,Stella Artois,Stella Artois,Bermuda Creative,BRONCE
FIAP,2024,Formatos,Mejor Uso de Ambient Media,Fahrenheit DDB,DDB Worldwide,Omnicom,Rent your sunset,Peru,AB InBev,Corona,Corona,Fahrenheit Content,BRONCE
FIAP,2024,Formatos,Social Content,DO Marketing digital SAS,Independientes,Independientes,El gimnasio del despecho,Colombia,BHB GYM,BHB GYM,Abierto a todos los planes del gimnasio,DO Marketing digital SAS,BRONCE
FIAP,2024,Formatos,Salud,Conill Advertising,Saatchi Saatchi,Publicis Groupe,Therapy Rings,USA,MINDY,MINDY,Terapia,PARANA FILMS,BRONCE
FIAP,2024,Formatos,Cortos,Casanova-McCann,McCann Worldgroup,IPG,Traductores la historia aun no contada de los ninos que dan voz a una generacion,USA,US Bank,US Bank,US Bank,,BRONCE
FIAP,2024,Formatos,Estudiantes,Brother,,,Changing the game,Uruguay,World Wildlife Fund,World Wildlife Fund,Donaciones a la fundacion,,BRONCE
FIAP,2024,Formatos,Branded Content - Programa de Entretenimiento,BETC Havas,Havas Creative,HAVAS,Credito en los Creditos,Brasil,Santander,Santander,Credito,O2 Filmes,BRONCE
FIAP,2024,Formatos,Mejor Uso de Influencer en cualquier plataforma,Badillo SaatchiSaatchi,Publicis Worldwide,Publicis Groupe,Jose Feliciano El primer instructor de manejo ciego,Puerto Rico,Toyota Dealers Association,Toyota,Safety Sense Technology,Latitude 18,BRONCE
FIAP,2024,Formatos,Via Publica,Amen McCann,McCann Worldgroup,IPG,Operacion Graffiti,Uruguay,Oceano FM,Oceano FM,Institucional,Eadweard,BRONCE
FIAP,2024,Formatos,Online Video,Amarillo Creative Lab,Independientes,Independientes,Bancolombia - Crees que tu mama podria notar si tus mensajes los escribio ChatGPT,Venezuela,Grupo Bancolombia,Bancolombia,Bancolombia,Diip Colombia,BRONCE
FIAP,2024,Formatos,Salud,Alma,DDB Worldwide,Omnicom,Late,USA,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Central Films,BRONCE
FIAP,2024,Formatos,Branded Content integrado a otras plataformas,Mullenlowe Delta,MullenLowe Group,IPG,Taste palette,Ecuador,Diners Club del Ecuador,Diners Club,Institucional branding,Filmeikers - Estudio Luna Lunares - Otto Films,BRONCE
FIAP,2024,Formatos,Social Content,Mullenlowe Delta,MullenLowe Group,IPG,PilsEnner,Ecuador,AB InBev,Pilsener,Pilsener,MullenLowe Delta,BRONCE
FIAP,2024,Innovacion,Estudiantes,Bendita Carpeta,,,Heinz lycopene makeup,Chile,HEINZ,HEINZ,HEINZ Lycopene Makeup,,SHORTLIST
FIAP,2024,Innovacion,Estudiantes,Miami Ad School Mexico,,,Sounds Of Nature,Mexico,Spotify,Spotify,Spotify,,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Activaciones,Joystick FIFCO,Independientes,Independientes,Bailesco,Costa Rica,FIFCO,Bamboo,Bamboo,Kaiju Creators,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Activaciones,Buentipo Anchor,Independientes,Independientes,Beer Card,Colombia,AB InBev,Club Colombia,Club Colombia,Macarena,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Activaciones,El Taier DDB Centro,DDB Worldwide,Omnicom,Corona River of Change,Guatemala,Corona,Corona,Corona,Corona Studios - Antoine Janseen,SHORTLIST
FIAP,2024,Produccion,Bajo costo de produccion,Fosbury Latam,Grupo P,Grupo P,aDOGtion Posters,Peru,Agrovet,Atrevia,Tabletas Masticables Antipulgas,Fosbury,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Eventos-Experiencia,Joystick FIFCO,Independientes,Independientes,Bailesco,Costa Rica,FIFCO,Bamboo,Bamboo,Kaiju Creators,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Eventos-Experiencia,Lupe,Grupo Texo,Grupo Texo,El asadito mas largo,Paraguay,AmBev,Pilsen,Cerveza,El Bagre,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Eventos-Experiencia,Globant Gut,Gut,Globant,Pringles Diamond,Mexico,kellanova,Pringles,Pringles,Gato,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Gaming y Entretenimiento,Republica Digital,Independientes,Independientes,Upside Down Island ft Fornite,Mexico,American Dairy Queen,Dairy Queen Mexico,Helados,Woznics,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Marketing Directo,Buentipo Anchor,Independientes,Independientes,Beer Card,Colombia,AB InBev,Club Colombia,Club Colombia,Macarena,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Marketing Directo,MediaMonks,S4 Capital,S4 Capital,In the Zone,Argentina,Adidas - Mercado Libre,Adidas,Portafolio Adidas,MediaMonks,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Marketing Directo,Publicidad Comercial MullenLowe,MullenLowe Group,IPG,Manuales para Sobrevivir,El Salvador,Fundacion Humanos por Humanos,manualesparasobrevivirorg,manualesparasobrevivirorg,Simple Society- Garage Films,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Marketing Directo,RosadoToledo,Independientes,Independientes,Ponlo en tu Calendario,Puerto Rico,Triple-S,Triple-S,Fundacion Triple-S,RosadoToledo Contactica,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Marketing Directo,El Taier DDB Centro,DDB Worldwide,Omnicom,Smart Legacy,Guatemala,If then Inc,Smart Legacy,Smart Legacy,Filmico - BBQ Media,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Mobile,Fire Creative,Independientes,Independientes,Baby Rusi,Puerto Rico,Sonar Music Division de artistas emergentes de Rimas Music,Hades 66,AK Rusi,Fire Creative,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Mobile,Mullenlowe Delta,MullenLowe Group,IPG,Drunken codes,Ecuador,AB InBev,TADA APP,Delivery de Bebidas frias,Pulpo,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Mobile,MediaMonks,S4 Capital,S4 Capital,In the Zone,Argentina,Adidas - Mercado Libre,Adidas,Portafolio Adidas,MediaMonks,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Musica,Fire Creative,Independientes,Independientes,Baby Rusi,Puerto Rico,Sonar Music Division de artistas emergentes de Rimas Music,Hades 66,AK Rusi,Fire Creative,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Musica,BETC Havas,Havas Creative,HAVAS,Feel Everything,Brasil,Reckitt,Olla,Olla Senses condom,Stink Films,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Outdoor-Via publica-Ambient,Independiente Panama,Independientes,Independientes,Banner Humano,Panama,Panafoto,Panafoto,Black Week,Tiempo Real - Anonymous,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Outdoor-Via publica-Ambient,Amen McCann,McCann Worldgroup,IPG,Operacion Graffiti,Uruguay,Oceano FM,Oceano FM,Institucional,Eadweard,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Outdoor-Via publica-Ambient,Santuario Napkin,Napkin Creative,Napkin Creative,Presiente,Ecuador,Corporacion Favorita,Mall de los Andes,Mall de los Andes,Napkin,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Outdoor-Via publica-Ambient,McCann San Jose,McCann Worldgroup,IPG,The billboard you shouldnt be able to read but you can,Costa Rica,Gollo,Gollo Motors,Gollo Motors,FulFierros,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Outdoor-Via publica-Ambient,Bombai Ecuador,Independientes,Independientes,The great break in the sky,Ecuador,Nestle Ecuador,Nestle,Kit Kat,Karnada,SHORTLIST
FIAP,2024,Innovacion,Innovacion en plataformas digitales,McCann Erickson,McCann Worldgroup,IPG,Entrenadores de Inconformismo,Espana,CaixaBank,CaixaBank,Financiero,Landed Content,SHORTLIST
FIAP,2024,Innovacion,Innovacion en PR,Lopito Ileana Howie,Independientes,Independientes,Cuidemos las Tetas,Puerto Rico,Sociedad Americana Contra El Cancer,Sociedad Americana Contra El Cancer,Cancer de Seno,Norstrom,SHORTLIST
FIAP,2024,Innovacion,Innovacion en PR,Joystick FIFCO,Independientes,Independientes,Jugadas Perdidas,Costa Rica,FIFCO,Imperial,Imperial Cero,Kaiju Creators,SHORTLIST
FIAP,2024,Innovacion,Innovacion en PR,Castillo de If,Independientes,Independientes,Monumentos a la Corrupcion,Guatemala,Help International,Help International,Help International,Castillo de If,SHORTLIST
FIAP,2024,Innovacion,Innovacion en PR,LLYC,Independientes,Independientes,Paseadores de Ninos,Espana,Multiopticas,Multiopticas,Optica,Matrimonio,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Radio,Mullenlowe Delta,MullenLowe Group,IPG,In the voice of the farmers,Ecuador,Banco Pichincha,Banco Pichincha,Creditos para agricultura,Fletcher Munson,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Redes Sociales,Soulnet LLC,Independientes,Independientes,Bacardi Nicknames Campaign - Muchos nombres un solo Bacardi,USA,Bacardi,Bacardi,Bacardi Carta Blanca- Edicion Apodos,Soulnet LLC,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Redes Sociales,Team Remoto,Independientes,Independientes,Content Hub - Mas de 100 contenidos creados por usuarios en un dia,USA,Bancolombia,Bancolombia,Redes Sociales Bancolombia,Team Remoto,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Redes Sociales,La doblevida - Colours,Independientes,Independientes,Nada mas mexicano,Mexico,Casa Lumbre,Ojo de Tigre- Tequila Defrente,Ojo de Tigre- Tequila Defrente,VDM,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Redes Sociales,LLYC,Independientes,Independientes,Paseadores de Ninos,Espana,Multiopticas,Multiopticas,Optica,Matrimonio,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Redes Sociales,Concept McCann,McCann Worldgroup,IPG,Simpletv Hot Pack,Venezuela,Simpletv,Simpletv,Hot Pack,Concept McCann,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Television,BETC Havas,Havas Creative,HAVAS,Credito en los Creditos,Brasil,Santander,Santander,Credito,O2 Filmes,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Television,RosadoToledo,Independientes,Independientes,Elijo Estar Contigo,Puerto Rico,Triple-S,Triple-S,Triple-S Advantage,RosadoToledo,SHORTLIST
FIAP,2024,Innovacion,New Business-Nuevos Negocios,El Taier DDB Centro,DDB Worldwide,Omnicom,Smart Legacy,Guatemala,Ifthen Inc,Smart Legacy,Smart Legacy,Filmico - BBQ Media,SHORTLIST
FIAP,2024,Innovacion,Salud,Publicidad Comercial MullenLowe,MullenLowe Group,IPG,Manuales para Sobrevivir,El Salvador,Fundacion Humanos por Humanos,manualesparasobrevivirorg,manualesparasobrevivirorg,Simple Society- Garage Films,SHORTLIST
FIAP,2024,Innovacion,Salud,Conill Advertising,Saatchi Saatchi,Publicis Groupe,Therapy Rings,USA,MINDY,MINDY,Terapia,Parana Films,SHORTLIST
FIAP,2024,Innovacion,Uso de Inteligencia Artificial,Digitas,Publicis Worldwide,Publicis Groupe,Captura La Noche,Chile,Samsung,Samsung,Samsung S23,Quijote,SHORTLIST
FIAP,2024,Innovacion,Uso de Inteligencia Artificial,Buentipo Anchor,Independientes,Independientes,La mama perfecta,Colombia,KIMBERLY CLARCK,HUGGIES,HUGGIES DIA DE LAS MADRES,MACARENA,SHORTLIST
FIAP,2024,Innovacion,Uso de Inteligencia Artificial,Gloss,Independientes,Independientes,Mesas inesperadas,Argentina,INBEV Argentina,Stella Artois,Stella Artois,Bermuda Creative,SHORTLIST
FIAP,2024,Anuncios,Radio - Campanas Productos - Servicios - Corporativas,Zubi Advertising,VML,WPP,The Undercover Names,USA,The CLEO Institute,The CLEO Institute,The CLEO Institute,Indiehouse,SHORTLIST
FIAP,2024,Anuncios,Television - Cine - Digital - Campanas Bien Publico,Lopez Negrete Communcations,Independientes,Independientes,Las Cosas de La Edad,USA,Ad Council,Alzheimers Association,Alzheimers Association,Zuma 4,SHORTLIST
FIAP,2024,Anuncios,Creatividad Efectiva - Aporte Cultural y-o Multicultural,Lopez Negrete Communcations,Independientes,Independientes,Las Cosas de La Edad,USA,Ad Council - Alzheimers Association,Alzheimers Awareness,Alzheimers Awareness,Zuma 4,SHORTLIST
FIAP,2024,Anuncios,Television - Cine - Digital - Automoviles,Lopez Negrete Communcations,Independientes,Independientes,Viejos Cuentos,USA,Hyundai USA,IONIQ,IONIQ 5 6,Canada,SHORTLIST
FIAP,2024,Anuncios,Television - Cine - Digital - Bien Publico,La Caseta,Independientes,Independientes,38 Momentos,Espana,Partido Popular de Sevilla,Partido Popular de Sevilla,Dia Internacional de la Eliminacion de la Violencia contra la Mujer,La Caseta,SHORTLIST
FIAP,2024,Anuncios,Mejor Uso de la Cultura Local,Casanova-McCann,McCann Worldgroup,IPG,Esas no eran historias,USA,Activision-Blizzard,Blizzard,Diablo IV,Letca Films,SHORTLIST
FIAP,2024,Anuncios,Television - Cine - Digital - Negocios al publico,Publicidad Comercial MullenLowe Guatemala,MullenLowe Group,IPG,Cerca siempre,Guatemala,Super 24 tiendas de conveniencia,Super 24,Super 24,El Studio Films,SHORTLIST
FIAP,2024,Anuncios,Mejor Uso de la Cultura Local,McCann San Jose,McCann Worldgroup,IPG,The billboard you shouldnt be able to read but you can,Costa Rica,Gollo,Gollo Motors,Gollo Motors,FulFierros,SHORTLIST
FIAP,2024,Produccion,Tecnicas de Produccion Grafica - Ilustracion,Made Brasil,Independientes,Independientes,30 of the truth,Brasil,Somos Todas Marias,Somos Todas Marias,Violence against women feminicide,Studiorama,SHORTLIST
FIAP,2024,Anuncios,Transformacion Social - Empresa Privada,El Taier DDB Centro,DDB Worldwide,Omnicom,Corona River of Change,Guatemala,Corona,Corona,Corona,Corona Studios - Antoine Janseen,SHORTLIST
FIAP,2024,Anuncios,Television - Cine - Digital - Bancos - Financieras,El Taier DDB Centro,DDB Worldwide,Omnicom,Goool,Guatemala,Banco Industrial,Banco Industrial,Tarjetas de credito,Whisky,SHORTLIST
FIAP,2024,Anuncios,Television - Cine - Digital - Automoviles,Conill Advertising,Saatchi Saatchi,Publicis Groupe,Arrivals,USA,Toyota Motor North America USA Inc,TOYOTA,BRAND,PrettyBird,SHORTLIST
FIAP,2024,Anuncios,Mejor Uso de la Cultura Local,Mullenlowe Delta,MullenLowe Group,IPG,Barcelonistas de nacimiento,Ecuador,AB InBev,Pilsener,Pilsener,Lumina Film House,SHORTLIST
FIAP,2024,Anuncios,Via Publica - Productos,Mullenlowe Delta,MullenLowe Group,IPG,Se dice La Tri,Ecuador,AB InBev,Pilsener,Pilsener,Status Quo,SHORTLIST
FIAP,2024,Anuncios,New Business-Nuevos Negocios,Mullenlowe Delta,MullenLowe Group,IPG,It s not myth it s real,Ecuador,Pycca,Pycca,Tienda en linea,Dunn,SHORTLIST
FIAP,2024,Anuncios,Radio - Bancos - Financieras,Mullenlowe Delta,MullenLowe Group,IPG,In the voice of the farmers,Ecuador,Banco Pichincha,Banco Pichincha,Creditos para agricultura,Fletcher Munson,SHORTLIST
FIAP,2024,Innovacion,Innovacion en Activaciones,Valor,Independientes,Independientes,La camiseta humana,Peru,Apuesta Total,Apuesta Total,Casino y Entretenimiento,Florida,SHORTLIST
FIAP,2024,Anuncios,Creatividad Efectiva - Aporte Cultural y-o Multicultural,Casanova-McCann,McCann Worldgroup,IPG,Esas no eran historias,USA,Activision-Blizzard,Blizzard,Diablo IV,Letca Films,SHORTLIST
FIAP,2024,Anuncios,Grafica - Negocios al publico,God,Independientes,Independientes,Adoption is timeless,Ecuador,Grupo Pycca,PetStation,PetStation,God,SHORTLIST
FIAP,2024,Anuncios,Mejor Uso de la Cultura Local,Made Mexico,Independientes,Independientes,Trailers Tumbados,Mexico,Grupo Cinemex,Cinemex,Cinemex,Made,SHORTLIST
FIAP,2024,Anuncios,Radio - Bancos - Financieras,TBWA - Riot,TBWA Worldwide,Omnicom,De golpe un gran problema,Guatemala,Aseguradora General,Aseguradora General,Gen - Auto,Chuck Lee Studios,SHORTLIST
FIAP,2024,Anuncios,Campanas Integrales,Initiative,Mediabrands,IPG,Falatoquers,Chile,FALABELLA,FALABELLA,FALABELLA,INJAUS Agencia interna,SHORTLIST
FIAP,2024,Anuncios,Radio - Automoviles,Sajo--McCann,McCann Worldgroup,IPG,Delivery,Puerto Rico,Mercedes-Benz - Garage Isla Verde,Mercedes-Benz,Sprinter,Minnette Morales,SHORTLIST
FIAP,2024,Anuncios,Radio - Automoviles,Sajo--McCann,McCann Worldgroup,IPG,Plomero,Puerto Rico,Mercedes-Benz - Garage Isla Verde,Mercedes-Benz,Sprinter,Minnette Morales,SHORTLIST
FIAP,2024,Anuncios,Radio - Automoviles,Sajo--McCann,McCann Worldgroup,IPG,Dog Groomer,Puerto Rico,Mercedes-Benz - Garage Isla Verde,Mercedes-Benz,Sprinter,Minnette Morales,SHORTLIST
