Festival,Year,Track,Category,Agency,Network,Holding,Title,Country,Brand,Producer,Award
FIAP,2023,Innovacion,Innovacion en Tecnologia,Cheil Worldwide,Cheil,CHEIL,Samsung Unfear,Espana,Samsung Espana,Somos 5,Oro
FIAP,2023,Innovacion,Estudiantes,The Pub School,Escuela,INDEPENDIENTE,CelebriTales AI,Ecuador,Spotify,,Oro
FIAP,2023,Innovacion,Innovacion en campanas sobre sostenibilidad,AlmapBBDO,BBDO Worldwide,OMNICOM,Eart4,Brasil,United Nations Global Compact B3 Stock Exchange,AlmapBBDO - RAW Audio,Oro
FIAP,2023,Innovacion,Innovacion en Marketing Directo,GREY,AKQA Group-GREY,WPP,Stickers Salvavidas,Colombia,Makro Colombia,Townhouse - Whiskey,Oro
FIAP,2023,Innovacion,Innovacion en Mobile,Dentsu Creative Argentina,Dentsu Group Inc,DENTSU GROUP,Scrolling Therapy,Argentina,Eurofarma,Dentsu Creative Brasil,Oro
FIAP,2023,Innovacion,Innovacion en PR,BESO by LLYC,Independientes,INDEPENDIENTE,Sopa de Senas,Mexico,Grupo La Moderna,Resident Films,Oro
FIAP,2023,Innovacion,Innovacion en Radio,Havas GURISA,Havas Creative,HAVAS,Podes comprarte una radio,Uruguay,Loterias y Quinielas del Uruguay,Cien Fuegos,Oro
FIAP,2023,Innovacion,Salud,Dentsu Creative Argentina,Dentsu Group Inc,DENTSU GROUP,Scrolling Therapy,Argentina,Eurofarma,Dentsu Creative Brasil,Oro
FIAP,2023,Innovacion,Innovacion en Gaming y Entretenimiento,Fahrenheit DDB,DDB Worldwide,OMNICOM,E-nterpreters Season 2,Peru,AB InBev,Fahrenheit Content,Oro
FIAP,2023,Innovacion,Estudiantes,Bendita Carpeta,Escuela,INDEPENDIENTE,Behind the Draw,Colombia,Google,,Plata
FIAP,2023,Innovacion,Innovacion en Gaming y Entretenimiento,From,Independientes,INDEPENDIENTE,The Uncrashable Tucson,Uruguay,Hyundai Fidocar,Soy Simo,Plata
FIAP,2023,Innovacion,Innovacion en Marketing Directo,Wunderman Thompson Argentina,Wunderman Thompson,WPP,Shoppable Armpits,Argentina,Unilever,Waldenstudioco,Plata
FIAP,2023,Innovacion,Innovacion en Mobile,Fahrenheit DDB,DDB Worldwide,OMNICOM,Redesigning for E-nclusion,Peru,Supermercados Peruanos,Quechua Films,Plata
FIAP,2023,Innovacion,Innovacion en Mobile,Cheil Worldwide,Cheil,CHEIL,Samsung Unfear,Espana,Samsung Espana,Somos 5,Plata
FIAP,2023,Innovacion,Innovacion en Musica,Archer Troy,Independientes,INDEPENDIENTE,Corrido of Duty,Mexico,Activision Blizzard,Rebolucion,Plata
FIAP,2023,Innovacion,Innovacion en Outdoor-Via publica-Ambient,Le Pub Brasil,Publicis Worldwide,PUBLICIS GROUPE,Solar Billboards,Brasil,Grupo Heineken,MOE - Be180,Plata
FIAP,2023,Innovacion,Innovacion en plataformas digitales,WMcCann,McCann Worldgroup,IPG,Harassment Advisory,Brasil,LOreal Paris,Craft Brasil,Plata
FIAP,2023,Innovacion,Innovacion en Redes Sociales,Wunderman Thompson Argentina,Wunderman Thompson,WPP,Shoppable Armpits,Argentina,Unilever,Waldenstudioco,Plata
FIAP,2023,Innovacion,Innovacion en Tecnologia,Dentsu Creative Argentina,Dentsu Group Inc,DENTSU GROUP,Scrolling Therapy,Argentina,Eurofarma,Dentsu Creative Brasil,Plata
FIAP,2023,Innovacion,Salud,VMLYR Puerto Rico,VMLYR,WPP,Jingle Therapy,Puerto Rico,Asociacion de Alzheimer de PR,VMLYR inhouse,Plata
FIAP,2023,Innovacion,Estudiantes,Bendita Carpeta,Escuela,INDEPENDIENTE,Twinkle Little Dogs,Mexico,Mars,,Bronce
FIAP,2023,Innovacion,Estudiantes,Bendita carpeta,Escuela,INDEPENDIENTE,Uninjured Steps,Venezuela,Asics,,Bronce
FIAP,2023,Innovacion,Innovacion en campanas sobre sostenibilidad,De La Cruz - Ogilvy,Ogilvy,WPP,Reusables,Puerto Rico,SuperMax,Unicorn Games,Bronce
FIAP,2023,Innovacion,Innovacion en Eventos-Experiencia,Le Pub Brasil,Publicis Worldwide,PUBLICIS GROUPE,Game Bars,Brasil,Grupo Heineken,RedDoor,Bronce
FIAP,2023,Innovacion,Advergaming,BETC HAVAS,Havas Creative,HAVAS,PETRA MILK,Brasil,Grupo Petropolis,Merci Studios,Bronce
FIAP,2023,Innovacion,Innovacion en Gaming y Entretenimiento,De La Cruz - Ogilvy,Ogilvy,WPP,Operation Night Mission,Puerto Rico,Burger King,De La Cruz-Ogilvy,Bronce
FIAP,2023,Innovacion,Innovacion en Gaming y Entretenimiento,Dentsu Creative Mexico,Dentsu Group Inc,DENTSU GROUP,V-Land,Mexico,Essity Mexico,Gato Studio,Bronce
FIAP,2023,Innovacion,Innovacion en Gaming y Entretenimiento,SHIFT Porter Novelli,DAS Group of Companies,OMNICOM,BITCentenario The Costa Rica of the Future,Costa Rica,MICROSOFT,SHIFT Porter Novelli Inhouse,Bronce
FIAP,2023,Innovacion,Innovacion en Marketing Directo,De La Cruz - Ogilvy,Ogilvy,WPP,Operation Night Mission,Puerto Rico,Burger King,De La Cruz-Ogilvy,Bronce
FIAP,2023,Innovacion,Innovacion en Marketing Directo,Publicidad Comercial MullenLowe Guatemala,MullenLowe Group,IPG,Whopper Chase,Guatemala,Burger King Guatemala,R7,Bronce
FIAP,2023,Innovacion,Innovacion en Marketing Directo,DON,Independientes,INDEPENDIENTE,Nombres mas simples,Argentina,Newsan SA,ORUGA,Bronce
FIAP,2023,Innovacion,Innovacion en Medios Impresos,Made Mexico,Independientes,INDEPENDIENTE,Stay Alive Owners Manual,Mexico,Jeep,Oriental Films,Bronce
FIAP,2023,Innovacion,Innovacion en Mobile,De La Cruz - Ogilvy,Ogilvy,WPP,Reusables,Puerto Rico,SuperMax,Unicorn Games,Bronce
FIAP,2023,Innovacion,Innovacion en Mobile,Dentsu Creative Mexico,Dentsu Group Inc,DENTSU GROUP,V-Land,Mexico,Essity Mexico,Gato Studio,Bronce
FIAP,2023,Innovacion,Innovacion en Outdoor-Via publica-Ambient,CYW,Independientes,INDEPENDIENTE,EL MURCIELAGO NOS UNE,Espana,HBO Max,,Bronce
FIAP,2023,Innovacion,Innovacion en Outdoor-Via publica-Ambient,From,Independientes,INDEPENDIENTE,Safety Measures,Uruguay,Fundacion Gonzalo Rodriguez,Apa Films,Bronce
FIAP,2023,Innovacion,Innovacion en PR,GREY,AKQA Group-GREY,WPP,Ciudad Corrupcion,Colombia,Publimetro Colombia,Macarena Co,Bronce
FIAP,2023,Innovacion,Innovacion en Redes Sociales,Athos,Independientes,INDEPENDIENTE,Banco de Donantes de Bolivia,Bolivia,Nacional Seguros,Suena Polenta - Photodelica,Bronce
FIAP,2023,Innovacion,Innovacion en Redes Sociales,BeautifulBeast,Independientes,INDEPENDIENTE,Cancelen el Mundial,EE UU,Fundacion Cardiologica Argentina,Roommate Buenos Aires,Bronce
FIAP,2023,Innovacion,Salud,BBA,Independientes,INDEPENDIENTE,Harkay,Ecuador,PepsiCo,Fabryca,Bronce
FIAP,2023,Innovacion,Salud,Made Mexico,Independientes,INDEPENDIENTE,Stay Alive Owners Manual,Mexico,Jeep,Oriental Films,Bronce
FIAP,2023,Innovacion,Innovacion en Eventos-Experiencia,Fahrenheit DDB,DDB Worldwide,OMNICOM,Living Billboard,Peru,AB InBev,Fahrenheit Content,Bronce
FIAP,2023,Innovacion,Innovacion en Marketing Directo,Buentipo Anchor - SEC Newgate,Independientes,INDEPENDIENTE,Hackeando la Espera - Club Colombia,Colombia,AB InBev Colombia - Bavaria,BTFilms,Bronce
FIAP,2023,Innovacion,Innovacion en Outdoor-Via publica-Ambient,Fahrenheit DDB,DDB Worldwide,OMNICOM,Living Billboard,Peru,AB InBev,Fahrenheit Content,Bronce
FIAP,2023,Formatos,Business to Business Channel o Partner Marketing - B2B,AlmapBBDO,BBDO Worldwide,OMNICOM,Eart4,Brasil,United Nations Global Compact B3 Stock Exchange,AlmapBBDO - RAW Audio,Oro
FIAP,2023,Formatos,Estudiantes,Brother,Independientes,INDEPENDIENTE,Uneducated Doors,Peru,Brother Lima Escuela de Creativos,Brother Lima Escuela de Creativos,Oro
FIAP,2023,Formatos,Medios Integrados-Contenido 360,VALOR SOCIOS DE MARCAS,Independientes,INDEPENDIENTE,La mancha,Peru,Kimberly-Clark,KaO Films Content,Oro
FIAP,2023,Formatos,Mejor Campana de Plataforma de Responsabilidad Social,VALOR SOCIOS DE MARCAS,Independientes,INDEPENDIENTE,La Mancha,Peru,Kimberly-Clark,KaO Films Content,Oro
FIAP,2023,Formatos,Mejor Campana de Sostenibilidad,AlmapBBDO,BBDO Worldwide,OMNICOM,Eart4,Brasil,United Nations Global Compact B3 Stock Exchange,AlmapBBDO - RAW Audio,Oro
FIAP,2023,Formatos,Mejor Uso de Influencer en cualquier plataforma,VALOR SOCIOS DE MARCAS,Independientes,INDEPENDIENTE,La Mancha,Peru,Kimberly-Clark,KaO Films Content,Oro
FIAP,2023,Formatos,Music Content,BETC HAVAS,Havas Creative,HAVAS,Salve la Favela,Brasil,KondZilla Records,Santeria - KondZilla Records,Oro
FIAP,2023,Formatos,Salud,VMLYR Puerto Rico,VMLYR,WPP,Jingle Therapy,Puerto Rico,Asociacion de Alzheimer de PR,VMLYR inhouse,Oro
FIAP,2023,Formatos,Estudiantes,The Pub School,Escuela,INDEPENDIENTE,CelebriTales AI,Ecuador,Spotify,,Plata
FIAP,2023,Formatos,Mejor Campana de Plataforma de Responsabilidad Social,LERMA-,Independientes,INDEPENDIENTE,He Gets Us Social Commitment,EE UU,Brand Haven,Ditore Mayo Entertainment - MDS,Plata
FIAP,2023,Formatos,Mejor Campana de Plataforma de Responsabilidad Social,Alma,DDB Worldwide,OMNICOM,Ballots Against Bullets - Survivors,EE UU,Change the Ref,Not Normal Films,Plata
FIAP,2023,Formatos,Mejor Campana de Sostenibilidad,De La Cruz - Ogilvy,Ogilvy,WPP,Reusables,Puerto Rico,SuperMax,Unicorn Games,Plata
FIAP,2023,Formatos,Mejor estrategia de lanzamiento de programa,LERMA-,Independientes,INDEPENDIENTE,He Gets Us Campaign Launch,EE UU,Brand Haven,Ditore Mayo Entertainment - MDS,Plata
FIAP,2023,Formatos,Online Video,Conill,Publicis Worldwide,PUBLICIS GROUPE,The 20 Years Call,EE UU,Metro by T-Mobile,Parana Films,Plata
FIAP,2023,Formatos,Online Video,This is Libre,Independientes,INDEPENDIENTE,La Escalera,Espana,Hijos de Rivera SAU,Landia Films,Plata
FIAP,2023,Formatos,Salud,From,Independientes,INDEPENDIENTE,Safety Measures,Uruguay,Fundacion Gonzalo Rodriguez,Apa Films,Plata
FIAP,2023,Formatos,Via Publica,Prosper,Independientes,INDEPENDIENTE,La Modelo Hackeada,Brasil,Vitoria Apart Hospital,Ponto,Plata
FIAP,2023,Formatos,Via Publica,Alma,DDB Worldwide,OMNICOM,Ballots Against Bullets - Survivors,EE UU,Change the Ref,Not Normal Films,Plata
FIAP,2023,Formatos,Branded Content integrado a otras plataformas,Archer Troy,Independientes,INDEPENDIENTE,Corrido of Duty,Mexico,Activision Blizzard,Rebolucion,Bronce
FIAP,2023,Formatos,Contenido con mejor estrategia digital,End to End,Independientes,INDEPENDIENTE,Pele in the Dictionary,Brasil,sportv,Muevo,Bronce
FIAP,2023,Formatos,Live Experience,MRM Spain,McCann Worldgroup,IPG,Ready Player Mom,Espana,Enterogermina,Sailor Studio,Bronce
FIAP,2023,Formatos,Live Experience,LLYC,Independientes,INDEPENDIENTE,Kolapso Elegir el Manana,Espana,BBK,Berde,Bronce
FIAP,2023,Formatos,Mejor Campana de Plataforma de Responsabilidad Social,BESO by LLYC,Independientes,INDEPENDIENTE,Sopa de Senas,Mexico,Grupo La Moderna,Resident Films,Bronce
FIAP,2023,Formatos,Mejor estrategia de lanzamiento de programa,De La Cruz - Ogilvy,Ogilvy,WPP,Reusables,Puerto Rico,SuperMax,Unicorn Games,Bronce
FIAP,2023,Formatos,Mejor Uso de Ambient Media,Havas Group Peru,Havas Creative,HAVAS,El amor verdadero no mata,Peru,Amnistia Internacional,Havas Group Peru,Bronce
FIAP,2023,Formatos,Mejor Uso de Influencer en cualquier plataforma,Wunderman Thompson Argentina,Wunderman Thompson,WPP,Shoppable Armpits,Argentina,Unilever,Waldenstudioco,Bronce
FIAP,2023,Formatos,Mejor Uso de Influencer en cualquier plataforma,MRM Spain,McCann Worldgroup,IPG,Ready Player Mom,Espana,Enterogermina,Sailor Studio,Bronce
FIAP,2023,Formatos,Music Content,Archer Troy,Independientes,INDEPENDIENTE,Corrido of Duty,Mexico,Activision Blizzard,Rebolucion,Bronce
FIAP,2023,Formatos,Online Video,Joystick FIFCO,Independientes,INDEPENDIENTE,Ustedes ya ganaron,Costa Rica,FIFCO,Atomica Films,Bronce
FIAP,2023,Formatos,Own Media - Video Plataforma - Audio,Buentipo Anchor,Independientes,INDEPENDIENTE,Gennials vs Genero,Colombia,Banco Falabella,Tonka,Bronce
FIAP,2023,Formatos,Product Placement - Entretenimiento,MRM Spain,McCann Worldgroup,IPG,Ready Player Mom,Espana,Enterogermina,Sailor Studio,Bronce
FIAP,2023,Formatos,Product Placement - Entretenimiento,WMcCann,McCann Worldgroup,IPG,Harassment Advisory,Brasil,LOreal Paris,Craft Brasil,Bronce
FIAP,2023,Formatos,Product Placement - Entretenimiento,From,Independientes,INDEPENDIENTE,The Uncrashable Tucson,Uruguay,Hyundai Fidocar,Soy Simo,Bronce
FIAP,2023,Formatos,Product Placement - Ficcion,BLCK CREATIVE INTELLIGENCE STUDIO,Independientes,INDEPENDIENTE,Luis Thunder Heroe del Camino,Mexico,CLARIOS,La Tuna Films,Bronce
FIAP,2023,Formatos,Salud,MRM Spain,McCann Worldgroup,IPG,Ready Player Mom,Espana,Enterogermina,Sailor Studio,Bronce
FIAP,2023,Formatos,Salud,Athos,Independientes,INDEPENDIENTE,Banco de Donantes de Bolivia,Bolivia,Nacional Seguros,Suena Polenta - Photodelica,Bronce
FIAP,2023,Formatos,Social Content,Wunderman Thompson Argentina,Wunderman Thompson,WPP,Shoppable Armpits,Argentina,Unilever,Waldenstudioco,Bronce
FIAP,2023,Formatos,Social Content,BADILLO SAATCHISAATCHI,Publicis Worldwide,PUBLICIS GROUPE,Mi Rey,Puerto Rico,Wendys Puerto Rico,Teremar Bravo,Bronce
FIAP,2023,Anuncios,Creatividad Efectiva - Aporte Cultural y-o Multicultural,Fahrenheit DDB,DDB Worldwide,OMNICOM,Redesigning for E-nclusion,Peru,Supermercados Peruanos,Quechua Films,Oro
FIAP,2023,Anuncios,Creatividad Efectiva - Bien Publico,VALOR SOCIOS DE MARCAS,Independientes,INDEPENDIENTE,La Mancha,Peru,Kimberly-Clark,KaO Films Content,Oro
FIAP,2023,Anuncios,Grafica - Bien Publico,Alma,DDB Worldwide,OMNICOM,Ballots Against Bullets - Survivors,EE UU,Change the Ref,Not Normal Films,Oro
FIAP,2023,Anuncios,Grafica - Campanas Bien Publico,Alma,DDB Worldwide,OMNICOM,Ballots Against Bullets - Survivors,EE UU,Change the Ref,Not Normal Films,Oro
