Festival,Year,Track,Category,Agency,Network,Holding,Title,Country,Brand,Producer,Award
FIAP,2023,Anuncios,Campanas Integrales,Rock and Roll,Independientes,INDEPENDIENTE,Los bolivianos podemos,Bolivia,CBN,Ciclope Studio,Bronce
FIAP,2023,Anuncios,Campanas Integrales,RosadoToledo,Independientes,INDEPENDIENTE,Major League Dominicans,Republica Dominicana,Banco BHD,Up Films Band Keykalu Films RTFilms,Bronce
FIAP,2023,Anuncios,Creatividad Efectiva - Aporte Cultural y-o Multicultural,Agencia SM,Independientes,INDEPENDIENTE,Levis Inmortal,Chile,Levis Strauss Co,Agencia SM,Bronce
FIAP,2023,Anuncios,Creatividad Efectiva - Aporte Cultural y-o Multicultural,End to End,Independientes,INDEPENDIENTE,Pele in the Dictionary,Brasil,SporTV,Muevo,Bronce
FIAP,2023,Anuncios,Creatividad Efectiva - Bien Publico,From,Independientes,INDEPENDIENTE,Diego,Uruguay,AMIA,Metropolis Films,Bronce
FIAP,2023,Anuncios,Estudiantes,Bendita Carpeta,Escuela,INDEPENDIENTE,Twinkle Little Dogs,Mexico,Mars,,Bronce
FIAP,2023,Anuncios,Estudiantes,Bendita Carpeta,Escuela,INDEPENDIENTE,Think in red,Chile,Heinz,,Bronce
FIAP,2023,Anuncios,Estudiantes,Bendita Carpeta,Escuela,INDEPENDIENTE,RePETriated,Mexico,Mars,,Bronce
FIAP,2023,Anuncios,Grafica - Automoviles,Made Mexico,Independientes,INDEPENDIENTE,PORCENTAJES,Mexico,Jeep,Made,Bronce
FIAP,2023,Anuncios,Grafica - Campanas Productos - Servicios - Corporativas,DON,Independientes,INDEPENDIENTE,Una rueda mueve a la otra,Argentina,Newsan SA,Reino,Bronce
FIAP,2023,Anuncios,Grafica - Campanas Productos - Servicios - Corporativas,Made Mexico,Independientes,INDEPENDIENTE,Contratos,Mexico,Stabilo,Made,Bronce
FIAP,2023,Anuncios,Grafica - Electrodomesticos - Muebles - Electronica - Computacion - Audio - Video,DON,Independientes,INDEPENDIENTE,Predicta,Argentina,Newsan SA,Rebolucion,Bronce
FIAP,2023,Anuncios,Mejor Estrategia - Planeacion,REF,Independientes,INDEPENDIENTE,Cards Made With Cars,Brasil,Porto Seguro,Black Door,Bronce
FIAP,2023,Anuncios,Mejor Uso de la Cultura Local,Wunderman Thompson Argentina,Wunderman Thompson,WPP,Dolar Tuenti,Argentina,Movistar,Wunderman Thompson Argentina,Bronce
FIAP,2023,Anuncios,Mejor Uso de la Cultura Local,Archer Troy,Independientes,INDEPENDIENTE,Corrido of Duty,Mexico,Activision Blizzard,Rebolucion,Bronce
FIAP,2023,Anuncios,New Business-Nuevos Negocios,RosadoToledo,Independientes,INDEPENDIENTE,Loving Yourself,Puerto Rico,Alicorp,Imabri Films,Bronce
FIAP,2023,Anuncios,Radio - Bien Publico,Buentipo Anchor,Independientes,INDEPENDIENTE,Escritores Suicidas,Colombia,Terpel,Buentipo Film,Bronce
FIAP,2023,Anuncios,Radio - Campanas Bien Publico,BBA,Independientes,INDEPENDIENTE,Coro LGBTIQ,Ecuador,DIALOGO DIVERSO,Fabryca,Bronce
FIAP,2023,Anuncios,Radio - Campanas Bien Publico,BeautifulBeast,Independientes,INDEPENDIENTE,Locutor Extranjero Cheat-Sheet,EE UU,Colon Cancer Coalition,Deaf Mule Dallas,Bronce
FIAP,2023,Anuncios,Radio - Jingles - Musica Original - Audio logo - Mejor Sound Effect,Archer Troy,Independientes,INDEPENDIENTE,Corrido of Duty,Mexico,Activision Blizzard,Rebolucion,Bronce
FIAP,2023,Anuncios,Television - Cine - Digital - Alimentos - Comidas - Bebidas Alcoholicas - No Alcoholicas,The Cyranos,The Cyranos,INDEPENDIENTE,MOTO - DINNER -- Masterbrand KELLOGGS,Espana,KELLOGGS,AGOSTO,Bronce
FIAP,2023,Anuncios,Television - Cine - Digital - Bien Publico,Ogilvy Uruguay,Ogilvy,WPP,Se te puede pasar,Uruguay,Aldeas Infantiles SOS Uruguay,Guacho,Bronce
FIAP,2023,Anuncios,Television - Cine - Digital - Campanas Productos - Servicios - Corporativas,fe - The Cyranos,The Cyranos,INDEPENDIENTE,MINUETO -- Brasil KELLOGGS,Brasil,KELLOGGS,Barry Company,Bronce
FIAP,2023,Anuncios,Television - Cine - Digital - Campanas Productos - Servicios - Corporativas,The Cyranos,The Cyranos,INDEPENDIENTE,MOTO - DINNER -- Masterbrand KELLOGGS,Espana,KELLOGGS,AGOSTO,Bronce
FIAP,2023,Anuncios,Television - Cine - Digital - Campanas Productos - Servicios - Corporativas,The Cyranos,The Cyranos,INDEPENDIENTE,CHIP META MUSEO -- Cheez It KELLOGGS,Espana,KELLOGGS,Reino,Bronce
FIAP,2023,Anuncios,Transformacion Social,Publicidad Comercial MullenLowe Guatemala,MullenLowe Group,IPG,Siemprevivas,Guatemala,Kotex - ZonaFem - Mujer de Negocios,El Studio,Bronce
FIAP,2023,Anuncios,Transformacion Social,Sajo--McCann,McCann Worldgroup,IPG,Calles con nombre de mujer,Puerto Rico,Garage Isla Verde,Cinta 23,Bronce
FIAP,2023,Anuncios,Transformacion Social,Havas Group Peru,Havas Creative,HAVAS,Modelos que se hacen ver,Peru,CERCIL Centro de rehabilitacion para ciegos de Lima,Havas Group Peru,Bronce
FIAP,2023,Anuncios,Via Publica - Campanas,Havas Group Peru,Havas Creative,HAVAS,La mejor religion,Peru,Amnistia Internacional,Havas Group Peru,Bronce
FIAP,2023,Anuncios,Via Publica - Campanas,Alma,DDB Worldwide,OMNICOM,Explosions,EE UU,Molson Coors Beverage Company,Billups,Bronce
FIAP,2023,Anuncios,Via Publica - Productos,Publicidad Comercial MullenLowe Guatemala,MullenLowe Group,IPG,Whopper Chase,Guatemala,Burger King Guatemala,R7,Bronce
FIAP,2023,Anuncios,Via Publica - Productos,Alma,DDB Worldwide,OMNICOM,Explosions,EE UU,Molson Coors Beverage Company,Billups,Bronce
FIAP,2023,Anuncios,Mejor Uso de la Cultura Local,Buentipo Anchor,Independientes,INDEPENDIENTE,Club Colombia Eterno - Una Historia Nonuya,Colombia,AB InBev Colombia - Bavaria,BTFilms,Bronce
FIAP,2023,Anuncios,Television - Cine - Digital - Alimentos - Comidas - Bebidas Alcoholicas - No Alcoholicas,draftLine ABINBEV,Independientes,INDEPENDIENTE,Un legado correspondido,Ecuador,Cerveceria Nacional - AB InBev,Bang Producciones,Bronce
