Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Dubai Lynx,2020,BREAKTHROUGH ON A BUDGET,THANK YOU RUSSIA,LADA,TBWA\RAAD,Breakthrough on a Budget,Grand Prix,https://cdn.filespin.io/api/v1/storyboard/e3fcf6d0bc104b2b835f406ee6db13b0/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2020,BREAKTHROUGH ON A BUDGET,THE MAN WHO COULDNT HANDLE HIS HANDLE,SAUDI TELECOM COMPANY,WUNDERMAN THOMPSON,Leisure,Gold,https://cdn.filespin.io/api/v1/storyboard/b216caecf0ec4630abcfd3af94132a73/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2020,BREAKTHROUGH ON A BUDGET,THE BOOK THAT WILL CHANGE YOUR LIFE,AL FUTTAIM IKEA,MEMAC OGILVY,Consumer Durables,Silver,https://cdn.filespin.io/api/v1/storyboard/2044a388df7943d794ce6f2a0f7697a3/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2020,BREAKTHROUGH ON A BUDGET,SECURE YOUR ACCOUNT,EMIRATES,LEO BURNETT DUBAI,Leisure,Silver,https://cdn.filespin.io/api/v1/storyboard/c0abed9ff4bc4ccb9013920c2b154975/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2020,BREAKTHROUGH ON A BUDGET,THE MAN WHO COULDNT HANDLE HIS HANDLE,SAUDI TELECOM COMPANY,WUNDERMAN THOMPSON,Viral Film,Silver,https://cdn.filespin.io/api/v1/storyboard/b216caecf0ec4630abcfd3af94132a73/storyboard_000008.jpg
Dubai Lynx,2020,BREAKTHROUGH ON A BUDGET,THE MAN WHO COULDNT HANDLE HIS HANDLE,SAUDI TELECOM COMPANY,WUNDERMAN THOMPSON,Screens & Events,Silver,https://cdn.filespin.io/api/v1/storyboard/b216caecf0ec4630abcfd3af94132a73/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2020,BREAKTHROUGH ON A BUDGET,KINGS & QUEENS,AL FUTTAIM IKEA,MEMAC OGILVY,Consumer Durables,Bronze,https://cdn.filespin.io/api/v1/storyboard/531652d0135e4a948a1d40a00e1988c0/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2020,BREAKTHROUGH ON A BUDGET,MY FAMILY IS BETTER THAN YOURS,ETISALAT,FP7 McCANN,Retail,Bronze,https://cdn.filespin.io/api/v1/storyboard/28a5a0895f644c468ed659d60fd0bb0d/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2020,BREAKTHROUGH ON A BUDGET,LONELY VALENTINE SPECIALS,YUM RESTAURANTS INTERNATIONAL - KFC,MEMAC OGILVY,Breakthrough on a Budget,Bronze,https://ascentialcdn.filespin.io/api/v1/conversion/9833ee63f24c43aa9474e9d2ae4ea26a?resize=178,178
Dubai Lynx,2020,BREAKTHROUGH ON A BUDGET,HOHOS | A WHOLE NEW ROLL,EDITA,ELEPHANT,Food & Drink,Shortlist,https://cdn.filespin.io/api/v1/storyboard/9f355799670e472c94e0ec9eb977c784/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2020,BREAKTHROUGH ON A BUDGET,BEDROOM,NESTLE,FP7 McCANN,Food & Drink,Shortlist,https://cdn.filespin.io/api/v1/storyboard/bfadff173e804c2e8fec4e14d668676f/storyboard_000008.jpg
Dubai Lynx,2020,BREAKTHROUGH ON A BUDGET,KINGS & QUEENS,AL FUTTAIM IKEA,MEMAC OGILVY,Consumer Durables,Shortlist,https://cdn.filespin.io/api/v1/storyboard/531652d0135e4a948a1d40a00e1988c0/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2020,BREAKTHROUGH ON A BUDGET,THE FITTING ROOM,MAF PROPERTIES - CITY CENTRE,FP7 McCANN,Consumer Durables,Shortlist,https://cdn.filespin.io/api/v1/storyboard/6e315768b1a048899b535d66739594d2/storyboard_000008.jpg
Dubai Lynx,2020,BREAKTHROUGH ON A BUDGET,THE OFFICE,NATIONAL BANK OF KUWAIT,STORYTELLERS,Retail,Shortlist,https://cdn.filespin.io/api/v1/storyboard/cb2aa0c845354d21acfb9d9503956c0a/storyboard_000008.jpg
Dubai Lynx,2020,BREAKTHROUGH ON A BUDGET,NOT YOUR USUAL KIND OF BANK,NATIONAL BANK OF EGYPT,TNA,Retail,Shortlist,https://cdn.filespin.io/api/v1/storyboard/abe954f59a07408ca9b593e9662fda8b/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2020,BREAKTHROUGH ON A BUDGET,THE HANDS IVE NEVER SEEN,MIO,RAPP MOROC,Food & Drink,Shortlist,https://cdn.filespin.io/api/v1/storyboard/7c56c4fca41f4cfaba19c1749f6b1575/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2020,BREAKTHROUGH ON A BUDGET,THE MEAL THATS EQUIVALENT TO A CUDDLE,YUM RESTAURANTS INTERNATIONAL - KFC,MEMAC OGILVY,Consumer Durables,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/b91fedfff30c47f2b4c2ac428438a0cf
Dubai Lynx,2020,BREAKTHROUGH ON A BUDGET,THE MEAL THATS EQUIVALENT TO A KISS,YUM RESTAURANTS INTERNATIONAL - KFC,MEMAC OGILVY,Consumer Durables,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/9833ee63f24c43aa9474e9d2ae4ea26a
Dubai Lynx,2020,BREAKTHROUGH ON A BUDGET,THE MEAL THATS EQUIVALENT TO A PECK ON THE CHEEK,YUM RESTAURANTS INTERNATIONAL - KFC,MEMAC OGILVY,Consumer Durables,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/9bc0d2c13cbe4fabb6e29e7dd3c44dc0
Dubai Lynx,2020,BREAKTHROUGH ON A BUDGET,THE MEAL THATS EQUIVALENT TO HOLDING HANDS,YUM RESTAURANTS INTERNATIONAL - KFC,MEMAC OGILVY,Consumer Durables,Shortlist,https://ascentialcdn.filespin.io/api/v1/conversion/c8aaaec2de2b499e99f055833528325b
Dubai Lynx,2020,BREAKTHROUGH ON A BUDGET,THE BANK-KINK,NATIONAL BANK OF KUWAIT,STORYTELLERS,Retail,Shortlist,https://cdn.filespin.io/api/v1/storyboard/cb2aa0c845354d21acfb9d9503956c0a/storyboard_000008.jpg?resize=600,600
