Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Eurobest,2020,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,THE MOLDY WHOPPER,BURGER KING,INGO,Travel Leisure Retail Restaurants & Fast Food Chains,Grand Prix,https://ascentialcdn.filespin.io/api/v1/storyboard/1491dca5a3cf43e28e6820d38d96b3cc/storyboard_000008.jpg?resize=600,600
Eurobest,2020,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,CROCODILE INSIDE,LACOSTE,BETC,Travel Leisure Retail Restaurants & Fast Food Chains,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/7de3052501db46639918b67073e81ae8/storyboard_000008.jpg?resize=600,600
Eurobest,2020,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,FRANCESCA,DIESEL,PUBLICIS ITALY,Durable Consumer Goods including Automotive,Gold,https://ascentialcdn.filespin.io/api/v1/storyboard/f76b1afe2cf2433bbdd25094e8147002/storyboard_000008.jpg?resize=600,600
Eurobest,2020,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,COURAGE IS BEAUTIFUL,DOVE,OGILVY,Fast Moving Consumer Goods,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/910e3092847f43ef95bd5f690935865d/storyboard_000008.jpg?resize=600,600
Eurobest,2020,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,FRANCESCA,DIESEL,PUBLICIS ITALY,Durable Consumer Goods including Automotive,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/f76b1afe2cf2433bbdd25094e8147002/storyboard_000008.jpg?resize=600,600
Eurobest,2020,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,THE MOLDY WHOPPER,BURGER KING,INGO,Travel Leisure Retail Restaurants & Fast Food Chains,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/1491dca5a3cf43e28e6820d38d96b3cc/storyboard_000008.jpg?resize=600,600
Eurobest,2020,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,CREATURE DISCOMFORTS LIFE IN LOCKDOWN,BORN FREE FOUNDATION,ENGINE,Not-for-profit & Charity & Government,Silver,https://ascentialcdn.filespin.io/api/v1/storyboard/415b68d675fe4b859a7193d664be16d8/storyboard_000008.jpg?resize=600,600
Eurobest,2020,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,WHATS YOUR NAME,STARBUCKS,IRIS,Corporate Purpose & Social Responsibility,Silver,https://ascentialcdn.filespin.io/api/v1/conversion/9cfc502c0242408c9defd548c6ca8aa6
Eurobest,2020,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,CHEERS TO ALL,HEINEKEN,PUBLICIS ITALY,Fast Moving Consumer Goods,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/1705e7c3b2744504a3632fb4224a311a/storyboard_000008.jpg?resize=600,600
Eurobest,2020,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,DANIEL CRAIG VS JAMES BOND,HEINEKEN,PUBLICIS ITALY,Fast Moving Consumer Goods,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/143c98899afa4994a475b3d89f4f3a72/storyboard_000008.jpg?resize=600,600
Eurobest,2020,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,EPISODE 1 - THE SHOOT,CANAL,BETC,Media & Entertainment,Bronze,https://ascentialcdn.filespin.io/api/v1/storyboard/5015ad93af6c47e5ac4626bfa29eb15e/storyboard_000008.jpg
