Award,Entrant,Entrant City,Country,Track,Category,Brand,Title,Corporate Name of Client,Agency,Agency City,Permalink
Gold,McCann Paris,Paris,FRANCE,Creative Strategy,Branded Entertainment,LOreal Paris,The Final Copy of Ilon Specht,LOreal Paris,McCann Paris Paris-McCann Worldgroup,New York,/awards/lia_awards/2025/campaigns/the-final-copy-of-ilon-specht-loreal-paris-mccann-paris-paris-mccann-worldgroup-2025-5/
Gold,Publicis Conseil,Paris,FRANCE,Creative Strategy,Breaking Sector Convention,AXA,Three Words,AXA,Publicis Conseil,Paris,/awards/lia_awards/2025/campaigns/three-words-axa-publicis-conseil-2025-2/
Gold,Publicis Conseil,Paris,FRANCE,Creative Strategy,Finance,AXA,Three Words,AXA,Publicis Conseil,Paris,/awards/lia_awards/2025/campaigns/three-words-axa-publicis-conseil-2025-3/
Gold,W Conran Design,Boulogne-Billancourt,FRANCE,Design,Craft Art Direction,COJOP 2024,Paris 2024 - Designing Paris,COJOP 2024,W Conran Design,Boulogne-Billancourt,/awards/lia_awards/2025/campaigns/paris-2024-designing-paris-cojop-2024-w-conran-design-2025/
Gold,W Conran Design,Boulogne-Billancourt,FRANCE,Design,Spatial Design,COJOP 2024,Paris 2024 - Designing Paris,COJOP 2024,W Conran Design,Boulogne-Billancourt,/awards/lia_awards/2025/campaigns/paris-2024-designing-paris-cojop-2024-w-conran-design-2025-2/
Gold,Publicis Conseil,Paris,FRANCE,Evolution,Brand Action,AXA,Three Words,AXA,Publicis Conseil,Paris,/awards/lia_awards/2025/campaigns/three-words-axa-publicis-conseil-2025-4/
Gold,McCann Paris,Paris,FRANCE,Online Film,Branded Content,LOreal Paris,The Final Copy of Ilon Specht,LOreal Paris,McCann Paris Paris-McCann Worldgroup,New York,/awards/lia_awards/2025/campaigns/the-final-copy-of-ilon-specht-loreal-paris-mccann-paris-paris-mccann-worldgroup-2025-6/
Gold,McCann Paris,Paris,FRANCE,Online Film,Tagline-Endline,LOreal Paris,The Final Copy of Ilon Specht,LOreal Paris,McCann Paris Paris-McCann Worldgroup,New York,/awards/lia_awards/2025/campaigns/the-final-copy-of-ilon-specht-loreal-paris-mccann-paris-paris-mccann-worldgroup-2025-7/
Gold,McCann Paris,Paris,FRANCE,TV Cinema,Branded Content,LOreal Paris,The Final Copy of Ilon Specht,LOreal Paris,McCann Paris Paris-McCann Worldgroup,New York,/awards/lia_awards/2025/campaigns/the-final-copy-of-ilon-specht-loreal-paris-mccann-paris-paris-mccann-worldgroup-2025-8/
Gold,McCann Paris,Paris,FRANCE,TV Cinema,Tagline-Endline,LOreal Paris,The Final Copy of Ilon Specht,LOreal Paris,McCann Paris Paris-McCann Worldgroup,New York,/awards/lia_awards/2025/campaigns/the-final-copy-of-ilon-specht-loreal-paris-mccann-paris-paris-mccann-worldgroup-2025-9/
Gold,VML,Paris,FRANCE,TV Cinema,Banking Finance,AXA,Group Therapy,AXA,VML,Paris,/awards/lia_awards/2025/campaigns/group-therapy-axa-vml-2025/
Gold,SERVICEPLAN GERMANY,Munich,GERMANY,Ambient Activation,Creativity in Commerce,Rainbow Wool,,SchAferei StA14cke,SERVICEPLAN GERMANY,Munich,/awards/lia_awards/2025/campaigns/rainbow-wool-serviceplan-germany-2025-2/
Gold,HeimatTBWA- Germany,Berlin,GERMANY,Music Sound,Sound Editing,HORNBACH,No Project without Drama,HORNBACH Baumarkt AG,HeimatTBWA- Germany,Berlin,/awards/lia_awards/2025/campaigns/no-project-without-drama-hornbach-heimattbwa-germany-2025-3/
Gold,SERVICEPLAN GERMANY,Munich,GERMANY,Package Design,Best Regional-National Market,PENNY,Price Packs,PENNY,SERVICEPLAN GERMANY,Munich,/awards/lia_awards/2025/campaigns/price-packs-penny-serviceplan-germany-2025/
Gold,Filmakademie Baden-WA14rttemberg,Ludwigsburg,GERMANY,Production Post-Production,New Director,Voices of Children,If I Could Fly,Voices of children,,,/awards/lia_awards/2025/campaigns/if-i-could-fly-voices-of-children-2025/
Gold,HeimatTBWA- Germany,Berlin,GERMANY,Production Post-Production,Direction,HORNBACH,No Project without Drama,HORNBACH Baumarkt AG,HeimatTBWA- Germany,Berlin,/awards/lia_awards/2025/campaigns/no-project-without-drama-hornbach-heimattbwa-germany-2025-4/
Gold,HeimatTBWA- Germany,Berlin,GERMANY,Production Post-Production,Editing,HORNBACH,No Project without Drama,HORNBACH Baumarkt AG,HeimatTBWA- Germany,Berlin,/awards/lia_awards/2025/campaigns/no-project-without-drama-hornbach-heimattbwa-germany-2025-5/
Gold,HeimatTBWA- Germany,Berlin,GERMANY,Production Post-Production,Performance-Casting,HORNBACH,No Project without Drama,HORNBACH Baumarkt AG,HeimatTBWA- Germany,Berlin,/awards/lia_awards/2025/campaigns/no-project-without-drama-hornbach-heimattbwa-germany-2025-6/
Gold,HeimatTBWA- Germany,Berlin,GERMANY,Production Post-Production,Production Design,HORNBACH,No Project without Drama,HORNBACH Baumarkt AG,HeimatTBWA- Germany,Berlin,/awards/lia_awards/2025/campaigns/no-project-without-drama-hornbach-heimattbwa-germany-2025-7/
Gold,Ogilvy,Bengaluru,INDIA,Creativity In Media,Health Pharma,Eye,Eye Test Menu,Titan Company Limited,Ogilvy Bengaluru-Ogilvy,Mumbai,/awards/lia_awards/2025/campaigns/eye-test-menu-eye-ogilvy-bengaluru-ogilvy-2025/
Gold,LePub,Milan,ITALY,Music Video,Best Music Video,Desperados,Guao Guao,Desperados,LePub,Milan,/awards/lia_awards/2025/campaigns/guao-guao-desperados-lepub-2025/
Gold,LePub,Milan,ITALY,Online Film,Use of Social Media,Toblerone,Tantrum Girl,Modelez,LePub,Milan,/awards/lia_awards/2025/campaigns/tantrum-girl-toblerone-lepub-2025/
Gold,LePub,Milan,ITALY,Production Post-Production,Cinematography,Desperados,Guao Guao,Desperados,LePub,Milan,/awards/lia_awards/2025/campaigns/guao-guao-desperados-lepub-2025-2/
Gold,LePub,Milan,ITALY,Production Post-Production,Performance-Casting,Desperados,Guao Guao,Desperados,LePub,Milan,/awards/lia_awards/2025/campaigns/guao-guao-desperados-lepub-2025-3/
Gold,Dentsu Inc,Tokyo,JAPAN,Design,Craft Art Direction Campaign,NIKKA WHISKY - No Labels,,ASAHI BREWERIES LTD-THE NIKKA WHISKY DISTILLING CO LTD,Dentsu Inc,Tokyo,/awards/lia_awards/2025/campaigns/nikka-whisky-no-labels-dentsu-inc-2025/
Gold,LePub Mexico City,Mexico City,MEXICO,Branded Entertainment,Experiential and Events,Tecate Light,Gulf of Mexico Bar,Heineken Group,LePub Mexico City,Mexico City,/awards/lia_awards/2025/campaigns/gulf-of-mexico-bar-tecate-light-lepub-mexico-city-2025/
Gold,LePub Mexico City,Mexico City,MEXICO,Creativity In Media,Use of Events and Stunts,Tecate Light,Gulf of Mexico Bar,Heineken Group,LePub Mexico City,Mexico City,/awards/lia_awards/2025/campaigns/gulf-of-mexico-bar-tecate-light-lepub-mexico-city-2025-2/
Gold,LePub Mexico City,Mexico City,MEXICO,Evolution,Brand Action,Tecate Light,Gulf of Mexico Bar,Heineken Group,LePub Mexico City,Mexico City,/awards/lia_awards/2025/campaigns/gulf-of-mexico-bar-tecate-light-lepub-mexico-city-2025-3/
Gold,Grey Mexico,Mexico City,MEXICO,Online Film,Corporate Purpose-Social Responsibility,Newspaper la Union y Articulo 19,The Shooting,Newspaper la Union y Articulo 19,Grey Mexico,Mexico City,/awards/lia_awards/2025/campaigns/the-shooting-newspaper-la-union-y-articulo-19-grey-mexico-2025/
Gold,Grey Mexico,Mexico City,MEXICO,Production Post-Production,Cinematography,Newspaper la Union y Articulo 19,The Shooting,Newspaper la Union y Articulo 19,Grey Mexico,Mexico City,/awards/lia_awards/2025/campaigns/the-shooting-newspaper-la-union-y-articulo-19-grey-mexico-2025-2/
Gold,Grey Mexico,Mexico City,MEXICO,Production Post-Production,Direction,Newspaper la Union y Articulo 19,The Shooting,Newspaper la Union y Articulo 19,Grey Mexico,Mexico City,/awards/lia_awards/2025/campaigns/the-shooting-newspaper-la-union-y-articulo-19-grey-mexico-2025-3/
Gold,Grey Mexico,Mexico City,MEXICO,TV Cinema,Corporate Purpose-Social Responsibility,Newspaper la Union y Articulo 19,The Shooting,Newspaper la Union y Articulo 19,Grey Mexico,Mexico City,/awards/lia_awards/2025/campaigns/the-shooting-newspaper-la-union-y-articulo-19-grey-mexico-2025-4/
Gold,Grey Mexico,Mexico City,MEXICO,TV Cinema,Media,Newspaper la Union y Articulo 19,The Shooting,Newspaper la Union y Articulo 19,Grey Mexico,Mexico City,/awards/lia_awards/2025/campaigns/the-shooting-newspaper-la-union-y-articulo-19-grey-mexico-2025-5/
Gold,Motion Sickness,Auckland,NEW ZEALAND,Branded Entertainment,Online Episodes and Specials Series,The New Zealand Herpes Foundation,Make New Zealand The Best Place In The World To Have Herpes,The New Zealand Herpes Foundation,Motion Sickness,Auckland,/awards/lia_awards/2025/campaigns/make-new-zealand-the-best-place-in-the-world-to-have-herpes-the-new-zealand-herpes-foundation-motion-sickness-2025/
Gold,Motion Sickness,Auckland,NEW ZEALAND,Online Film,Health Pharma Campaign,The New Zealand Herpes Foundation,Intro - Sir Graham Henry Lesson 1 - What is Herpes Lesson 2 - How Common is Herpes Lesson 3 - Is Herpes Scary Lesson 4 - How to Not Make Herpes Awkward Lesson 5 - How to Fight Stigma Outro - Sir Grahm Henry,The New Zealand Herpes Foundation,Motion Sickness,Auckland,/awards/lia_awards/2025/campaigns/intro-sir-graham-henry-lesson-1-what-is-herpes-lesson-2-how-common-is-herpes-lesson-3-is-herpes-scary-lesson-4-how-to-no/
Gold,de la Cruz Ogilvy,Puerto Rico,PUERTO RICO,Package Design,Health Pharma,Alivia Health,Glowing Relief,Alivia Health,de la Cruz Ogilvy Puerto Rico-Ogilvy Health,New York,/awards/lia_awards/2025/campaigns/glowing-relief-alivia-health-de-la-cruz-ogilvy-puerto-rico-ogilvy-health-2025-2/
Gold,BigTime Creative Shop,Riyadh,SAUDI ARABIA,Music Sound,Music Adaptation - Song,General Entertainment Authority,Obsession,General Entertainment Authority,BigTime Creative Shop,Riyadh,/awards/lia_awards/2025/campaigns/obsession-general-entertainment-authority-bigtime-creative-shop-2025/
Gold,Ogilvy,Singapore,SINGAPORE,Creative Strategy,Use of Social Media,Unilever - Vaseline,Vaseline Verified,Unilever PLC,Ogilvy Singapore,Singapore,/awards/lia_awards/2025/campaigns/vaseline-verified-unilever-vaseline-ogilvy-singapore-2025/
Gold,Ogilvy,Singapore,SINGAPORE,Evolution,Use of Social Media,Unilever - Vaseline,Vaseline Verified,Unilever PLC,Ogilvy Singapore,Singapore,/awards/lia_awards/2025/campaigns/vaseline-verified-unilever-vaseline-ogilvy-singapore-2025-2/
Gold,DAVID,Madrid,SPAIN,Audio Radio,Craft Script Writing,Fusion,High Energy Intern,AMBEV Fusion Energy,DAVID,Madrid,/awards/lia_awards/2025/campaigns/high-energy-intern-fusion-david-2025/
Gold,DAVID,Madrid,SPAIN,Creativity In Media,B2B,Coca-Cola,Shades of Red,The Coca Cola Company,DAVID,Madrid,/awards/lia_awards/2025/campaigns/shades-of-red-coca-cola-david-2025/
Gold,SAMY Alliance,Madrid,SPAIN,Production Post-Production,2D Animation,PETA,Being Vegan is Good Sht,PETA,SAMY Alliance,Madrid,/awards/lia_awards/2025/campaigns/being-vegan-is-good-sht-peta-samy-alliance-2025/
Gold,Leo Sweden,Stockholm,SWEDEN,Evolution,Creativity in Commerce,Elgiganten,GamePay,Elkjoep - Curries,Leo Sweden,Stockholm,/awards/lia_awards/2025/campaigns/gamepay-elgiganten-leo-sweden-2025/
Gold,BBDO Bangkok,Bangkok,THAILAND,Online Film,Branded Content,Five Star,Death of A Salesman,CPF Restaurant and Foods Chain CoLtd,BBDO Bangkok,Bangkok,/awards/lia_awards/2025/campaigns/death-of-a-salesman-five-star-bbdo-bangkok-2025-2/
Gold,BBDO Bangkok,Bangkok,THAILAND,Online Film,Humor,Five Star,Death of A Salesman,CPF Restaurant and Foods Chain CoLtd,BBDO Bangkok,Bangkok,/awards/lia_awards/2025/campaigns/death-of-a-salesman-five-star-bbdo-bangkok-2025-3/
Gold,BBDO Bangkok,Bangkok,THAILAND,Online Film,Retail,Five Star,Death of A Salesman,CPF Restaurant and Foods Chain CoLtd,BBDO Bangkok,Bangkok,/awards/lia_awards/2025/campaigns/death-of-a-salesman-five-star-bbdo-bangkok-2025-4/
Gold,Leo Dubai,Dubai,UNITED ARAB EMIRATES,Billboard,Craft Photography Campaign,NBA India - The Great Indian Dunk,Jordan 23 Kobe 08 Lebron 06 Shaq 34,NBA,Leo Dubai,Dubai,/awards/lia_awards/2025/campaigns/jordan-23-kobe-08-lebron-06-shaq-34-nba-india-the-great-indian-dunk-leo-dubai-2025/
Gold,VML,Dubai,UNITED ARAB EMIRATES,Creative Use of Data,Social-Powered Data,HungerStation,The Social Feed,HungerStation,VML,Dubai,/awards/lia_awards/2025/campaigns/the-social-feed-hungerstation-vml-2025/
Gold,Leo Dubai,Dubai,UNITED ARAB EMIRATES,Poster,Craft Photography Campaign,NBA India - The Great Indian Dunk,Jordan 23 Kobe 08 Lebron 06 Shaq 34,NBA,Leo Dubai,Dubai,/awards/lia_awards/2025/campaigns/jordan-23-kobe-08-lebron-06-shaq-34-nba-india-the-great-indian-dunk-leo-dubai-2025-2/
Gold,Leo Dubai,Dubai,UNITED ARAB EMIRATES,Print,Craft Photography Campaign,NBA India - The Great Indian Dunk,Jordan 23 Kobe 08 Lebron 06 Shaq 34,NBA,Leo Dubai,Dubai,/awards/lia_awards/2025/campaigns/jordan-23-kobe-08-lebron-06-shaq-34-nba-india-the-great-indian-dunk-leo-dubai-2025-3/
Gold,VCCP,London,UNITED KINGDOM,Billboard,Craft Copywriting Campaign,Cadbury Dairy Milk,Who Cooked Flights Duvet Subscription Who Drove Group Chat Slides Birthdays,Mondelz International,VCCP,London,/awards/lia_awards/2025/campaigns/who-cooked-flights-duvet-subscription-who-drove-group-chat-slides-birthdays-cadbury-dairy-milk-vccp-2025/
Gold,VCCP,London,UNITED KINGDOM,Billboard,Foods Campaign,Cadbury Dairy Milk,Who Cooked Flights Duvet Subscription Who Drove Group Chat Slides Birthdays,Mondelz International,VCCP,London,/awards/lia_awards/2025/campaigns/who-cooked-flights-duvet-subscription-who-drove-group-chat-slides-birthdays-cadbury-dairy-milk-vccp-2025-2/
Gold,AMVBBDO,London,UNITED KINGDOM,Creative Strategy,Beauty Well-being,Essity - Bodyform,Never Just A Period,Essity Bodyform,AMVBBDO,London,/awards/lia_awards/2025/campaigns/never-just-a-period-essity-bodyform-amvbbdo-2025/
Gold,AMVBBDO,London,UNITED KINGDOM,Creative Strategy,Long-term Creative Strategy-Effectiveness,Libresse-Bodyform,Livefearless - The Heart Guts Behind The Blood,Essity Bodyform,AMVBBDO,London,/awards/lia_awards/2025/campaigns/livefearless-the-heart-guts-behind-the-blood-libresse-bodyform-amvbbdo-2025-2/
Gold,Ogilvy UK,London,UNITED KINGDOM,Creative Strategy,Long-term Creative Strategy-Effectiveness,Dove,Real Beauty How A Soap Brand Created A Global Self-Esteem Movement,Unilever,Ogilvy UK,London,/awards/lia_awards/2025/campaigns/real-beauty-how-a-soap-brand-created-a-global-self-esteem-movement-dove-ogilvy-uk-2025/
Gold,VCCP,London,UNITED KINGDOM,Design,Craft Motion Graphics - Animation,Co-op,Owned By You Right By You,Co-op,VCCP,London,/awards/lia_awards/2025/campaigns/owned-by-you-right-by-you-co-op-vccp-2025/
Gold,Wolff Olins,London,UNITED KINGDOM,Design,Best Local Market,Lloyds,A Next Step Forward,Lloyds Banking Group,,,/awards/lia_awards/2025/campaigns/a-next-step-forward-lloyds-2025/
Gold,Wolff Olins,London,UNITED KINGDOM,Design,Logos,Lloyds,A Next Step Forward,Lloyds Banking Group,,,/awards/lia_awards/2025/campaigns/a-next-step-forward-lloyds-2025-2/
Gold,Wolff Olins,London,UNITED KINGDOM,Design,Rebrand,Lloyds,A Next Step Forward,Lloyds Banking Group,,,/awards/lia_awards/2025/campaigns/a-next-step-forward-lloyds-2025-3/
Gold,750mph,London,UNITED KINGDOM,Music Sound,Sound Mixing,Riyadh Season,Call Of The Kings,Riyadh Season,BigTime Creative Shop,Riyadh,/awards/lia_awards/2025/campaigns/call-of-the-kings-riyadh-season-bigtime-creative-shop-2025/
Gold,750mph,London,UNITED KINGDOM,Music Sound,Sound Mixing,Riyadh Season,Fury vs Usyk,Riyadh Season,BigTime Creative Shop,Riyadh,/awards/lia_awards/2025/campaigns/fury-vs-usyk-riyadh-season-bigtime-creative-shop-2025/
Gold,AMVBBDO,London,UNITED KINGDOM,Music Sound,Music Adaptation - Instrumental,Essity-Bodyform,Never Just a Period,Essity Bodyform,AMVBBDO,London,/awards/lia_awards/2025/campaigns/never-just-a-period-essity-bodyform-amvbbdo-2025-2/
Gold,VCCP,London,UNITED KINGDOM,Package Design,Craft Copywriting,Cadbury Dairy Milk,Made to Share,Mondelz International,VCCP,London,/awards/lia_awards/2025/campaigns/made-to-share-cadbury-dairy-milk-vccp-2025/
Gold,AMVBBDO,London,UNITED KINGDOM,Production Post-Production,Editing,Essity-Bodyform,Never Just a Period,Essity Bodyform,AMVBBDO,London,/awards/lia_awards/2025/campaigns/never-just-a-period-essity-bodyform-amvbbdo-2025-3/
Gold,FCB London,London,UNITED KINGDOM,Production Post-Production,Direction,Andrex - Get Comfortable,First School Poo,Kimberly-Clark,FCB London,London,/awards/lia_awards/2025/campaigns/first-school-poo-andrex-get-comfortable-fcb-london-2025/
Gold,Energy BBDO,Chicago,UNITED STATES,Ambient Activation,Political,Change The Ref,The Final Exam,Change The Ref,Energy BBDO,Chicago,/awards/lia_awards/2025/campaigns/the-final-exam-change-the-ref-energy-bbdo-2025/
Gold,Ogilvy,New York,UNITED STATES,Branded Content,Online Series,San Pellegrino CIAO,With Love Italy,Nestle,Ogilvy,New York,/awards/lia_awards/2025/campaigns/with-love-italy-san-pellegrino-ciao-ogilvy-2025/
Gold,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,Branded Content,Virtual Reality,Apple,Submerged,Apple,TBWA-Media Arts Lab,Los Angeles,/awards/lia_awards/2025/campaigns/submerged-apple-tbwa-media-arts-lab-2025-2/
Gold,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,Branded Entertainment,Virtual Reality,Apple,Submerged,Apple,TBWA-Media Arts Lab,Los Angeles,/awards/lia_awards/2025/campaigns/submerged-apple-tbwa-media-arts-lab-2025-3/
Gold,McCann NY,New York,UNITED STATES,Creative Strategy,Cultural Insight,Last Prisoner Project,The Pen to Right History,Last Prisoner Project,McCann NY,New York,/awards/lia_awards/2025/campaigns/the-pen-to-right-history-last-prisoner-project-mccann-ny-2025/
Gold,The Kitchen North America,Chicago,UNITED STATES,Creative Strategy,Partnership Collaboration,Heinz Mustard,Heinz Mustard x Mustard,Kraft Heinz,Cashmere Los Angeles-The Kitchen North America,Chicago,/awards/lia_awards/2025/campaigns/heinz-mustard-x-mustard-heinz-mustard-cashmere-los-angeles-the-kitchen-north-america-2025/
Gold,Amazon XCM,Santa Monica,UNITED STATES,Creative Use of Data,Data-Led Creativity,Amazon,5-Star Theater with Adam Driver,Amazon,,,/awards/lia_awards/2025/campaigns/5-star-theater-with-adam-driver-amazon-2025/
Gold,Zenith,Detroit,UNITED STATES,Creativity In Media,Banking Finance,Rocket,First Ever LIVE Commercial Crossover,Rocket,Mirimar,Venica,/awards/lia_awards/2025/campaigns/first-ever-live-commercial-crossover-rocket-mirimar-2025/
Gold,FCB Chicago,Chicago,UNITED STATES,Design,Innovative Use of Design,Caption with Intention,,Rakish Entertainment,FCB Chicago,Chicago,/awards/lia_awards/2025/campaigns/caption-with-intention-fcb-chicago-2025-2/
Gold,MullenLowe US,New York,UNITED STATES,Design,Craft Visual Design Campaign,Art Directors Club - Be Seen by the Best Eyes,,The One Club for Creativity,MullenLowe US,New York,/awards/lia_awards/2025/campaigns/art-directors-club-be-seen-by-the-best-eyes-mullenlowe-us-2025/
Gold,FCB Health New York an IPG Health Company,New York,UNITED STATES,Music Sound,Use of Licensed Music,SAFE Project,The Snowball,SAFE Project,FCB Health New York an IPG Health Company,New York,/awards/lia_awards/2025/campaigns/the-snowball-safe-project-fcb-health-new-york-an-ipg-health-company-2025/
Gold,Sound Lounge,New York,UNITED STATES,Music Sound,Sound Mixing,Tonal,Future of Fitness,Quality Experience,Quality Experience,New York,/awards/lia_awards/2025/campaigns/future-of-fitness-tonal-quality-experience-2025/
Gold,The Music Playground,New York,UNITED STATES,Music Sound,Original Music with Lyrics,LifeBridge Health,Stop The Iron Pipeline,LifeBridge Health,Strawberry Frog,New York,/awards/lia_awards/2025/campaigns/stop-the-iron-pipeline-lifebridge-health-strawberry-frog-2025/
Gold,PRETTYBIRD,Culver City,UNITED STATES,Music Video,Direction,Kendrick Lamar,Squabble Up,Kendrick Lamar,,,/awards/lia_awards/2025/campaigns/squabble-up-kendrick-lamar-2025/
Gold,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,Music Video,Production Design,Ivan Cornejo,Intercambio Injusto,Apple,TBWA-Media Arts Lab,LATAM,/awards/lia_awards/2025/campaigns/intercambio-injusto-ivan-cornejo-tbwa-media-arts-lab-2025/
Gold,Ogilvy New York,New York,UNITED STATES,Print,Beauty Well-being Campaign,Dove - Get Unready,Carnaval Holi Mardi Gras New Years St Patricks,Unilever,Ogilvy,New York,/awards/lia_awards/2025/campaigns/carnaval-holi-mardi-gras-new-years-st-patricks-dove-get-unready-ogilvy-2025/
Gold,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,Production Post-Production,CGI Animation,Apple,Flock,Apple,TBWA-Media Arts Lab,Los Angeles,/awards/lia_awards/2025/campaigns/flock-apple-tbwa-media-arts-lab-2025/
Gold,TBWA-Media Arts Lab,Los Angeles,UNITED STATES,Production Post-Production,Visual Effects,Apple,Flock,Apple,TBWA-Media Arts Lab,Los Angeles,/awards/lia_awards/2025/campaigns/flock-apple-tbwa-media-arts-lab-2025-2/
Silver,TBWA-Melbourne,Melbourne,AUSTRALIA,Ambient Activation,Best Use of Real Time Advertising,Specsavers,Welcome to Melbourne,Specsavers ANZ,TBWA-Melbourne,Melbourne,/awards/lia_awards/2025/campaigns/welcome-to-melbourne-specsavers-tbwa-melbourne-2025/
Silver,Droga5 ANZ part of Accenture Song,Sydney,AUSTRALIA,Branded Content,Use of Social Media,Australian Lamb,The Comments Section,Nathan Low,Droga5 Australia part of Accenture Song Sydney-Droga5 Australia part of Accenture Song,Melbourne,/awards/lia_awards/2025/campaigns/the-comments-section-australian-lamb-droga5-australia-part-of-accenture-song-sydney-droga5-australia-part-of-accenture-s/
Silver,Leo Australia,Sydney,AUSTRALIA,Creative Strategy,Long-term Creative Strategy-Effectiveness,Suncorp Insurance,Building A More Resilient Australia,Suncorp Insurance,Leo Australia,Sydney,/awards/lia_awards/2025/campaigns/building-a-more-resilient-australia-suncorp-insurance-leo-australia-2025/
Silver,Leo Australia,Sydney,AUSTRALIA,Creative Use of Data,Data-Led Creativity,Suncorp Insurance,Suncorp Haven,Suncorp Insurance,Leo Australia,Sydney,/awards/lia_awards/2025/campaigns/suncorp-haven-suncorp-insurance-leo-australia-2025/
Silver,Droga5 ANZ part of Accenture Song,Sydney,AUSTRALIA,Creativity In Media,Challenger Brand,Special Broadcasting Service,The Ad That Could Only Be Seen On SBS,Special Broadcasting Service,Droga5 ANZ part of Accenture SongA,Sydney,/awards/lia_awards/2025/campaigns/the-ad-that-could-only-be-seen-on-sbs-special-broadcasting-service-droga5-anz-part-of-accenture-songa-2025/
Silver,Ogilvy Australia,Australia,AUSTRALIA,Creativity In Media,Multi-Channel Media,TCCC,Meet me at the Coke Sign,TCCC,Ogilvy,Australia,/awards/lia_awards/2025/campaigns/meet-me-at-the-coke-sign-tccc-ogilvy-2025/
Silver,FINCH,Sydney,AUSTRALIA,Production Post-Production,Direction Campaign,The New Zealand Herpes Foundation,Make New Zealand The Best Place in the World to Have Herpes Campaign - Lesson 1 What is Herpes Lesson 2 Is Herpes Common Lesson 3 Is Herpes Scary Lesson 4 How to Not Make Herpes Awkward Lesson 5 How to Fight Stigma,The New Zealand Herpes Foundation,Motion Sickness,Auckland,/awards/lia_awards/2025/campaigns/make-new-zealand-the-best-place-in-the-world-to-have-herpes-campaign-lesson-1-what-is-herpes-lesson-2-is-herpes-common-l/
Silver,ATimePlace,Melbourne,AUSTRALIA,TV Cinema,Beverages - Alcoholic,Balter Brewing Company,Beers Do Come True,Balter Brewery,ATimePlace,Melbourne,/awards/lia_awards/2025/campaigns/beers-do-come-true-balter-brewing-company-atimeplace-2025/
Silver,Bear Meets Eagle on Fire,Sydney,AUSTRALIA,TV Cinema,Banking Finance Campaign,Bankwest,Best Friend Romance Cheese Award Board,Bankwest,Bear Meets Eagle On Fire,Sydney,/awards/lia_awards/2025/campaigns/best-friend-romance-cheese-award-board-bankwest-bear-meets-eagle-on-fire-2025/
Silver,Ogilvy Brasil,Sao Paulo,BRAZIL,Branded Content,Creative Use of Data,Hasbro Brasil,DungeonsDragons The Lost Episode,Hasbro Brasil,Ogilvy Brasil,Sao Paulo,/awards/lia_awards/2025/campaigns/dungeonsdragons-the-lost-episode-hasbro-brasil-ogilvy-brasil-2025/
Silver,Rethink,Toronto,CANADA,Ambient Activation,Foods,Kraft Heinz,Cant Unsee I,Kraft Heinz,Rethink,Toronto,/awards/lia_awards/2025/campaigns/cant-unsee-i-kraft-heinz-rethink-2025/
Silver,No Fixed Address,Toronto,CANADA,Billboard,Best Use of Real Time Advertising,Greenfield Natural Meat Co,The Sizzle Board,Greenfield Natural Meat Co,No Fixed Address,Toronto,/awards/lia_awards/2025/campaigns/the-sizzle-board-greenfield-natural-meat-co-no-fixed-address-2025/
Silver,Klick Health,Toronto,CANADA,Branded Entertainment,Scripted Short Film,Second Nurture,18 Months,Second Nurture,Klick Health,Toronto,/awards/lia_awards/2025/campaigns/18-months-second-nurture-klick-health-2025/
Silver,Rethink,Toronto,CANADA,Creative Strategy,Partnership Collaboration,Molson Coors,Paid Through Parents,Molson Coors Beverage Company,Rethink,Toronto,/awards/lia_awards/2025/campaigns/paid-through-parents-molson-coors-rethink-2025-3/
Silver,Klick Health,Toronto,CANADA,Design,Craft Motion Graphics - Animation,Second Nurture,18 Months,Second Nurture,Klick Health,Toronto,/awards/lia_awards/2025/campaigns/18-months-second-nurture-klick-health-2025-2/
Silver,FCB Canada,Toronto,CANADA,Online Film,Public Service-Charity-NGO,SickKids Foundation,The Count,SickKids Foundation,FCB,Toronto,/awards/lia_awards/2025/campaigns/the-count-sickkids-foundation-fcb-2025/
Silver,Klick Health,Toronto,CANADA,Online Film,Branded Content,Second Nurture,18 Months,Second Nurture,Klick Health,Toronto,/awards/lia_awards/2025/campaigns/18-months-second-nurture-klick-health-2025-3/
Silver,Klick Health,Toronto,CANADA,Online Film,Public Service-Charity-NGO,Second Nurture,18 Months,Second Nurture,Klick Health,Toronto,/awards/lia_awards/2025/campaigns/18-months-second-nurture-klick-health-2025-4/
Silver,Ogilvy Canada,Toronto,CANADA,Online Film,Zeitgeist,Dove,Most Likely To,Unilever,Ogilvy Canada,Toronto,/awards/lia_awards/2025/campaigns/most-likely-to-dove-ogilvy-canada-2025/
Silver,FCB Canada,Toronto,CANADA,Production Post-Production,Direction,SickKids Foundation,The Count,SickKids Foundation,FCB,Toronto,/awards/lia_awards/2025/campaigns/the-count-sickkids-foundation-fcb-2025-2/
Silver,Klick Health,Toronto,CANADA,Production Post-Production,Stop-Frame Animation,Second Nurture,18 Months,Second Nurture,Klick Health,Toronto,/awards/lia_awards/2025/campaigns/18-months-second-nurture-klick-health-2025-5/
