Award,Entrant,Entrant City,Country,Track,Category,Brand,Title,Corporate Name of Client,Agency,Agency City,Permalink
Finalist,Wolf BKK,Bangkok,THAILAND,Online Film,Humor,CP-Meiji,Sliding Mom,CP-Meiji Co Ltd,Wolf BKK,Bangkok,/awards/lia_awards/2025/campaigns/sliding-mom-cp-meiji-wolf-bkk-2025/
Finalist,Ogilvy Bangkok,Bangkok,THAILAND,Production Post-Production,Direction,Thai Life Insurance,Unfading Love,Thai Life Insurance Public Company Limited,Ogilvy Bangkok,Bangkok,/awards/lia_awards/2025/campaigns/unfading-love-thai-life-insurance-ogilvy-bangkok-2025-2/
Finalist,LePub,Amsterdam,THE NETHERLANDS,Creative Strategy,Original Thinking,Philips,Fixables,Philips,LePub Amsterdam-LePub,Milan,/awards/lia_awards/2025/campaigns/fixables-philips-lepub-amsterdam-lepub-2025-2/
Finalist,Saatchi Saatchi ME,Dubai,UNITED ARAB EMIRATES,Ambient Activation,Beauty Well-being,NIVEA,Sun Courts,NIVEA,Saatchi Saatchi ME,Dubai,/awards/lia_awards/2025/campaigns/sun-courts-nivea-saatchi-saatchi-me-2025/
Finalist,Publicis Middle East,Dubai,UNITED ARAB EMIRATES,Creative Strategy,Use of Media,Home Centre,There We Are,Landmark Group,Publicis Middle East,Dubai,/awards/lia_awards/2025/campaigns/there-we-are-home-centre-publicis-middle-east-2025/
Finalist,Edelman,London,UNITED KINGDOM,Ambient Activation,Foods,Hellmanns Mayonnaise,Mayo Exchange,Unilever,Edelman,London,/awards/lia_awards/2025/campaigns/mayo-exchange-hellmanns-mayonnaise-edelman-2025/
Finalist,Ogilvy UK,London,UNITED KINGDOM,Ambient Activation,Creativity on a Budget,Hellmanns,Club Classic,Unilever,Ogilvy UK,London,/awards/lia_awards/2025/campaigns/club-classic-hellmanns-ogilvy-uk-2025-2/
Finalist,MullenLowe,London,UNITED KINGDOM,Billboard,Home Products Campaign,Persil Dirt Is Good,FootballKick BoxingRunning,Unilever,MullenLowe,London,/awards/lia_awards/2025/campaigns/footballkick-boxingrunning-persil-dirt-is-good-mullenlowe-2025/
Finalist,Ogilvy UK,London,UNITED KINGDOM,Creativity In Media,Use of Ambient Media,Hellmanns,Club Classic,Unilever,Ogilvy UK,London,/awards/lia_awards/2025/campaigns/club-classic-hellmanns-ogilvy-uk-2025-3/
Finalist,750mph,London,UNITED KINGDOM,Music Sound,Sound Editing,Visit Britain,Starring GREAT Britain - The Movie,Visit Britain,Pablo,London,/awards/lia_awards/2025/campaigns/starring-great-britain-the-movie-visit-britain-pablo-2025/
Finalist,750mph,London,UNITED KINGDOM,Music Sound,Sound Mixing,Riyadh Season,Everything or Nothing,Riyadh Season,Bigtime Creative Shop,Riyadh Saudi Arabia,/awards/lia_awards/2025/campaigns/everything-or-nothing-riyadh-season-bigtime-creative-shop-2025/
Finalist,750mph,London,UNITED KINGDOM,Music Sound,Sound Mixing,Visit Britain,Starring GREAT Britain - The Movie,Visit Britain,Pablo,London,/awards/lia_awards/2025/campaigns/starring-great-britain-the-movie-visit-britain-pablo-2025-2/
Finalist,Ogilvy UK,London,UNITED KINGDOM,Online Film,Creativity on a Budget,Great Ormond Street Hospital Charity,Just Make It,Great Ormond Street Hospital Charity,Ogilvy UK,London,/awards/lia_awards/2025/campaigns/just-make-it-great-ormond-street-hospital-charity-ogilvy-uk-2025/
Finalist,FCB London,London,UNITED KINGDOM,TV Cinema,Humor,Andrex - Get Comfortable,First School Poo,Kimberly-Clark,FCB London,London,/awards/lia_awards/2025/campaigns/first-school-poo-andrex-get-comfortable-fcb-london-2025-3/
Finalist,Arnold Worldwide,Boston,UNITED STATES,Ambient Activation,B2B,Toast,One of Those Nights,Toast,Arnold,Boston,/awards/lia_awards/2025/campaigns/one-of-those-nights-toast-arnold-2025-2/
