Award,Entrant,Entrant City,Country,Track,Category,Brand,Title,Corporate Name of Client,Agency,Agency City
Gold,BBDO China,Shanghai,CHINA,Design,Point-of-Sale,Harbin Beer,The Harbin Back Rack Hack,Anheuser-Busch InBev,BBDO China,Shanghai
Gold,Ogilvy Shanghai,Shanghai,CHINA,Design,Craft Photography Campaign,Viatris - Make Love Last,The Bedroom The Hotel Room The Living Room,Viatris,Ogilvy Shanghai,Shanghai
Gold,DDB Colombia,Bogota,COLOMBIA,Creative Strategy,Creative Use of Data,Procolombia,Humanimal Tourism,Jorge Ivan Rueda,DDB Colombia,Bogota
Gold,DAVID,Bogota,COLOMBIA,Design,Challenger Brand,Aguila,Brand of the Match,AB INBEV,DAVID,Bogota
Gold,Ogilvy,Santo Domingo,DOMINICAN REPUBLIC,Creativity In Media,Corporate Purpose-Social Responsibility,Chevrolet,Night Signals,Santo Domingo Motors,Ogilvy,Santo Domingo
Gold,Ogilvy,Santo Domingo,DOMINICAN REPUBLIC,Creativity In Media,Use of Outdoor,Chevrolet,Night Signals,Santo Domingo Motors,Ogilvy,Santo Domingo
Gold,McCann Paris,Paris,FRANCE,Branded Entertainment,Brand IP,LOreal Paris,The Final Copy of Ilon Specht,LOreal Paris,McCann Paris Paris-McCann Worldgroup,New York
Gold,McCann Paris,Paris,FRANCE,Branded Entertainment,Documentary Short Film,LOreal Paris,The Final Copy of Ilon Specht,LOreal Paris,McCann Paris Paris-McCann Worldgroup,New York
Gold,McCann Paris,Paris,FRANCE,Creative Strategy,Branded Entertainment,LOreal Paris,The Final Copy of Ilon Specht,LOreal Paris,McCann Paris Paris-McCann Worldgroup,New York
Gold,Publicis Conseil,Paris,FRANCE,Creative Strategy,Breaking Sector Convention,AXA,Three Words,AXA,Publicis Conseil,Paris
Gold,Publicis Conseil,Paris,FRANCE,Creative Strategy,Finance,AXA,Three Words,AXA,Publicis Conseil,Paris
Gold,W Conran Design,Boulogne-Billancourt,FRANCE,Design,Craft Art Direction,COJOP 2024,Paris 2024 - Designing Paris,COJOP 2024,W Conran Design,Boulogne-Billancourt
Gold,W Conran Design,Boulogne-Billancourt,FRANCE,Design,Spatial Design,COJOP 2024,Paris 2024 - Designing Paris,COJOP 2024,W Conran Design,Boulogne-Billancourt
Gold,Publicis Conseil,Paris,FRANCE,Evolution,Brand Action,AXA,Three Words,AXA,Publicis Conseil,Paris
Gold,McCann Paris,Paris,FRANCE,Online Film,Branded Content,LOreal Paris,The Final Copy of Ilon Specht,LOreal Paris,McCann Paris Paris-McCann Worldgroup,New York
Gold,McCann Paris,Paris,FRANCE,Online Film,Tagline-Endline,LOreal Paris,The Final Copy of Ilon Specht,LOreal Paris,McCann Paris Paris-McCann Worldgroup,New York
Gold,McCann Paris,Paris,FRANCE,TV Cinema,Branded Content,LOreal Paris,The Final Copy of Ilon Specht,LOreal Paris,McCann Paris Paris-McCann Worldgroup,New York
Gold,McCann Paris,Paris,FRANCE,TV Cinema,Tagline-Endline,LOreal Paris,The Final Copy of Ilon Specht,LOreal Paris,McCann Paris Paris-McCann Worldgroup,New York
Gold,VML,Paris,FRANCE,TV Cinema,Banking Finance,AXA,Group Therapy,AXA,VML,Paris
Gold,SERVICEPLAN GERMANY,Munich,GERMANY,Ambient Activation,Creativity in Commerce,Rainbow Wool,,SchAferei StA14cke,SERVICEPLAN GERMANY,Munich
Gold,HeimatTBWA- Germany,Berlin,GERMANY,Music Sound,Sound Editing,HORNBACH,No Project without Drama,HORNBACH Baumarkt AG,HeimatTBWA- Germany,Berlin
Gold,SERVICEPLAN GERMANY,Munich,GERMANY,Package Design,Best Regional-National Market,PENNY,Price Packs,PENNY,SERVICEPLAN GERMANY,Munich
Gold,Filmakademie Baden-WA14rttemberg,Ludwigsburg,GERMANY,Production Post-Production,New Director,Voices of Children,If I Could Fly,Voices of children,,
