Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,A DADS JOB,HOME CENTRE,HOME CENTRE,Challenger Brand,Shortlist,https://cdn.filespin.io/api/v1/storyboard/a533c139faa94287b6fd78f5a3b3eaf7/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,GHOST PEPPER TWISTER,KFC,TBWA\RAAD,Challenger Brand,Shortlist,https://cdn.filespin.io/api/v1/storyboard/0a727a6ac4c649bf9547411840c6ae76/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,DEAR NEIGHBOR,BOSE,WUNDERMAN THOMPSON,Social Behaviour & Cultural Insight,Shortlist,https://cdn.filespin.io/api/v1/storyboard/ce0be5c14e214349a73992b6c9b122b0/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,STAYHOME,AL FUTTAIM HONDA,MEMAC OGILVY,Social Behaviour & Cultural Insight,Shortlist,https://cdn.filespin.io/api/v1/storyboard/3ed9727f8feb4836b5c375279b89ab3c/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,DEAR NEIGHBOR,BOSE,WUNDERMAN THOMPSON,Breakthrough on a Budget,Shortlist,https://cdn.filespin.io/api/v1/storyboard/ce0be5c14e214349a73992b6c9b122b0/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,A DADS JOB,HOME CENTRE,HOME CENTRE,Breakthrough on a Budget,Shortlist,https://cdn.filespin.io/api/v1/storyboard/5bb5cd9fda3f48a3b91227f5356f26c5/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,DISCOVER NOW,PEPSICO,FACE TO FACE UAE,Fast Moving Consumer Goods,Submitted,https://cdn.filespin.io/api/v1/storyboard/4c3ab38f595145ada658270c9eeafa96/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,HOHOS TACTICALS | A WHOLE NEW ROLL | LIVING ROOM,EDITA,ELEPHANT,Fast Moving Consumer Goods,Submitted,https://cdn.filespin.io/api/v1/storyboard/ac5a9466dfb3479590715a104ccade04/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,WAKING BABY,BABYJOY,POINT OF VIEW,Healthcare,Submitted,https://cdn.filespin.io/api/v1/storyboard/00b9d370d175458bba92bb202bf34443/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,MOVING IN COMFORT,SOFY,POINT OF VIEW,Healthcare,Submitted,https://cdn.filespin.io/api/v1/storyboard/99de099fee3d4069a4a52e9524ddc03e/storyboard_000008.jpg?resize=600,600
Dubai Lynx,2021,NOT-FOR-PROFIT CHARITY GOVERNMENT,REALME 7 TVC - EGYPT,REALME,REALME,Durable Consumer Goods including Automotive,Submitted,https://cdn.filespin.io/api/v1/storyboard/0ff7729083ce4a6a95b80357a4a533a4/storyboard_000008.jpg?resize=600,600
