Track,Title,Brand,Agency,Category,Award Level,Board image
SCREENS & EVENTS,LIFE IS NOT AN IKEA CATALOGUE,IKEA,TRY,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/a7d89c3e02c4493ab5528281a4c0d528/storyboard_000008.jpg
SCREENS & EVENTS,CHESS,SITGES - INTERNATIONAL FANTASTIC FILM FESTIVAL OF CATALONIA,CHINA,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/129e97769e014ded98ebb28bf3dd2242/storyboard_000008.jpg
SCREENS & EVENTS,COUPLE,SITGES - INTERNATIONAL FANTASTIC FILM FESTIVAL OF CATALONIA,CHINA,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/ac81bd92c4054175bceb4dff1d84f83c/storyboard_000008.jpg
SCREENS & EVENTS,ONLY WHEN IT RAINS,ICE,MORGENSTERN,Consumer Services-Business to Business,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/4851143dac14451190a25decd2fe6b7b/storyboard_000008.jpg
SCREENS & EVENTS,CLEANING,BOURSOBANK,BUZZMAN,Consumer Services-Business to Business,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/d8d5091d7c1648ef92c7e2c18386dc73/storyboard_000008.jpg
SCREENS & EVENTS,WATCH WHERE WE RE GOING,NIKE,WIEDEN+KENNEDY,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/177d716d4caa4f9388947b0fb04bee2c/storyboard_000008.jpg
SCREENS & EVENTS,TRUE HARDCORE FANS,HEINEKEN,LEPUB,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/b88c58e03ab242b08d5fc3942f13fd57/storyboard_000008.jpg
SCREENS & EVENTS,I HOPE THIS EMAIL FINDS YOU WELL,BEIERSDORF,PUBLICIS ONE TOUCH,Healthcare,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/13187c91366743f8897b49b5aa1bc646/storyboard_000008.jpg
SCREENS & EVENTS,BORN TO BE FLAME LOVERS,BURGER KING,BUZZMAN,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/5a77e7034f0d434296d0cf767237c61b/storyboard_000008.jpg
SCREENS & EVENTS,COUPLE,SITGES - INTERNATIONAL FANTASTIC FILM FESTIVAL OF CATALONIA,CHINA,Screens & Events,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/ac81bd92c4054175bceb4dff1d84f83c/storyboard_000008.jpg
SCREENS & EVENTS,STOP VEO - LEGACY,STOP VEO,PUBLICIS CONSEIL,Local Brand,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/8a380309f3194a8da671857cd8f956df/storyboard_000008.jpg
SCREENS & EVENTS,X-MAS HANGOVER,BURGER KING,GRABARZ & PARTNER,Social Behaviour & Cultural Insight,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/cd9f4c644564480b8f785175a00bed49/storyboard_000008.jpg
SCREENS & EVENTS,MISSION TALITA,TALITA,AKESTAM HOLST,Social Behaviour & Cultural Insight,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/276d754ca76a4fa5a657f4e2e89c8da3/storyboard_000008.jpg
