Festival,Year,Track,Title,Brand,Agency,Category,Award Level,Board image,Permalink
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,A FIVE STAR MISSION,DUBAI ECONOMY & TOURISM,STARCOM,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/21d78a3dee06476783ddf2b2f23d32a7/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/a-five-star-mission-dubai-economy-and-tourism-starcom-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,A ROMANCE TO REMEMBER,DUBAI ECONOMY & TOURISM,STARCOM,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/86ef18d4681f4e19bff7bafb9666c30d/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/a-romance-to-remember-dubai-economy-and-tourism-starcom-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,A RIVETING MYSTERY,DUBAI ECONOMY & TOURISM,STARCOM,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/da00017fd4eb47d48648b252a9eb30c6/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/a-riveting-mystery-dubai-economy-and-tourism-starcom-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,THE BIRTH OF SPEECH,CERALAC,PUBLICIS MIDDLE EAST,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/358798f4e1e74023b5a4c2c9c43f41ac/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/the-birth-of-speech-ceralac-publicis-middle-east-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,THE HOMECOMING,HOME CENTRE,LEO BURNETT,Consumer Goods,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/c5bd134ab55e433e89b0ad7925fa827b/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/the-homecoming-home-centre-leo-burnett-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,SAUDI NATIONAL DAY,HALF MILLION,HALF MILLION,Travel Leisure Retail Restaurants & Fast Food Chains,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/45e801f5c9b542cdbd073e58624c5c7f/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/saudi-national-day-half-million-half-million-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,SOLE MUSIC,ANGHAMI,? AND US,Media & Entertainment,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/dd62b6a995ad4832aee82608ae537272/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/sole-music-anghami-and-us-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,SHARJAH BOOK AUTHORITY,SHARJAH BOOK AUTHORITY,GOOD PEOPLE FILMS,Not-for-profit & Charity & Government,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/530417f295db420db3c931bb0d813d51/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/sharjah-book-authority-sharjah-book-authority-good-people-films-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,THE VISITOR FROM THE FUTURE,UAE GOVERNMENT MEDIA OFFICE,UAE GOVERNMENT MEDIA OFFICE,Viral Film,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/8a05a8c6c7d749558d79da135164579f/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/the-visitor-from-the-future-uae-government-media-office-uae-government-media-office-2023/
Dubai Lynx,2023,TRAVEL LEISURE RETAIL RESTAURANTS & FAST FOOD CHAINS,THE HOMECOMING,HOME CENTRE,LEO BURNETT,Viral Film,Shortlist,https://ascentialcdn.filespin.io/api/v1/storyboard/713a1ae34f7e464cb696a5d9c87f599f/storyboard_000008.jpg,/awards/dubai_lynx/2023/campaigns/the-homecoming-home-centre-leo-burnett-2023-2/
